country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Belgium,Jupiler Pro League,Club Brugge KV,22,Simon Mignolet,Goalkeeper,"Mar 6, 1988 (37)",€1.20m,1988,1200.0,68,29,31,62
Belgium,Jupiler Pro League,Club Brugge KV,29,Nordin Jackers,Goalkeeper,"Sep 5, 1997 (27)",€1.20m,1997,1200.0,68,29,31,62
Belgium,Jupiler Pro League,Club Brugge KV,-,Josef Bursik,Goalkeeper,"Jul 12, 2000 (25)",€800k,2000,800.0,65,28,30,59
Belgium,Jupiler Pro League,Club Brugge KV,16,Dani van den Heuvel,Goalkeeper,"May 28, 2003 (22)",€200k,2003,200.0,57,25,26,52
Belgium,Jupiler Pro League,Club Brugge KV,4,Joel Ordóñez,Centre-Back,"Apr 21, 2004 (21)",€28.00m,2004,28000.0,83,38,43,68
Belgium,Jupiler Pro League,Club Brugge KV,44,Brandon Mechele,Centre-Back,"Jan 28, 1993 (32)",€3.50m,1993,3500.0,74,34,38,61
Belgium,Jupiler Pro League,Club Brugge KV,2,Zaid Romero,Centre-Back,"Dec 15, 1999 (25)",€3.00m,1999,3000.0,72,33,37,59
Belgium,Jupiler Pro League,Club Brugge KV,58,Jorne Spileers,Centre-Back,"Jan 21, 2005 (20)",€2.00m,2005,2000.0,69,32,36,57
Belgium,Jupiler Pro League,Club Brugge KV,24,Vince Osuji,Centre-Back,"Apr 6, 2006 (19)",€1.20m,2006,1200.0,66,30,34,54
Belgium,Jupiler Pro League,Club Brugge KV,66,Bi Abdoul Kader Yameogo,Centre-Back,"Dec 17, 2004 (20)",€400k,2004,400.0,61,28,32,50
Belgium,Jupiler Pro League,Club Brugge KV,65,Joaquin Seys,Left-Back,"Mar 28, 2005 (20)",€8.00m,2005,8000.0,76,37,42,58
Belgium,Jupiler Pro League,Club Brugge KV,14,Bjorn Meijer,Left-Back,"Mar 18, 2003 (22)",€4.00m,2003,4000.0,73,36,40,55
Belgium,Jupiler Pro League,Club Brugge KV,64,Kyriani Sabbe,Right-Back,"Jan 26, 2005 (20)",€4.50m,2005,4500.0,73,36,40,55
Belgium,Jupiler Pro League,Club Brugge KV,41,Hugo Siquet,Right-Back,"Jul 9, 2002 (23)",€4.00m,2002,4000.0,74,36,41,56
Belgium,Jupiler Pro League,Club Brugge KV,30,Ardon Jashari,Defensive Midfield,"Jul 30, 2002 (22)",€32.00m,2002,32000.0,85,44,44,54
Belgium,Jupiler Pro League,Club Brugge KV,15,Raphael Onyedika,Defensive Midfield,"Apr 19, 2001 (24)",€20.00m,2001,20000.0,82,43,43,52
Belgium,Jupiler Pro League,Club Brugge KV,25,Aleksandar Stanković,Defensive Midfield,"Aug 3, 2005 (19)",€11.00m,2005,11000.0,78,41,41,50
Belgium,Jupiler Pro League,Club Brugge KV,6,Ludovit Reis,Central Midfield,"Jun 1, 2000 (25)",€7.00m,2000,7000.0,77,45,49,45
Belgium,Jupiler Pro League,Club Brugge KV,10,Hugo Vetlesen,Central Midfield,"Feb 29, 2000 (25)",€4.00m,2000,4000.0,74,43,47,43
Belgium,Jupiler Pro League,Club Brugge KV,70,Alejandro Granados,Central Midfield,"May 30, 2006 (19)",€700k,2006,700.0,63,37,40,37
Belgium,Jupiler Pro League,Club Brugge KV,20,Hans Vanaken,Attacking Midfield,"Aug 24, 1992 (32)",€7.00m,1992,7000.0,78,52,48,41
Belgium,Jupiler Pro League,Club Brugge KV,11,Cisse Sandra,Attacking Midfield,"Dec 16, 2003 (21)",€1.00m,2003,1000.0,66,44,40,34
Belgium,Jupiler Pro League,Club Brugge KV,8,Christos Tzolis,Left Winger,"Jan 30, 2002 (23)",€25.00m,2002,25000.0,83,63,48,38
Belgium,Jupiler Pro League,Club Brugge KV,9,Carlos Forbs,Left Winger,"Mar 19, 2004 (21)",€8.00m,2004,8000.0,77,59,45,35
Belgium,Jupiler Pro League,Club Brugge KV,84,Shandre Campbell,Left Winger,"Jul 15, 2005 (20)",€1.00m,2005,1000.0,65,49,38,30
Belgium,Jupiler Pro League,Club Brugge KV,21,Michal Skoras,Right Winger,"Feb 15, 2000 (25)",€2.50m,2000,2500.0,71,54,41,33
Belgium,Jupiler Pro League,Club Brugge KV,7,Nicolò Tresoldi,Centre-Forward,"Aug 20, 2004 (20)",€9.00m,2004,9000.0,77,63,42,33
Belgium,Jupiler Pro League,Club Brugge KV,17,Romeo Vermant,Centre-Forward,"Jan 24, 2004 (21)",€6.00m,2004,6000.0,75,62,41,32
Belgium,Jupiler Pro League,Club Brugge KV,19,Gustaf Nilsson,Centre-Forward,"May 23, 1997 (28)",€5.00m,1997,5000.0,75,62,41,32
Belgium,Jupiler Pro League,Club Brugge KV,87,Kaye Furo,Centre-Forward,"Feb 6, 2007 (18)",€1.00m,2007,1000.0,64,52,35,28
