country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,1,Tobe Leysen,Goalkeeper,"Mar 9, 2002 (23)",€4.00m,2002,4000.0,74,32,34,67
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,16,Maxence Prévot,Goalkeeper,"Apr 9, 1997 (28)",€400k,1997,400.0,62,27,29,56
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,61,Owen Jochmans,Goalkeeper,"Jan 28, 2003 (22)",€150k,2003,150.0,56,24,26,51
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,28,Ewoud Pletinckx,Centre-Back,"Oct 10, 2000 (24)",€1.80m,2000,1800.0,70,32,36,57
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,5,Takuma Ominami,Centre-Back,"Dec 13, 1997 (27)",€1.30m,1997,1300.0,68,31,35,56
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,-,Viktor Damjanic,Centre-Back,"Nov 3, 2005 (19)",€500k,2005,500.0,62,29,32,51
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,34,Roggerio Nyakossi,Centre-Back,"Jan 13, 2004 (21)",€500k,2004,500.0,62,29,32,51
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,63,Christ Souanga,Centre-Back,"Oct 23, 2006 (18)",€200k,2006,200.0,56,26,29,46
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,30,Takahiro Akimoto,Left-Back,"Jan 31, 1998 (27)",€1.50m,1998,1500.0,69,34,38,52
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,66,Ayumu Ohata,Left-Back,"Apr 27, 2001 (24)",€500k,2001,500.0,63,31,35,48
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,27,Óscar Gil,Right-Back,"Apr 26, 1998 (27)",€700k,1998,700.0,65,32,36,49
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,77,Thibault Vlietinck,Right-Back,"Aug 19, 1997 (27)",€600k,1997,600.0,64,31,35,49
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,4,Birger Verstraete,Defensive Midfield,"Apr 16, 1994 (31)",€1.80m,1994,1800.0,70,36,36,45
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,25,Manuel Osifo,Defensive Midfield,"Jul 31, 2003 (21)",€700k,2003,700.0,64,33,33,41
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,8,Siebe Schrijvers,Central Midfield,"Jul 18, 1996 (29)",€1.50m,1996,1500.0,69,40,44,40
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,55,Wouter George,Central Midfield,"Mar 3, 2002 (23)",€700k,2002,700.0,64,37,41,37
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,48,Bryang Kayo,Central Midfield,"Jul 27, 2002 (22)",€350k,2002,350.0,61,35,39,35
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,33,Mathieu Maertens,Attacking Midfield,"Mar 27, 1995 (30)",€1.80m,1995,1800.0,70,47,43,36
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,10,Youssef Maziz,Attacking Midfield,"Jun 24, 1998 (27)",€1.30m,1998,1300.0,68,46,41,35
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,21,William Balikwisha,Attacking Midfield,"May 12, 1999 (26)",€1.20m,1999,1200.0,68,46,41,35
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,7,Thibaud Verlinden,Left Winger,"Jul 9, 1999 (26)",€1.70m,1999,1700.0,69,52,40,32
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,11,Casper Terho,Right Winger,"Jun 24, 2003 (22)",€1.80m,2003,1800.0,69,52,40,32
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,22,Jovan Mijatović,Centre-Forward,"Jul 11, 2005 (20)",€3.00m,2005,3000.0,71,58,39,31
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,19,Chukwubuikem Ikwuemesi,Centre-Forward,"Aug 5, 2001 (23)",€2.00m,2001,2000.0,70,57,38,30
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,-,Nachon Nsingi,Centre-Forward,"Apr 24, 2001 (24)",€400k,2001,400.0,62,51,34,27
Belgium,Jupiler Pro League,Oud-Heverlee Leuven,-,Abdoul Karim Traoré,Centre-Forward,"Jan 12, 2007 (18)",€400k,2007,400.0,60,49,33,26
