country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Belgium,Jupiler Pro League,FCV Dender EH,34,Michael Verrips,Goalkeeper,"Dec 3, 1996 (28)",€800k,1996,800.0,66,28,30,60
Belgium,Jupiler Pro League,FCV Dender EH,30,Guillaume Dietsch,Goalkeeper,"Apr 17, 2001 (24)",€250k,2001,250.0,59,25,27,54
Belgium,Jupiler Pro League,FCV Dender EH,3,Joedrick Pupe,Centre-Back,"Jun 4, 1997 (28)",€1.20m,1997,1200.0,68,31,35,56
Belgium,Jupiler Pro League,FCV Dender EH,21,Kobe Cools,Centre-Back,"Jul 25, 1997 (28)",€800k,1997,800.0,66,30,34,54
Belgium,Jupiler Pro League,FCV Dender EH,5,Luc Marijnissen,Centre-Back,"Jan 9, 2003 (22)",€500k,2003,500.0,62,29,32,51
Belgium,Jupiler Pro League,FCV Dender EH,22,Benjamin Fredrick,Centre-Back,"May 28, 2005 (20)",€150k,2005,150.0,55,25,29,45
Belgium,Jupiler Pro League,FCV Dender EH,33,Darryl Nkulikiyimana,Centre-Back,"May 24, 2005 (20)",-,2005,83.0,52,24,27,43
Belgium,Jupiler Pro League,FCV Dender EH,88,Fabio Ferraro,Left-Back,"Sep 3, 2002 (22)",€1.30m,2002,1300.0,68,33,37,52
Belgium,Jupiler Pro League,FCV Dender EH,7,Bryan Goncalves,Left-Back,"Jul 19, 1996 (29)",€600k,1996,600.0,64,31,35,49
Belgium,Jupiler Pro League,FCV Dender EH,67,Nail Moutha-Sebtaoui,Left-Back,"Nov 17, 2005 (19)",€300k,2005,300.0,59,29,32,45
Belgium,Jupiler Pro League,FCV Dender EH,20,David Hrncar,Right-Back,"Dec 10, 1997 (27)",€1.20m,1997,1200.0,68,33,37,52
Belgium,Jupiler Pro League,FCV Dender EH,18,Nathan Rôdes,Defensive Midfield,"Dec 11, 1997 (27)",€1.40m,1997,1400.0,69,36,36,44
Belgium,Jupiler Pro League,FCV Dender EH,24,Malcolm Viltard,Defensive Midfield,"Oct 24, 2002 (22)",€750k,2002,750.0,65,34,34,42
Belgium,Jupiler Pro League,FCV Dender EH,6,Kéres Masangu,Defensive Midfield,"Mar 7, 2000 (25)",€200k,2000,200.0,58,30,30,37
Belgium,Jupiler Pro League,FCV Dender EH,16,Roman Kvet,Central Midfield,"Dec 17, 1997 (27)",€1.50m,1997,1500.0,69,40,44,40
Belgium,Jupiler Pro League,FCV Dender EH,17,Noah Mbamba,Central Midfield,"Jan 5, 2005 (20)",€1.50m,2005,1500.0,67,39,43,39
Belgium,Jupiler Pro League,FCV Dender EH,15,Krzysztof Koton,Central Midfield,"May 17, 2003 (22)",€350k,2003,350.0,60,35,38,35
Belgium,Jupiler Pro League,FCV Dender EH,23,Desmond Acquah,Central Midfield,"Jul 23, 2002 (23)",€300k,2002,300.0,60,35,38,35
Belgium,Jupiler Pro League,FCV Dender EH,26,Ragnar Oratmangoen,Left Winger,"Jan 21, 1998 (27)",€600k,1998,600.0,64,49,37,29
Belgium,Jupiler Pro League,FCV Dender EH,90,Mohamed Berte,Second Striker,"Mar 25, 2002 (23)",€1.20m,2002,1200.0,67,53,39,29
Belgium,Jupiler Pro League,FCV Dender EH,77,Bruny Nsimba,Centre-Forward,"Apr 5, 2000 (25)",€2.00m,2000,2000.0,70,57,38,30
Belgium,Jupiler Pro League,FCV Dender EH,11,Aurélien Scheidler,Centre-Forward,"Jun 4, 1998 (27)",€1.80m,1998,1800.0,70,57,38,30
Belgium,Jupiler Pro League,FCV Dender EH,19,Jordan Kadiri,Centre-Forward,"Mar 11, 2000 (25)",€200k,2000,200.0,58,48,32,25
