country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Belgium,Jupiler Pro League,RSC Anderlecht,26,Colin Coosemans,Goalkeeper,"Aug 3, 1992 (32)",€1.50m,1992,1500.0,69,30,32,63
Belgium,Jupiler Pro League,RSC Anderlecht,16,Mads Kikkenborg,Goalkeeper,"Oct 7, 1999 (25)",€400k,1999,400.0,62,27,29,56
Belgium,Jupiler Pro League,RSC Anderlecht,63,Timon Vanhoutte,Goalkeeper,"Jan 29, 2004 (21)",€200k,2004,200.0,57,25,26,52
Belgium,Jupiler Pro League,RSC Anderlecht,4,Jan-Carlo Simić,Centre-Back,"May 2, 2005 (20)",€8.00m,2005,8000.0,76,35,40,62
Belgium,Jupiler Pro League,RSC Anderlecht,3,Lucas Hey,Centre-Back,"Apr 13, 2003 (22)",€5.00m,2003,5000.0,75,34,39,62
Belgium,Jupiler Pro League,RSC Anderlecht,2,Zoumana Keita,Centre-Back,"Nov 16, 2005 (19)",€500k,2005,500.0,62,29,32,51
Belgium,Jupiler Pro League,RSC Anderlecht,5,Moussa N'Diaye,Left-Back,"Jun 18, 2002 (23)",€3.00m,2002,3000.0,72,35,40,55
Belgium,Jupiler Pro League,RSC Anderlecht,6,Ludwig Augustinsson,Left-Back,"Apr 21, 1994 (31)",€3.00m,1994,3000.0,73,36,40,55
Belgium,Jupiler Pro League,RSC Anderlecht,54,Killian Sardella,Right-Back,"May 2, 2002 (23)",€5.00m,2002,5000.0,75,37,41,57
Belgium,Jupiler Pro League,RSC Anderlecht,79,Ali Maamar,Right-Back,"Mar 23, 2005 (20)",€2.00m,2005,2000.0,69,34,38,52
Belgium,Jupiler Pro League,RSC Anderlecht,25,Thomas Foket,Right-Back,"Sep 25, 1994 (30)",€1.50m,1994,1500.0,69,34,38,52
Belgium,Jupiler Pro League,RSC Anderlecht,24,Enric Llansana,Defensive Midfield,"Apr 12, 2001 (24)",€4.00m,2001,4000.0,74,38,38,47
Belgium,Jupiler Pro League,RSC Anderlecht,23,Mats Rits,Defensive Midfield,"Jul 18, 1993 (32)",€1.80m,1993,1800.0,70,36,36,45
Belgium,Jupiler Pro League,RSC Anderlecht,8,Cedric Hatenboer,Defensive Midfield,"Mar 19, 2005 (20)",€1.50m,2005,1500.0,67,35,35,43
Belgium,Jupiler Pro League,RSC Anderlecht,55,Marco Kana,Defensive Midfield,"Aug 8, 2002 (22)",€700k,2002,700.0,64,33,33,41
Belgium,Jupiler Pro League,RSC Anderlecht,13,Nathan-Dylan Saliba,Central Midfield,"Feb 7, 2004 (21)",€3.50m,2004,3500.0,72,42,46,42
Belgium,Jupiler Pro League,RSC Anderlecht,17,Théo Leoni,Central Midfield,"Apr 21, 2000 (25)",€3.00m,2000,3000.0,72,42,46,42
Belgium,Jupiler Pro League,RSC Anderlecht,18,Majeed Ashimeru,Central Midfield,"Oct 10, 1997 (27)",€1.50m,1997,1500.0,69,40,44,40
Belgium,Jupiler Pro League,RSC Anderlecht,7,Ilay Camara,Left Midfield,"Jan 18, 2003 (22)",€4.00m,2003,4000.0,73,42,47,42
Belgium,Jupiler Pro League,RSC Anderlecht,29,Mario Stroeykens,Attacking Midfield,"Sep 29, 2004 (20)",€12.00m,2004,12000.0,79,53,48,41
Belgium,Jupiler Pro League,RSC Anderlecht,10,Yari Verschaeren,Attacking Midfield,"Jul 12, 2001 (24)",€5.00m,2001,5000.0,75,50,46,39
Belgium,Jupiler Pro League,RSC Anderlecht,-,Alexis Flips,Attacking Midfield,"Jan 18, 2000 (25)",€1.00m,2000,1000.0,67,45,41,35
Belgium,Jupiler Pro League,RSC Anderlecht,21,César Huerta,Left Winger,"Dec 3, 2000 (24)",€6.00m,2000,6000.0,76,58,44,35
Belgium,Jupiler Pro League,RSC Anderlecht,11,Thorgan Hazard,Left Winger,"Mar 29, 1993 (32)",€2.50m,1993,2500.0,72,55,42,33
Belgium,Jupiler Pro League,RSC Anderlecht,19,Nilson Angulo,Left Winger,"Jun 19, 2003 (22)",€2.00m,2003,2000.0,70,53,41,32
Belgium,Jupiler Pro League,RSC Anderlecht,83,Tristan Degreef,Left Winger,"Jan 19, 2005 (20)",€2.00m,2005,2000.0,69,52,40,32
Belgium,Jupiler Pro League,RSC Anderlecht,12,Kasper Dolberg,Centre-Forward,"Oct 6, 1997 (27)",€13.00m,1997,13000.0,80,66,44,34
Belgium,Jupiler Pro League,RSC Anderlecht,9,Mihajlo Cvetkovic,Centre-Forward,"Jan 10, 2007 (18)",€6.00m,2007,6000.0,74,61,41,32
Belgium,Jupiler Pro League,RSC Anderlecht,20,Luis Vázquez,Centre-Forward,"Apr 24, 2001 (24)",€2.50m,2001,2500.0,71,58,39,31
Belgium,Jupiler Pro League,RSC Anderlecht,42,Keisuke Goto,Centre-Forward,"Jun 3, 2005 (20)",€1.20m,2005,1200.0,66,54,36,28
Belgium,Jupiler Pro League,RSC Anderlecht,22,Elyess Dao,Centre-Forward,"Nov 20, 2006 (18)",€500k,2006,500.0,61,50,34,26
