country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Belgium,Jupiler Pro League,Royal Antwerp FC,91,Senne Lammens,Goalkeeper,"Jul 7, 2002 (23)",€9.00m,2002,9000.0,78,34,36,71
Belgium,Jupiler Pro League,Royal Antwerp FC,-,Taishi Brandon Nozawa,Goalkeeper,"Dec 25, 2002 (22)",€800k,2002,800.0,65,28,30,59
Belgium,Jupiler Pro League,Royal Antwerp FC,15,Yannick Thoelen,Goalkeeper,"Jul 18, 1990 (35)",€200k,1990,200.0,59,25,27,54
Belgium,Jupiler Pro League,Royal Antwerp FC,81,Niels Devalckeneer,Goalkeeper,"May 17, 2004 (21)",€100k,2004,100.0,53,23,24,48
Belgium,Jupiler Pro League,Royal Antwerp FC,33,Zeno Van Den Bosch,Centre-Back,"Jul 6, 2003 (22)",€10.00m,2003,10000.0,78,36,41,64
Belgium,Jupiler Pro League,Royal Antwerp FC,26,Rosen Bozhinov,Centre-Back,"Jan 23, 2005 (20)",€400k,2005,400.0,60,28,31,49
Belgium,Jupiler Pro League,Royal Antwerp FC,3,Björn Engels,Centre-Back,"Sep 15, 1994 (30)",€100k,1994,100.0,55,25,29,45
Belgium,Jupiler Pro League,Royal Antwerp FC,5,Daam Foulon,Left-Back,"Mar 23, 1999 (26)",€2.50m,1999,2500.0,71,35,39,54
Belgium,Jupiler Pro League,Royal Antwerp FC,2,Kobe Corbanie,Right-Back,"May 10, 2005 (20)",€1.70m,2005,1700.0,68,33,37,52
Belgium,Jupiler Pro League,Royal Antwerp FC,23,Glenn Bijl,Right-Back,"Jul 13, 1995 (30)",€1.50m,1995,1500.0,69,34,38,52
Belgium,Jupiler Pro League,Royal Antwerp FC,54,Semm Renders,Right-Back,"Dec 17, 2007 (17)",€1.50m,2007,1500.0,67,33,37,51
Belgium,Jupiler Pro League,Royal Antwerp FC,16,Mauricio Benítez,Defensive Midfield,"Feb 3, 2004 (21)",€800k,2004,800.0,64,33,33,41
Belgium,Jupiler Pro League,Royal Antwerp FC,20,Mahamadou Doumbia,Central Midfield,"May 15, 2004 (21)",€9.00m,2004,9000.0,77,45,49,45
Belgium,Jupiler Pro League,Royal Antwerp FC,8,Dennis Praet,Central Midfield,"May 14, 1994 (31)",€2.50m,1994,2500.0,72,42,46,42
Belgium,Jupiler Pro League,Royal Antwerp FC,75,Andreas Verstraeten,Central Midfield,"Jan 10, 2006 (19)",€800k,2006,800.0,64,37,41,37
Belgium,Jupiler Pro League,Royal Antwerp FC,43,Youssef Hamdaoui,Central Midfield,"Mar 20, 2008 (17)",€250k,2008,250.0,57,33,36,33
Belgium,Jupiler Pro League,Royal Antwerp FC,30,Christopher Scott,Attacking Midfield,"Jun 7, 2002 (23)",€500k,2002,500.0,63,42,38,33
Belgium,Jupiler Pro League,Royal Antwerp FC,22,Farouck Adekami,Attacking Midfield,"Aug 7, 2006 (18)",€200k,2006,200.0,56,38,34,29
Belgium,Jupiler Pro League,Royal Antwerp FC,77,Milo Horemans,Attacking Midfield,"May 18, 2006 (19)",-,2006,90.0,52,35,32,27
Belgium,Jupiler Pro League,Royal Antwerp FC,10,Michel-Ange Balikwisha,Left Winger,"May 10, 2001 (24)",€7.00m,2001,7000.0,77,59,45,35
Belgium,Jupiler Pro League,Royal Antwerp FC,76,Orseer Achihi,Left Winger,"Sep 19, 2006 (18)",-,2006,53.0,49,37,28,23
Belgium,Jupiler Pro League,Royal Antwerp FC,7,Gyrano Kerk,Right Winger,"Dec 2, 1995 (29)",€3.00m,1995,3000.0,73,55,42,34
Belgium,Jupiler Pro League,Royal Antwerp FC,24,Thibo Somers,Right Winger,"Mar 16, 1999 (26)",€2.50m,1999,2500.0,71,54,41,33
Belgium,Jupiler Pro League,Royal Antwerp FC,14,Anthony Valencia,Right Winger,"Jul 21, 2003 (22)",€1.20m,2003,1200.0,67,51,39,31
Belgium,Jupiler Pro League,Royal Antwerp FC,11,Geoffry Hairemans,Right Winger,"Oct 21, 1991 (33)",€500k,1991,500.0,64,49,37,29
Belgium,Jupiler Pro League,Royal Antwerp FC,19,Mukhammadali Urinboev,Right Winger,"Apr 24, 2005 (20)",€450k,2005,450.0,61,46,35,28
Belgium,Jupiler Pro League,Royal Antwerp FC,18,Vincent Janssen,Centre-Forward,"Jun 15, 1994 (31)",€7.00m,1994,7000.0,77,63,42,33
Belgium,Jupiler Pro League,Royal Antwerp FC,79,Gerard Vandeplas,Centre-Forward,"Feb 25, 2006 (19)",€400k,2006,400.0,60,49,33,26
Belgium,Jupiler Pro League,Royal Antwerp FC,-,Gabriel Jesus David,Centre-Forward,"Jan 2, 2007 (18)",-,2007,92.0,52,43,29,22
