country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Belgium,Jupiler Pro League,Royal Charleroi SC,55,Martin Delavallée,Goalkeeper,"Mar 18, 2004 (21)",€1.50m,2004,1500.0,68,29,31,62
Belgium,Jupiler Pro League,Royal Charleroi SC,30,Mohamed Koné,Goalkeeper,"Mar 7, 2002 (23)",€1.20m,2002,1200.0,67,29,31,61
Belgium,Jupiler Pro League,Royal Charleroi SC,33,Théo Defourny,Goalkeeper,"Apr 25, 1992 (33)",€300k,1992,300.0,61,26,28,56
Belgium,Jupiler Pro League,Royal Charleroi SC,42,Nicolas Closset,Goalkeeper,"Jul 10, 2004 (21)",€50k,2004,50.0,50,22,23,46
Belgium,Jupiler Pro League,Royal Charleroi SC,21,Stelios Andreou,Centre-Back,"Jul 24, 2002 (23)",€3.50m,2002,3500.0,73,34,38,60
Belgium,Jupiler Pro League,Royal Charleroi SC,4,Aiham Ousou,Centre-Back,"Jan 9, 2000 (25)",€2.50m,2000,2500.0,71,33,37,58
Belgium,Jupiler Pro League,Royal Charleroi SC,95,Check Keita,Centre-Back,"Apr 2, 2003 (22)",€2.00m,2003,2000.0,70,32,36,57
Belgium,Jupiler Pro League,Royal Charleroi SC,32,Mehdi Boukamir,Centre-Back,"Jan 26, 2004 (21)",€500k,2004,500.0,62,29,32,51
Belgium,Jupiler Pro League,Royal Charleroi SC,39,Massamba Sow,Centre-Back,"Jun 13, 2004 (21)",€500k,2004,500.0,62,29,32,51
Belgium,Jupiler Pro League,Royal Charleroi SC,24,Mardochée Nzita,Left-Back,"Feb 24, 2000 (25)",€1.00m,2000,1000.0,67,33,37,51
Belgium,Jupiler Pro League,Royal Charleroi SC,15,Vetle Dragsnes,Left-Back,"Feb 6, 1994 (31)",€800k,1994,800.0,66,32,36,50
Belgium,Jupiler Pro League,Royal Charleroi SC,98,Jeremy Petris,Right-Back,"Jan 28, 1998 (27)",€2.80m,1998,2800.0,72,35,40,55
Belgium,Jupiler Pro League,Royal Charleroi SC,5,Étienne Camara,Defensive Midfield,"Mar 30, 2003 (22)",€1.80m,2003,1800.0,69,36,36,44
Belgium,Jupiler Pro League,Royal Charleroi SC,56,Amine Boukamir,Defensive Midfield,"Oct 23, 2006 (18)",€300k,2006,300.0,58,30,30,37
Belgium,Jupiler Pro League,Royal Charleroi SC,66,Noam Mayoka-Tika,Defensive Midfield,"Nov 2, 2003 (21)",€50k,2003,50.0,50,26,26,32
Belgium,Jupiler Pro League,Royal Charleroi SC,22,Yassine Titraoui,Central Midfield,"Jul 26, 2003 (22)",€5.00m,2003,5000.0,75,44,48,44
Belgium,Jupiler Pro League,Royal Charleroi SC,40,Yassine Khalifi,Central Midfield,"Aug 9, 2005 (19)",-,2005,15.0,43,25,28,25
Belgium,Jupiler Pro League,Royal Charleroi SC,29,Zan Rogelj,Right Midfield,"Nov 25, 1999 (25)",€700k,1999,700.0,65,38,42,38
Belgium,Jupiler Pro League,Royal Charleroi SC,10,Parfait Guiagon,Left Winger,"Feb 22, 2001 (24)",€3.00m,2001,3000.0,72,55,42,33
Belgium,Jupiler Pro League,Royal Charleroi SC,20,Freddy Mbemba,Left Winger,"Dec 16, 2002 (22)",€800k,2002,800.0,65,49,38,30
Belgium,Jupiler Pro League,Royal Charleroi SC,17,Antoine Bernier,Right Winger,"Sep 10, 1997 (27)",€1.50m,1997,1500.0,69,52,40,32
Belgium,Jupiler Pro League,Royal Charleroi SC,7,Isaac Mbenza,Right Winger,"Mar 8, 1996 (29)",€800k,1996,800.0,66,50,38,30
Belgium,Jupiler Pro League,Royal Charleroi SC,43,Quentin Benaets,Right Winger,"Aug 26, 2003 (21)",€100k,2003,100.0,54,41,31,25
Belgium,Jupiler Pro League,Royal Charleroi SC,28,Raymond Asante,Second Striker,"May 27, 2004 (21)",€200k,2004,200.0,57,45,33,25
Belgium,Jupiler Pro League,Royal Charleroi SC,19,Nikola Stulic,Centre-Forward,"Sep 8, 2001 (23)",€4.00m,2001,4000.0,74,61,41,32
Belgium,Jupiler Pro League,Royal Charleroi SC,8,Jakob Napoleon Romsaas,Centre-Forward,"May 16, 2004 (21)",€1.50m,2004,1500.0,68,56,37,29
Belgium,Jupiler Pro League,Royal Charleroi SC,9,Oday Dabbagh,Centre-Forward,"Dec 3, 1998 (26)",€1.20m,1998,1200.0,68,56,37,29
Belgium,Jupiler Pro League,Royal Charleroi SC,25,Antoine Colassin,Centre-Forward,"Feb 26, 2001 (24)",€750k,2001,750.0,65,53,36,28
Belgium,Jupiler Pro League,Royal Charleroi SC,99,Anthony Descotte,Centre-Forward,"Aug 3, 2003 (21)",€650k,2003,650.0,64,52,35,28
Belgium,Jupiler Pro League,Royal Charleroi SC,-,Mondy Prunier,Centre-Forward,"Dec 22, 1999 (25)",€600k,1999,600.0,64,52,35,28
Belgium,Jupiler Pro League,Royal Charleroi SC,80,Youssuf Sylla,Centre-Forward,"Dec 19, 2002 (22)",€600k,2002,600.0,64,52,35,28
