country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Belgium,Jupiler Pro League,Standard Liège,1,Matthieu Epolo,Goalkeeper,"Jan 15, 2005 (20)",€4.00m,2005,4000.0,73,31,34,66
Belgium,Jupiler Pro League,Standard Liège,21,Lucas Pirard,Goalkeeper,"Mar 10, 1995 (30)",€250k,1995,250.0,60,26,28,55
Belgium,Jupiler Pro League,Standard Liège,45,Matteo Godfroid,Goalkeeper,"Feb 25, 2004 (21)",€50k,2004,50.0,50,22,23,46
Belgium,Jupiler Pro League,Standard Liège,25,Ibe Hautekiet,Centre-Back,"Apr 13, 2002 (23)",€3.50m,2002,3500.0,73,34,38,60
Belgium,Jupiler Pro League,Standard Liège,4,Bosko Sutalo,Centre-Back,"Jan 1, 2000 (25)",€2.50m,2000,2500.0,71,33,37,58
Belgium,Jupiler Pro League,Standard Liège,44,David Bates,Centre-Back,"Oct 5, 1996 (28)",€2.20m,1996,2200.0,71,33,37,58
Belgium,Jupiler Pro League,Standard Liège,24,Josué Homawoo,Centre-Back,"Nov 12, 1997 (27)",€900k,1997,900.0,66,30,34,54
Belgium,Jupiler Pro League,Standard Liège,29,Daan Dierckx,Centre-Back,"Feb 24, 2003 (22)",€800k,2003,800.0,65,30,34,53
Belgium,Jupiler Pro League,Standard Liège,5,Boli Bolingoli,Left-Back,"Jul 1, 1995 (30)",€500k,1995,500.0,63,31,35,48
Belgium,Jupiler Pro League,Standard Liège,22,Alexandro Calut,Left-Back,"Apr 22, 2003 (22)",€400k,2003,400.0,61,30,34,46
Belgium,Jupiler Pro League,Standard Liège,13,Marlon Fossey,Right-Back,"Sep 9, 1998 (26)",€5.00m,1998,5000.0,75,37,41,57
Belgium,Jupiler Pro League,Standard Liège,18,Henry Lawrence,Right-Back,"Sep 21, 2001 (23)",€1.50m,2001,1500.0,69,34,38,52
Belgium,Jupiler Pro League,Standard Liège,6,Hakim Sahabo,Defensive Midfield,"Jun 16, 2005 (20)",€1.00m,2005,1000.0,65,34,34,42
Belgium,Jupiler Pro League,Standard Liège,23,Marco Ilaimaharitra,Defensive Midfield,"Jul 26, 1995 (30)",€800k,1995,800.0,66,34,34,42
Belgium,Jupiler Pro League,Standard Liège,94,Casper Nielsen,Central Midfield,"Apr 29, 1994 (31)",€2.50m,1994,2500.0,72,42,46,42
Belgium,Jupiler Pro League,Standard Liège,8,Nayel Mehssatou,Central Midfield,"Apr 11, 2002 (23)",€2.20m,2002,2200.0,71,41,45,41
Belgium,Jupiler Pro League,Standard Liège,14,Léandre Kuavita,Central Midfield,"May 31, 2004 (21)",€1.50m,2004,1500.0,68,39,44,39
Belgium,Jupiler Pro League,Standard Liège,20,Ibrahim Karamoko,Central Midfield,"Jul 23, 2001 (24)",€800k,2001,800.0,65,38,42,38
Belgium,Jupiler Pro League,Standard Liège,7,Tobias Mohr,Left Midfield,"Aug 24, 1995 (29)",€500k,1995,500.0,63,37,40,37
Belgium,Jupiler Pro League,Standard Liège,-,Moussa Djenepo,Left Winger,"Jun 15, 1998 (27)",€2.00m,1998,2000.0,70,53,41,32
Belgium,Jupiler Pro League,Standard Liège,17,Rafiki Saïd,Left Winger,"Mar 15, 2000 (25)",€2.00m,2000,2000.0,70,53,41,32
Belgium,Jupiler Pro League,Standard Liège,11,Adnane Abid,Right Winger,"Aug 23, 2003 (21)",€800k,2003,800.0,65,49,38,30
Belgium,Jupiler Pro League,Standard Liège,10,Dennis Eckert Ayensa,Centre-Forward,"Jan 9, 1997 (28)",€2.50m,1997,2500.0,72,59,40,31
Belgium,Jupiler Pro League,Standard Liège,9,Thomas Henry,Centre-Forward,"Sep 20, 1994 (30)",€1.00m,1994,1000.0,67,55,37,29
Belgium,Jupiler Pro League,Standard Liège,95,Grejohn Kyei,Centre-Forward,"Aug 12, 1995 (29)",€700k,1995,700.0,65,53,36,28
