country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Belgium,Jupiler Pro League,Union Saint-Gilloise,-,Kjell Scherpen,Goalkeeper,"Jan 23, 2000 (25)",€5.00m,2000,5000.0,75,32,34,68
Belgium,Jupiler Pro League,Union Saint-Gilloise,1,Vic Chambaere,Goalkeeper,"Jan 10, 2003 (22)",€300k,2003,300.0,60,26,28,55
Belgium,Jupiler Pro League,Union Saint-Gilloise,18,Giorgi Kavlashvili,Goalkeeper,"Jan 24, 2007 (18)",-,2007,15.0,42,18,19,38
Belgium,Jupiler Pro League,Union Saint-Gilloise,5,Kevin Mac Allister,Centre-Back,"Nov 7, 1997 (27)",€7.50m,1997,7500.0,78,36,41,64
Belgium,Jupiler Pro League,Union Saint-Gilloise,48,Fedde Leysen,Centre-Back,"Jul 9, 2003 (22)",€3.00m,2003,3000.0,72,33,37,59
Belgium,Jupiler Pro League,Union Saint-Gilloise,16,Christian Burgess,Centre-Back,"Oct 7, 1991 (33)",€2.20m,1991,2200.0,71,33,37,58
Belgium,Jupiler Pro League,Union Saint-Gilloise,26,Ross Sykes,Centre-Back,"Mar 26, 1999 (26)",€2.20m,1999,2200.0,71,33,37,58
Belgium,Jupiler Pro League,Union Saint-Gilloise,3,Mamadou Thierno Barry,Centre-Back,"Mar 20, 2005 (20)",€1.80m,2005,1800.0,68,31,35,56
Belgium,Jupiler Pro League,Union Saint-Gilloise,19,Guillaume François,Right-Back,"Jun 3, 1990 (35)",€150k,1990,150.0,57,28,31,43
Belgium,Jupiler Pro League,Union Saint-Gilloise,24,Charles Vanhoutte,Defensive Midfield,"Sep 16, 1998 (26)",€6.00m,1998,6000.0,76,40,40,49
Belgium,Jupiler Pro League,Union Saint-Gilloise,8,Adem Zorgane,Central Midfield,"Jan 6, 2000 (25)",€6.00m,2000,6000.0,76,44,49,44
Belgium,Jupiler Pro League,Union Saint-Gilloise,-,Lazare Amani,Central Midfield,"Mar 7, 1998 (27)",€3.00m,1998,3000.0,73,42,47,42
Belgium,Jupiler Pro League,Union Saint-Gilloise,6,Kamiel Van De Perre,Central Midfield,"Feb 12, 2004 (21)",€3.00m,2004,3000.0,71,41,45,41
Belgium,Jupiler Pro League,Union Saint-Gilloise,4,Mathias Rasmussen,Central Midfield,"Nov 25, 1997 (27)",€2.00m,1997,2000.0,70,41,45,41
Belgium,Jupiler Pro League,Union Saint-Gilloise,21,Alessio Castro-Montes,Right Midfield,"May 17, 1997 (28)",€5.00m,1997,5000.0,75,44,48,44
Belgium,Jupiler Pro League,Union Saint-Gilloise,10,Anouar Ait El Hadj,Attacking Midfield,"Apr 20, 2002 (23)",€3.00m,2002,3000.0,72,48,44,37
Belgium,Jupiler Pro League,Union Saint-Gilloise,22,Ousseynou Niang,Left Winger,"Oct 12, 2001 (23)",€4.00m,2001,4000.0,74,56,43,34
Belgium,Jupiler Pro League,Union Saint-Gilloise,23,Sofiane Boufal,Left Winger,"Sep 17, 1993 (31)",€3.50m,1993,3500.0,74,56,43,34
Belgium,Jupiler Pro League,Union Saint-Gilloise,11,Henok Teklab,Left Winger,"Nov 16, 1998 (26)",€800k,1998,800.0,65,49,38,30
Belgium,Jupiler Pro League,Union Saint-Gilloise,25,Anan Khalaili,Right Winger,"Sep 3, 2004 (20)",€8.00m,2004,8000.0,77,59,45,35
Belgium,Jupiler Pro League,Union Saint-Gilloise,30,Raul Florucz,Right Winger,"Jun 10, 2001 (24)",€2.00m,2001,2000.0,70,53,41,32
Belgium,Jupiler Pro League,Union Saint-Gilloise,9,Franjo Ivanovic,Centre-Forward,"Oct 1, 2003 (21)",€13.00m,2003,13000.0,80,66,44,34
Belgium,Jupiler Pro League,Union Saint-Gilloise,12,Promise David,Centre-Forward,"Jul 3, 2001 (24)",€11.00m,2001,11000.0,79,65,43,34
Belgium,Jupiler Pro League,Union Saint-Gilloise,77,Mohammed Fuseini,Centre-Forward,"May 16, 2002 (23)",€4.50m,2002,4500.0,74,61,41,32
Belgium,Jupiler Pro League,Union Saint-Gilloise,13,Kevin Rodríguez,Centre-Forward,"Mar 4, 2000 (25)",€1.50m,2000,1500.0,69,57,38,30
Belgium,Jupiler Pro League,Union Saint-Gilloise,20,Marc Giger,Centre-Forward,"Mar 27, 2004 (21)",€300k,2004,300.0,59,48,32,25
Belgium,Jupiler Pro League,Union Saint-Gilloise,31,Cristian Makaté,Centre-Forward,"Sep 21, 2002 (22)",-,2002,19.0,45,37,25,19
