country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
England,Premier League,Liverpool FC,56,Giorgi Mamardashvili,Goalkeeper,"Sep 29, 2000 (24)",€30.00m,2000,30000.0,85,37,39,77
England,Premier League,Liverpool FC,1,Alisson,Goalkeeper,"Oct 2, 1992 (32)",€20.00m,1992,20000.0,83,36,38,76
England,Premier League,Liverpool FC,55,Freddie Woodman,Goalkeeper,"Mar 4, 1997 (28)",€3.50m,1997,3500.0,73,31,34,66
England,Premier League,Liverpool FC,60,Ármin Pécsi,Goalkeeper,"Feb 24, 2005 (20)",€800k,2005,800.0,64,28,29,58
England,Premier League,Liverpool FC,5,Ibrahima Konaté,Centre-Back,"May 25, 1999 (26)",€60.00m,1999,60000.0,88,40,46,72
England,Premier League,Liverpool FC,4,Virgil van Dijk,Centre-Back,"Jul 8, 1991 (34)",€23.00m,1991,23000.0,84,39,44,69
England,Premier League,Liverpool FC,2,Joe Gomez,Centre-Back,"May 23, 1997 (28)",€20.00m,1997,20000.0,83,38,43,68
England,Premier League,Liverpool FC,46,Rhys Williams,Centre-Back,"Feb 3, 2001 (24)",€700k,2001,700.0,65,30,34,53
England,Premier League,Liverpool FC,57,Milos Kerkez,Left-Back,"Nov 7, 2003 (21)",€45.00m,2003,45000.0,86,42,47,65
England,Premier League,Liverpool FC,21,Konstantinos Tsimikas,Left-Back,"May 12, 1996 (29)",€18.00m,1996,18000.0,82,40,45,62
England,Premier League,Liverpool FC,26,Andrew Robertson,Left-Back,"Mar 11, 1994 (31)",€18.00m,1994,18000.0,82,40,45,62
England,Premier League,Liverpool FC,30,Jeremie Frimpong,Right-Back,"Dec 10, 2000 (24)",€50.00m,2000,50000.0,87,43,48,66
England,Premier League,Liverpool FC,84,Conor Bradley,Right-Back,"Jul 9, 2003 (22)",€30.00m,2003,30000.0,84,41,46,64
England,Premier League,Liverpool FC,22,Calvin Ramsay,Right-Back,"Jul 31, 2003 (21)",€2.50m,2003,2500.0,71,35,39,54
England,Premier League,Liverpool FC,38,Ryan Gravenberch,Defensive Midfield,"May 16, 2002 (23)",€75.00m,2002,75000.0,89,46,46,57
England,Premier League,Liverpool FC,43,Stefan Bajcetic,Defensive Midfield,"Oct 22, 2004 (20)",€9.00m,2004,9000.0,77,40,40,49
England,Premier League,Liverpool FC,3,Wataru Endo,Defensive Midfield,"Feb 9, 1993 (32)",€8.00m,1993,8000.0,78,41,41,50
England,Premier League,Liverpool FC,80,Tyler Morton,Defensive Midfield,"Oct 31, 2002 (22)",€7.00m,2002,7000.0,77,40,40,49
England,Premier League,Liverpool FC,10,Alexis Mac Allister,Central Midfield,"Dec 24, 1998 (26)",€100.00m,1998,100000.0,91,53,58,53
England,Premier League,Liverpool FC,17,Curtis Jones,Central Midfield,"Jan 30, 2001 (24)",€45.00m,2001,45000.0,87,50,56,50
England,Premier League,Liverpool FC,27,Florian Wirtz,Attacking Midfield,"May 3, 2003 (22)",€140.00m,2003,140000.0,92,62,56,48
England,Premier League,Liverpool FC,8,Dominik Szoboszlai,Attacking Midfield,"Oct 25, 2000 (24)",€80.00m,2000,80000.0,90,60,55,47
England,Premier League,Liverpool FC,19,Harvey Elliott,Attacking Midfield,"Apr 4, 2003 (22)",€30.00m,2003,30000.0,84,56,51,44
England,Premier League,Liverpool FC,7,Luis Díaz,Left Winger,"Jan 13, 1997 (28)",€70.00m,1997,70000.0,89,68,52,41
England,Premier League,Liverpool FC,18,Cody Gakpo,Left Winger,"May 7, 1999 (26)",€70.00m,1999,70000.0,89,68,52,41
England,Premier League,Liverpool FC,11,Mohamed Salah,Right Winger,"Jun 15, 1992 (33)",€50.00m,1992,50000.0,88,67,51,40
England,Premier League,Liverpool FC,14,Federico Chiesa,Right Winger,"Oct 25, 1997 (27)",€14.00m,1997,14000.0,81,62,47,37
England,Premier League,Liverpool FC,50,Ben Doak,Right Winger,"Nov 11, 2005 (19)",€14.00m,2005,14000.0,79,60,46,36
England,Premier League,Liverpool FC,54,Hugo Ekitiké,Centre-Forward,"Jun 20, 2002 (23)",€75.00m,2002,75000.0,89,73,49,38
England,Premier League,Liverpool FC,9,Darwin Núñez,Centre-Forward,"Jun 24, 1999 (26)",€45.00m,1999,45000.0,87,71,48,37
