country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
England,Championship,Blackburn Rovers,1,Aynsley Pears,Goalkeeper,"Apr 23, 1998 (27)",€1.40m,1998,1400.0,68,29,31,62
England,Championship,Blackburn Rovers,12,Balázs Tóth,Goalkeeper,"Sep 4, 1997 (27)",€700k,1997,700.0,65,28,30,59
England,Championship,Blackburn Rovers,17,Hayden Carter,Centre-Back,"Dec 17, 1999 (25)",€2.50m,1999,2500.0,71,33,37,58
England,Championship,Blackburn Rovers,5,Dominic Hyam,Centre-Back,"Dec 20, 1995 (29)",€2.00m,1995,2000.0,71,33,37,58
England,Championship,Blackburn Rovers,16,Scott Wharton,Centre-Back,"Oct 3, 1997 (27)",€2.00m,1997,2000.0,70,32,36,57
England,Championship,Blackburn Rovers,-,Sean McLoughlin,Centre-Back,"Nov 13, 1996 (28)",€1.50m,1996,1500.0,69,32,36,57
England,Championship,Blackburn Rovers,3,Harry Pickering,Left-Back,"Dec 29, 1998 (26)",€3.00m,1998,3000.0,73,36,40,55
England,Championship,Blackburn Rovers,4,Yuri Ribeiro,Left-Back,"Jan 24, 1997 (28)",€1.20m,1997,1200.0,68,33,37,52
England,Championship,Blackburn Rovers,2,Callum Brittain,Right-Back,"Mar 12, 1998 (27)",€2.50m,1998,2500.0,72,35,40,55
England,Championship,Blackburn Rovers,-,Ryan Alebiosu,Right-Back,"Dec 17, 2001 (23)",€500k,2001,500.0,63,31,35,48
England,Championship,Blackburn Rovers,27,Lewis Travis,Defensive Midfield,"Oct 16, 1997 (27)",€3.50m,1997,3500.0,73,38,38,47
England,Championship,Blackburn Rovers,34,Jake Garrett,Defensive Midfield,"Mar 10, 2003 (22)",€550k,2003,550.0,63,33,33,40
England,Championship,Blackburn Rovers,21,John Buckley,Central Midfield,"Oct 13, 1999 (25)",€2.20m,1999,2200.0,71,41,45,41
England,Championship,Blackburn Rovers,6,Sondre Tronstad,Central Midfield,"Aug 26, 1995 (29)",€1.60m,1995,1600.0,69,40,44,40
England,Championship,Blackburn Rovers,-,Sidnei Tavares,Central Midfield,"Sep 29, 2001 (23)",€800k,2001,800.0,65,38,42,38
England,Championship,Blackburn Rovers,28,Adam Forshaw,Central Midfield,"Oct 8, 1991 (33)",€250k,1991,250.0,60,35,38,35
England,Championship,Blackburn Rovers,-,Dion De Neve,Left Midfield,"Jun 12, 2001 (24)",€900k,2001,900.0,66,38,42,38
England,Championship,Blackburn Rovers,8,Todd Cantwell,Attacking Midfield,"Feb 27, 1998 (27)",€3.50m,1998,3500.0,73,49,45,38
England,Championship,Blackburn Rovers,19,Ryan Hedges,Right Winger,"Jul 8, 1995 (30)",€900k,1995,900.0,66,50,38,30
England,Championship,Blackburn Rovers,47,Augustus Kargbo,Second Striker,"Aug 24, 1999 (25)",€1.00m,1999,1000.0,67,53,39,29
England,Championship,Blackburn Rovers,9,Makhtar Gueye,Centre-Forward,"Dec 4, 1997 (27)",€3.00m,1997,3000.0,73,60,40,31
England,Championship,Blackburn Rovers,23,Yuki Ohashi,Centre-Forward,"Jul 27, 1996 (29)",€1.80m,1996,1800.0,70,57,38,30
England,Championship,Blackburn Rovers,20,Harry Leonard,Centre-Forward,"Sep 12, 2003 (21)",€1.00m,2003,1000.0,66,54,36,28
