country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
England,Championship,Coventry City,-,Carl Rushworth,Goalkeeper,"Jul 2, 2001 (24)",€3.00m,2001,3000.0,72,31,33,66
England,Championship,Coventry City,1,Oliver Dovin,Goalkeeper,"Jul 11, 2002 (23)",€2.50m,2002,2500.0,71,31,33,65
England,Championship,Coventry City,40,Brad Collins,Goalkeeper,"Feb 18, 1997 (28)",€1.00m,1997,1000.0,67,29,31,61
England,Championship,Coventry City,13,Ben Wilson,Goalkeeper,"Aug 9, 1992 (32)",€600k,1992,600.0,64,28,29,58
England,Championship,Coventry City,15,Liam Kitching,Centre-Back,"Sep 25, 1999 (25)",€4.50m,1999,4500.0,75,34,39,62
England,Championship,Coventry City,4,Bobby Thomas,Centre-Back,"Jan 30, 2001 (24)",€3.00m,2001,3000.0,72,33,37,59
England,Championship,Coventry City,22,Joel Latibeaudiere,Centre-Back,"Jan 6, 2000 (25)",€3.00m,2000,3000.0,72,33,37,59
England,Championship,Coventry City,2,Luis Binks,Centre-Back,"Sep 2, 2001 (23)",€2.20m,2001,2200.0,71,33,37,58
England,Championship,Coventry City,3,Jay Dasilva,Left-Back,"Apr 22, 1998 (27)",€4.00m,1998,4000.0,74,36,41,56
England,Championship,Coventry City,-,Miguel Ángel Brau,Left-Back,"Dec 27, 2001 (23)",€1.00m,2001,1000.0,66,32,36,50
England,Championship,Coventry City,21,Jake Bidwell,Left-Back,"Mar 21, 1993 (32)",€1.00m,1993,1000.0,67,33,37,51
England,Championship,Coventry City,27,Milan van Ewijk,Right-Back,"Sep 8, 2000 (24)",€10.00m,2000,10000.0,79,39,43,60
England,Championship,Coventry City,-,Kaine Kesler-Hayden,Right-Back,"Oct 23, 2002 (22)",€2.50m,2002,2500.0,71,35,39,54
England,Championship,Coventry City,14,Ben Sheaf,Defensive Midfield,"Feb 5, 1998 (27)",€7.00m,1998,7000.0,77,40,40,49
England,Championship,Coventry City,6,Matt Grimes,Defensive Midfield,"Jul 15, 1995 (30)",€5.00m,1995,5000.0,76,40,40,49
England,Championship,Coventry City,5,Jack Rudoni,Central Midfield,"Jun 14, 2001 (24)",€12.00m,2001,12000.0,80,46,51,46
England,Championship,Coventry City,28,Josh Eccles,Central Midfield,"Apr 6, 2000 (25)",€7.00m,2000,7000.0,77,45,49,45
England,Championship,Coventry City,29,Victor Torp,Central Midfield,"Jul 30, 1999 (25)",€2.20m,1999,2200.0,71,41,45,41
England,Championship,Coventry City,8,Jamie Allen,Central Midfield,"Jan 29, 1995 (30)",€600k,1995,600.0,64,37,41,37
England,Championship,Coventry City,7,Tatsuhiro Sakamoto,Right Midfield,"Oct 22, 1996 (28)",€4.50m,1996,4500.0,75,44,48,44
England,Championship,Coventry City,10,Ephron Mason-Clark,Left Winger,"Aug 25, 1999 (25)",€6.50m,1999,6500.0,77,59,45,35
England,Championship,Coventry City,17,Raphael Borges Rodrigues,Left Winger,"Sep 11, 2003 (21)",€400k,2003,400.0,61,46,35,28
England,Championship,Coventry City,11,Haji Wright,Centre-Forward,"Mar 27, 1998 (27)",€8.00m,1998,8000.0,78,64,43,34
England,Championship,Coventry City,9,Ellis Simms,Centre-Forward,"Jan 5, 2001 (24)",€6.00m,2001,6000.0,76,62,42,33
England,Championship,Coventry City,23,Brandon Thomas-Asante,Centre-Forward,"Dec 29, 1998 (26)",€3.50m,1998,3500.0,73,60,40,31
England,Championship,Coventry City,37,Norman Bassette,Centre-Forward,"Nov 9, 2004 (20)",€2.20m,2004,2200.0,70,57,38,30
