country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
England,Championship,Ipswich Town,1,Arijanet Muric,Goalkeeper,"Nov 7, 1998 (26)",€5.00m,1998,5000.0,75,32,34,68
England,Championship,Ipswich Town,28,Christian Walton,Goalkeeper,"Nov 9, 1995 (29)",€1.00m,1995,1000.0,67,29,31,61
England,Championship,Ipswich Town,31,Alex Palmer,Goalkeeper,"Aug 10, 1996 (28)",€1.00m,1996,1000.0,67,29,31,61
England,Championship,Ipswich Town,13,Cieran Slicker,Goalkeeper,"Sep 15, 2002 (22)",€300k,2002,300.0,60,26,28,55
England,Championship,Ipswich Town,-,David Button,Goalkeeper,"Feb 27, 1989 (36)",€50k,1989,50.0,51,22,23,46
England,Championship,Ipswich Town,24,Jacob Greaves,Centre-Back,"Sep 12, 2000 (24)",€18.00m,2000,18000.0,82,38,43,67
England,Championship,Ipswich Town,26,Dara O'Shea,Centre-Back,"Mar 4, 1999 (26)",€14.00m,1999,14000.0,81,37,42,66
England,Championship,Ipswich Town,-,Cédric Kipré,Centre-Back,"Dec 9, 1996 (28)",€3.00m,1996,3000.0,73,34,38,60
England,Championship,Ipswich Town,6,Luke Woolfenden,Centre-Back,"Oct 21, 1998 (26)",€2.00m,1998,2000.0,70,32,36,57
England,Championship,Ipswich Town,-,Elkan Baggott,Centre-Back,"Oct 23, 2002 (22)",€200k,2002,200.0,58,27,30,48
England,Championship,Ipswich Town,3,Leif Davis,Left-Back,"Dec 31, 1999 (25)",€22.00m,1999,22000.0,83,41,46,63
England,Championship,Ipswich Town,22,Conor Townsend,Left-Back,"Mar 4, 1993 (32)",€800k,1993,800.0,66,32,36,50
England,Championship,Ipswich Town,18,Ben Johnson,Right-Back,"Jan 24, 2000 (25)",€8.00m,2000,8000.0,78,38,43,59
England,Championship,Ipswich Town,-,Harry Clarke,Right-Back,"Mar 2, 2001 (24)",€4.50m,2001,4500.0,74,36,41,56
England,Championship,Ipswich Town,-,Ashley Young,Right-Back,"Jul 9, 1985 (40)",€500k,1985,500.0,64,31,35,49
England,Championship,Ipswich Town,-,Azor Matusiwa,Defensive Midfield,"Apr 28, 1998 (27)",€8.00m,1998,8000.0,78,41,41,50
England,Championship,Ipswich Town,14,Jack Taylor,Central Midfield,"Jun 23, 1998 (27)",€3.00m,1998,3000.0,73,42,47,42
England,Championship,Ipswich Town,-,Cameron Humphreys,Central Midfield,"Oct 30, 2003 (21)",€500k,2003,500.0,62,36,40,36
England,Championship,Ipswich Town,20,Omari Hutchinson,Attacking Midfield,"Oct 30, 2003 (21)",€22.00m,2003,22000.0,82,55,50,43
England,Championship,Ipswich Town,23,Sammie Szmodics,Attacking Midfield,"Sep 24, 1995 (29)",€10.00m,1995,10000.0,79,53,48,41
England,Championship,Ipswich Town,29,Jaden Philogene,Left Winger,"Feb 8, 2002 (23)",€16.00m,2002,16000.0,81,62,47,37
England,Championship,Ipswich Town,47,Jack Clarke,Left Winger,"Nov 23, 2000 (24)",€15.00m,2000,15000.0,81,62,47,37
England,Championship,Ipswich Town,33,Nathan Broadhead,Left Winger,"Apr 5, 1998 (27)",€4.50m,1998,4500.0,75,57,44,34
England,Championship,Ipswich Town,21,Chiedozie Ogbene,Right Winger,"May 1, 1997 (28)",€7.00m,1997,7000.0,77,59,45,35
England,Championship,Ipswich Town,7,Wes Burns,Right Winger,"Nov 23, 1994 (30)",€2.00m,1994,2000.0,71,54,41,33
England,Championship,Ipswich Town,10,Conor Chaplin,Second Striker,"Feb 16, 1997 (28)",€6.00m,1997,6000.0,76,60,44,33
England,Championship,Ipswich Town,27,George Hirst,Centre-Forward,"Feb 15, 1999 (26)",€4.00m,1999,4000.0,74,61,41,32
England,Championship,Ipswich Town,-,Ali Al-Hamadi,Centre-Forward,"Mar 1, 2002 (23)",€2.50m,2002,2500.0,71,58,39,31
