country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
England,Championship,Stoke City,1,Viktor Johansson,Goalkeeper,"Sep 14, 1998 (26)",€8.00m,1998,8000.0,78,34,36,71
England,Championship,Stoke City,13,Jack Bonham,Goalkeeper,"Sep 14, 1993 (31)",€300k,1993,300.0,61,26,28,56
England,Championship,Stoke City,34,Frank Fielding,Goalkeeper,"Apr 4, 1988 (37)",€100k,1988,100.0,55,24,25,50
England,Championship,Stoke City,16,Ben Wilmot,Centre-Back,"Nov 4, 1999 (25)",€4.80m,1999,4800.0,75,34,39,62
England,Championship,Stoke City,-,Maksym Taloverov,Centre-Back,"Jun 28, 2000 (25)",€3.00m,2000,3000.0,72,33,37,59
England,Championship,Stoke City,26,Ashley Phillips,Centre-Back,"Jun 26, 2005 (20)",€2.80m,2005,2800.0,71,33,37,58
England,Championship,Stoke City,18,Bosun Lawal,Centre-Back,"May 30, 2003 (22)",€1.50m,2003,1500.0,68,31,35,56
England,Championship,Stoke City,23,Ben Gibson,Centre-Back,"Jan 15, 1993 (32)",€800k,1993,800.0,66,30,34,54
England,Championship,Stoke City,17,Eric-Junior Bocat,Left-Back,"Jul 16, 1999 (26)",€2.20m,1999,2200.0,71,35,39,54
England,Championship,Stoke City,-,Aaron Cresswell,Left-Back,"Dec 15, 1989 (35)",€500k,1989,500.0,64,31,35,49
England,Championship,Stoke City,22,Junior Tchamadeu,Right-Back,"Dec 22, 2003 (21)",€1.00m,2003,1000.0,66,32,36,50
England,Championship,Stoke City,8,Lewis Baker,Central Midfield,"Apr 25, 1995 (30)",€1.20m,1995,1200.0,68,39,44,39
England,Championship,Stoke City,30,Souleymane Sidibé,Central Midfield,"Feb 10, 2007 (18)",€1.20m,2007,1200.0,65,38,42,38
England,Championship,Stoke City,4,Ben Pearson,Central Midfield,"Jan 4, 1995 (30)",€1.00m,1995,1000.0,67,39,43,39
England,Championship,Stoke City,12,Tatsuki Seko,Central Midfield,"Dec 22, 1997 (27)",€700k,1997,700.0,65,38,42,38
England,Championship,Stoke City,10,Jun-ho Bae,Attacking Midfield,"Aug 21, 2003 (21)",€3.00m,2003,3000.0,72,48,44,37
England,Championship,Stoke City,7,André Vidigal,Left Winger,"Aug 17, 1998 (26)",€1.20m,1998,1200.0,68,52,39,31
England,Championship,Stoke City,42,Million Manhoef,Right Winger,"Jan 3, 2002 (23)",€3.80m,2002,3800.0,73,55,42,34
England,Championship,Stoke City,-,Sorba Thomas,Right Winger,"Jan 25, 1999 (26)",€3.50m,1999,3500.0,73,55,42,34
England,Championship,Stoke City,-,Nikola Jojic,Right Winger,"Sep 15, 2003 (21)",€600k,2003,600.0,63,48,37,29
England,Championship,Stoke City,-,Róbert Boženík,Centre-Forward,"Nov 18, 1999 (25)",€4.00m,1999,4000.0,74,61,41,32
England,Championship,Stoke City,-,Divin Mubama,Centre-Forward,"Oct 25, 2004 (20)",€4.00m,2004,4000.0,73,60,40,31
England,Championship,Stoke City,19,Ryan Mmaee,Centre-Forward,"Nov 1, 1997 (27)",€1.40m,1997,1400.0,69,57,38,30
England,Championship,Stoke City,20,Sam Gallagher,Centre-Forward,"Sep 15, 1995 (29)",€1.40m,1995,1400.0,69,57,38,30
England,Championship,Stoke City,35,Nathan Lowe,Centre-Forward,"Sep 18, 2005 (19)",€250k,2005,250.0,58,48,32,25
