country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
England,Championship,Swansea City,1,Andy Fisher,Goalkeeper,"Feb 12, 1998 (27)",€700k,1998,700.0,65,28,30,59
England,Championship,Swansea City,22,Lawrence Vigouroux,Goalkeeper,"Nov 19, 1993 (31)",€450k,1993,450.0,63,27,29,57
England,Championship,Swansea City,5,Ben Cabango,Centre-Back,"May 30, 2000 (25)",€9.00m,2000,9000.0,78,36,41,64
England,Championship,Swansea City,-,Cameron Burgess,Centre-Back,"Oct 21, 1995 (29)",€2.00m,1995,2000.0,71,33,37,58
England,Championship,Swansea City,-,Ricardo Santos,Centre-Back,"Jun 18, 1995 (30)",€600k,1995,600.0,64,29,33,52
England,Championship,Swansea City,50,Filip Lissah,Centre-Back,"Dec 8, 2004 (20)",-,2004,6.0,38,17,20,31
England,Championship,Swansea City,14,Josh Tymon,Left-Back,"May 22, 1999 (26)",€3.50m,1999,3500.0,73,36,40,55
England,Championship,Swansea City,2,Josh Key,Right-Back,"Nov 19, 1999 (25)",€800k,1999,800.0,65,32,36,49
England,Championship,Swansea City,41,Sam Parker,Right-Back,"Jul 7, 2006 (19)",€150k,2006,150.0,55,27,30,42
England,Championship,Swansea City,17,Gonçalo Franco,Central Midfield,"Nov 17, 2000 (24)",€3.50m,2000,3500.0,73,42,47,42
England,Championship,Swansea City,-,Melker Widell,Central Midfield,"Apr 19, 2002 (23)",€1.50m,2002,1500.0,68,39,44,39
England,Championship,Swansea City,4,Jay Fulton,Central Midfield,"Apr 1, 1994 (31)",€800k,1994,800.0,66,38,42,38
England,Championship,Swansea City,30,Ethan Galbraith,Central Midfield,"May 11, 2001 (24)",€600k,2001,600.0,64,37,41,37
England,Championship,Swansea City,45,Cameron Congreve,Left Midfield,"Jan 24, 2004 (21)",€300k,2004,300.0,59,34,38,34
England,Championship,Swansea City,31,Oliver Cooper,Attacking Midfield,"Dec 14, 1999 (25)",€3.00m,1999,3000.0,72,48,44,37
England,Championship,Swansea City,36,Ben Lloyd,Attacking Midfield,"Mar 14, 2005 (20)",-,2005,56.0,50,34,30,26
England,Championship,Swansea City,27,Zeidane Inoussa,Left Winger,"May 13, 2002 (23)",€3.00m,2002,3000.0,72,55,42,33
England,Championship,Swansea City,10,Ji-sung Eom,Left Winger,"May 9, 2002 (23)",€1.40m,2002,1400.0,68,52,39,31
England,Championship,Swansea City,11,Josh Ginnelly,Left Winger,"Mar 24, 1997 (28)",€600k,1997,600.0,64,49,37,29
England,Championship,Swansea City,19,Florian Bianchini,Right Winger,"Jun 25, 2001 (24)",€2.00m,2001,2000.0,70,53,41,32
England,Championship,Swansea City,35,Ronald,Right Winger,"Jun 14, 2001 (24)",€2.00m,2001,2000.0,70,53,41,32
England,Championship,Swansea City,20,Liam Cullen,Centre-Forward,"Apr 23, 1999 (26)",€3.00m,1999,3000.0,72,59,40,31
England,Championship,Swansea City,-,Jerry Yates,Centre-Forward,"Nov 10, 1996 (28)",€2.80m,1996,2800.0,72,59,40,31
England,Championship,Swansea City,9,Zan Vipotnik,Centre-Forward,"Mar 18, 2002 (23)",€2.50m,2002,2500.0,71,58,39,31
England,Championship,Swansea City,-,Bobby Wales,Centre-Forward,"Jun 23, 2005 (20)",€600k,2005,600.0,63,52,35,27
