country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
England,Premier League,Manchester City,31,Ederson,Goalkeeper,"Aug 17, 1993 (31)",€20.00m,1993,20000.0,83,36,38,76
England,Premier League,Manchester City,18,Stefan Ortega,Goalkeeper,"Nov 6, 1992 (32)",€8.00m,1992,8000.0,78,34,36,71
England,Premier League,Manchester City,13,Marcus Bettinelli,Goalkeeper,"May 24, 1992 (33)",€600k,1992,600.0,64,28,29,58
England,Premier League,Manchester City,3,Rúben Dias,Centre-Back,"May 14, 1997 (28)",€65.00m,1997,65000.0,89,41,46,73
England,Premier League,Manchester City,45,Abdukodir Khusanov,Centre-Back,"Feb 29, 2004 (21)",€35.00m,2004,35000.0,85,39,44,70
England,Premier League,Manchester City,22,Vitor Reis,Centre-Back,"Jan 12, 2006 (19)",€30.00m,2006,30000.0,83,38,43,68
England,Premier League,Manchester City,25,Manuel Akanji,Centre-Back,"Jul 19, 1995 (30)",€28.00m,1995,28000.0,85,39,44,70
England,Premier League,Manchester City,5,John Stones,Centre-Back,"May 28, 1994 (31)",€25.00m,1994,25000.0,84,39,44,69
England,Premier League,Manchester City,6,Nathan Aké,Centre-Back,"Feb 18, 1995 (30)",€25.00m,1995,25000.0,84,39,44,69
England,Premier League,Manchester City,24,Josko Gvardiol,Left-Back,"Jan 23, 2002 (23)",€75.00m,2002,75000.0,89,44,49,68
England,Premier League,Manchester City,21,Rayan Aït-Nouri,Left-Back,"Jun 6, 2001 (24)",€35.00m,2001,35000.0,85,42,47,65
England,Premier League,Manchester City,97,Josh Wilson-Esbrand,Left-Back,"Dec 26, 2002 (22)",€4.00m,2002,4000.0,74,36,41,56
England,Premier League,Manchester City,82,Rico Lewis,Right-Back,"Nov 21, 2004 (20)",€40.00m,2004,40000.0,85,42,47,65
England,Premier League,Manchester City,78,Issa Kaboré,Right-Back,"May 12, 2001 (24)",€4.00m,2001,4000.0,74,36,41,56
England,Premier League,Manchester City,16,Rodri,Defensive Midfield,"Jun 22, 1996 (29)",€110.00m,1996,110000.0,92,48,48,59
England,Premier League,Manchester City,-,Kalvin Phillips,Defensive Midfield,"Dec 2, 1995 (29)",€12.00m,1995,12000.0,80,42,42,51
England,Premier League,Manchester City,4,Tijjani Reijnders,Central Midfield,"Jul 29, 1998 (26)",€60.00m,1998,60000.0,89,52,57,52
England,Premier League,Manchester City,14,Nico González,Central Midfield,"Jan 3, 2002 (23)",€40.00m,2002,40000.0,86,50,55,50
England,Premier League,Manchester City,27,Matheus Nunes,Central Midfield,"Aug 27, 1998 (26)",€35.00m,1998,35000.0,86,50,55,50
England,Premier League,Manchester City,8,Mateo Kovacic,Central Midfield,"May 6, 1994 (31)",€20.00m,1994,20000.0,83,48,53,48
England,Premier League,Manchester City,-,Sverre Nypan,Central Midfield,"Dec 19, 2006 (18)",€15.00m,2006,15000.0,79,46,51,46
England,Premier League,Manchester City,19,İlkay Gündoğan,Central Midfield,"Oct 24, 1990 (34)",€5.00m,1990,5000.0,76,44,49,44
England,Premier League,Manchester City,20,Bernardo Silva,Attacking Midfield,"Aug 10, 1994 (30)",€38.00m,1994,38000.0,86,58,52,45
England,Premier League,Manchester City,87,James McAtee,Attacking Midfield,"Oct 18, 2002 (22)",€20.00m,2002,20000.0,82,55,50,43
England,Premier League,Manchester City,30,Claudio Echeverri,Attacking Midfield,"Jan 2, 2006 (19)",€18.00m,2006,18000.0,80,54,49,42
England,Premier League,Manchester City,75,Nico O'Reilly,Attacking Midfield,"Mar 21, 2005 (20)",€18.00m,2005,18000.0,81,54,49,42
England,Premier League,Manchester City,11,Jérémy Doku,Left Winger,"May 27, 2002 (23)",€50.00m,2002,50000.0,87,66,50,40
England,Premier League,Manchester City,10,Jack Grealish,Left Winger,"Sep 10, 1995 (29)",€28.00m,1995,28000.0,85,65,49,39
England,Premier League,Manchester City,47,Phil Foden,Right Winger,"May 28, 2000 (25)",€100.00m,2000,100000.0,91,69,53,42
England,Premier League,Manchester City,26,Savinho,Right Winger,"Apr 10, 2004 (21)",€50.00m,2004,50000.0,86,65,50,40
England,Premier League,Manchester City,29,Rayan Cherki,Right Winger,"Aug 17, 2003 (21)",€45.00m,2003,45000.0,86,65,50,40
England,Premier League,Manchester City,52,Oscar Bobb,Right Winger,"Jul 12, 2003 (22)",€25.00m,2003,25000.0,83,63,48,38
England,Premier League,Manchester City,9,Erling Haaland,Centre-Forward,"Jul 21, 2000 (25)",€180.00m,2000,180000.0,94,77,52,40
England,Premier League,Manchester City,7,Omar Marmoush,Centre-Forward,"Feb 7, 1999 (26)",€75.00m,1999,75000.0,90,74,50,39
