country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
England,Premier League,Newcastle United,22,Nick Pope,Goalkeeper,"Apr 19, 1992 (33)",€8.00m,1992,8000.0,78,34,36,71
England,Premier League,Newcastle United,19,Odysseas Vlachodimos,Goalkeeper,"Apr 26, 1994 (31)",€5.00m,1994,5000.0,76,33,35,69
England,Premier League,Newcastle United,1,Martin Dúbravka,Goalkeeper,"Jan 15, 1989 (36)",€1.00m,1989,1000.0,67,29,31,61
England,Premier League,Newcastle United,29,Mark Gillespie,Goalkeeper,"Mar 27, 1992 (33)",€200k,1992,200.0,59,25,27,54
England,Premier League,Newcastle United,4,Sven Botman,Centre-Back,"Jan 12, 2000 (25)",€42.00m,2000,42000.0,86,40,45,71
England,Premier League,Newcastle United,5,Fabian Schär,Centre-Back,"Dec 20, 1991 (33)",€7.00m,1991,7000.0,78,36,41,64
England,Premier League,Newcastle United,33,Dan Burn,Centre-Back,"May 9, 1992 (33)",€6.00m,1992,6000.0,77,35,40,63
England,Premier League,Newcastle United,6,Jamaal Lascelles,Centre-Back,"Nov 11, 1993 (31)",€4.00m,1993,4000.0,74,34,38,61
England,Premier League,Newcastle United,3,Lewis Hall,Left-Back,"Sep 8, 2004 (20)",€32.00m,2004,32000.0,84,41,46,64
England,Premier League,Newcastle United,13,Matt Targett,Left-Back,"Sep 18, 1995 (29)",€5.00m,1995,5000.0,76,37,42,58
England,Premier League,Newcastle United,37,Alex Murphy,Left-Back,"Jun 25, 2004 (21)",€300k,2004,300.0,59,29,32,45
England,Premier League,Newcastle United,21,Tino Livramento,Right-Back,"Nov 12, 2002 (22)",€40.00m,2002,40000.0,86,42,47,65
England,Premier League,Newcastle United,2,Kieran Trippier,Right-Back,"Sep 19, 1990 (34)",€4.00m,1990,4000.0,75,37,41,57
England,Premier League,Newcastle United,17,Emil Krafth,Right-Back,"Aug 2, 1994 (30)",€2.00m,1994,2000.0,71,35,39,54
England,Premier League,Newcastle United,30,Harrison Ashby,Right-Back,"Nov 14, 2001 (23)",€1.40m,2001,1400.0,68,33,37,52
England,Premier League,Newcastle United,39,Bruno Guimarães,Defensive Midfield,"Nov 16, 1997 (27)",€80.00m,1997,80000.0,90,47,47,58
England,Premier League,Newcastle United,-,Isaac Hayden,Defensive Midfield,"Mar 22, 1995 (30)",€700k,1995,700.0,65,34,34,42
England,Premier League,Newcastle United,8,Sandro Tonali,Central Midfield,"May 8, 2000 (25)",€60.00m,2000,60000.0,88,51,56,51
England,Premier League,Newcastle United,7,Joelinton,Central Midfield,"Aug 14, 1996 (28)",€35.00m,1996,35000.0,86,50,55,50
England,Premier League,Newcastle United,28,Joe Willock,Central Midfield,"Aug 20, 1999 (25)",€22.00m,1999,22000.0,83,48,53,48
England,Premier League,Newcastle United,67,Lewis Miley,Central Midfield,"May 1, 2006 (19)",€22.00m,2006,22000.0,81,47,52,47
England,Premier League,Newcastle United,40,Joe White,Attacking Midfield,"Oct 1, 2002 (22)",€275k,2002,275.0,59,40,36,31
England,Premier League,Newcastle United,10,Anthony Gordon,Left Winger,"Feb 24, 2001 (24)",€65.00m,2001,65000.0,89,68,52,41
England,Premier League,Newcastle United,11,Harvey Barnes,Left Winger,"Dec 9, 1997 (27)",€35.00m,1997,35000.0,86,65,50,40
England,Premier League,Newcastle United,-,Antoñito Cordero,Left Winger,"Nov 14, 2006 (18)",€2.00m,2006,2000.0,69,52,40,32
England,Premier League,Newcastle United,20,Anthony Elanga,Right Winger,"Apr 27, 2002 (23)",€42.00m,2002,42000.0,86,65,50,40
England,Premier League,Newcastle United,23,Jacob Murphy,Right Winger,"Feb 24, 1995 (30)",€16.00m,1995,16000.0,82,62,48,38
England,Premier League,Newcastle United,14,Alexander Isak,Centre-Forward,"Sep 21, 1999 (25)",€120.00m,1999,120000.0,92,75,51,40
England,Premier League,Newcastle United,18,William Osula,Centre-Forward,"Aug 4, 2003 (21)",€7.00m,2003,7000.0,76,62,42,33
