country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
England,Premier League,Wolverhampton Wanderers,1,José Sá,Goalkeeper,"Jan 17, 1993 (32)",€7.00m,1993,7000.0,77,33,35,70
England,Premier League,Wolverhampton Wanderers,31,Sam Johnstone,Goalkeeper,"Mar 25, 1993 (32)",€6.00m,1993,6000.0,77,33,35,70
England,Premier League,Wolverhampton Wanderers,25,Daniel Bentley,Goalkeeper,"Jul 13, 1993 (32)",€1.50m,1993,1500.0,69,30,32,63
England,Premier League,Wolverhampton Wanderers,40,Tom King,Goalkeeper,"Mar 9, 1995 (30)",€200k,1995,200.0,58,25,27,53
England,Premier League,Wolverhampton Wanderers,24,Toti,Centre-Back,"Jan 16, 1999 (26)",€28.00m,1999,28000.0,84,39,44,69
England,Premier League,Wolverhampton Wanderers,12,Emmanuel Agbadou,Centre-Back,"Jun 17, 1997 (28)",€20.00m,1997,20000.0,83,38,43,68
England,Premier League,Wolverhampton Wanderers,4,Santiago Bueno,Centre-Back,"Nov 9, 1998 (26)",€10.00m,1998,10000.0,79,36,41,65
England,Premier League,Wolverhampton Wanderers,14,Yerson Mosquera,Centre-Back,"May 2, 2001 (24)",€8.00m,2001,8000.0,77,35,40,63
England,Premier League,Wolverhampton Wanderers,17,Hugo Bueno,Left-Back,"Sep 18, 2002 (22)",€8.00m,2002,8000.0,77,38,42,59
England,Premier League,Wolverhampton Wanderers,35,Ki-Jana Hoever,Right-Back,"Jan 18, 2002 (23)",€5.00m,2002,5000.0,75,37,41,57
England,Premier League,Wolverhampton Wanderers,37,Pedro Lima,Right-Back,"Jul 1, 2006 (19)",€5.00m,2006,5000.0,73,36,40,55
England,Premier League,Wolverhampton Wanderers,2,Matt Doherty,Right-Back,"Jan 16, 1992 (33)",€2.00m,1992,2000.0,71,35,39,54
England,Premier League,Wolverhampton Wanderers,7,André,Defensive Midfield,"Jul 16, 2001 (24)",€28.00m,2001,28000.0,84,44,44,54
England,Premier League,Wolverhampton Wanderers,8,João Gomes,Central Midfield,"Feb 12, 2001 (24)",€40.00m,2001,40000.0,86,50,55,50
England,Premier League,Wolverhampton Wanderers,27,Jean-Ricner Bellegarde,Central Midfield,"Jun 27, 1998 (27)",€18.00m,1998,18000.0,82,48,52,48
England,Premier League,Wolverhampton Wanderers,5,Marshall Munetsi,Central Midfield,"Jun 22, 1996 (29)",€15.00m,1996,15000.0,81,47,52,47
England,Premier League,Wolverhampton Wanderers,19,Rodrigo Gomes,Right Midfield,"Jul 7, 2003 (22)",€15.00m,2003,15000.0,80,46,51,46
England,Premier League,Wolverhampton Wanderers,28,Tawanda Chirewa,Attacking Midfield,"Oct 12, 2003 (21)",€500k,2003,500.0,62,42,38,32
England,Premier League,Wolverhampton Wanderers,29,Gonçalo Guedes,Left Winger,"Nov 29, 1996 (28)",€11.00m,1996,11000.0,80,61,46,37
England,Premier League,Wolverhampton Wanderers,30,Enso González,Left Winger,"Jan 20, 2005 (20)",€4.00m,2005,4000.0,73,55,42,34
England,Premier League,Wolverhampton Wanderers,10,Jhon Arias,Right Winger,"Sep 21, 1997 (27)",€17.00m,1997,17000.0,82,62,48,38
England,Premier League,Wolverhampton Wanderers,-,Fer López,Right Winger,"May 24, 2004 (21)",€5.00m,2004,5000.0,74,56,43,34
England,Premier League,Wolverhampton Wanderers,9,Jørgen Strand Larsen,Centre-Forward,"Feb 6, 2000 (25)",€30.00m,2000,30000.0,85,70,47,37
England,Premier League,Wolverhampton Wanderers,-,Fábio Silva,Centre-Forward,"Jul 19, 2002 (23)",€20.00m,2002,20000.0,82,67,45,35
England,Premier League,Wolverhampton Wanderers,11,Hee-chan Hwang,Centre-Forward,"Jan 26, 1996 (29)",€12.00m,1996,12000.0,80,66,44,34
England,Premier League,Wolverhampton Wanderers,18,Sasa Kalajdzic,Centre-Forward,"Jul 7, 1997 (28)",€4.00m,1997,4000.0,74,61,41,32
England,Premier League,Wolverhampton Wanderers,-,Nathan Fraser,Centre-Forward,"Feb 22, 2005 (20)",€600k,2005,600.0,63,52,35,27
