country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,AS Monaco,1,Radoslaw Majecki,Goalkeeper,"Nov 16, 1999 (25)",€6.00m,1999,6000.0,76,33,35,69
France,Ligue 1,AS Monaco,16,Philipp Köhn,Goalkeeper,"Apr 2, 1998 (27)",€5.00m,1998,5000.0,75,32,34,68
France,Ligue 1,AS Monaco,50,Yann Lienard,Goalkeeper,"Mar 16, 2003 (22)",€100k,2003,100.0,54,23,25,49
France,Ligue 1,AS Monaco,17,Wilfried Singo,Centre-Back,"Dec 25, 2000 (24)",€25.00m,2000,25000.0,84,39,44,69
France,Ligue 1,AS Monaco,5,Thilo Kehrer,Centre-Back,"Sep 21, 1996 (28)",€20.00m,1996,20000.0,83,38,43,68
France,Ligue 1,AS Monaco,13,Christian Mawissa,Centre-Back,"Apr 18, 2005 (20)",€15.00m,2005,15000.0,80,37,42,66
France,Ligue 1,AS Monaco,22,Mohammed Salisu,Centre-Back,"Apr 17, 1999 (26)",€12.00m,1999,12000.0,80,37,42,66
France,Ligue 1,AS Monaco,3,Eric Dier,Centre-Back,"Jan 15, 1994 (31)",€8.00m,1994,8000.0,78,36,41,64
France,Ligue 1,AS Monaco,12,Caio Henrique,Left-Back,"Jul 31, 1997 (27)",€15.00m,1997,15000.0,81,40,45,62
France,Ligue 1,AS Monaco,20,Kassoum Ouattara,Left-Back,"Oct 14, 2004 (20)",€7.00m,2004,7000.0,76,37,42,58
France,Ligue 1,AS Monaco,2,Vanderson,Right-Back,"Jun 21, 2001 (24)",€20.00m,2001,20000.0,82,40,45,62
France,Ligue 1,AS Monaco,4,Jordan Teze,Right-Back,"Sep 30, 1999 (25)",€9.00m,1999,9000.0,78,38,43,59
France,Ligue 1,AS Monaco,6,Denis Zakaria,Defensive Midfield,"Nov 20, 1996 (28)",€30.00m,1996,30000.0,85,44,44,54
France,Ligue 1,AS Monaco,88,Soungoutou Magassa,Defensive Midfield,"Oct 8, 2003 (21)",€12.00m,2003,12000.0,79,41,41,51
France,Ligue 1,AS Monaco,15,Lamine Camara,Central Midfield,"Jan 1, 2004 (21)",€22.00m,2004,22000.0,82,48,52,48
France,Ligue 1,AS Monaco,8,Paul Pogba,Central Midfield,"Mar 15, 1993 (32)",€5.00m,1993,5000.0,76,44,49,44
France,Ligue 1,AS Monaco,10,Aleksandr Golovin,Attacking Midfield,"May 30, 1996 (29)",€20.00m,1996,20000.0,83,56,51,43
France,Ligue 1,AS Monaco,7,Eliesse Ben Seghir,Left Winger,"Feb 16, 2005 (20)",€28.00m,2005,28000.0,83,63,48,38
France,Ligue 1,AS Monaco,18,Takumi Minamino,Left Winger,"Jan 16, 1995 (30)",€15.00m,1995,15000.0,81,62,47,37
France,Ligue 1,AS Monaco,31,Ansu Fati,Left Winger,"Oct 31, 2002 (22)",€5.00m,2002,5000.0,75,57,44,34
France,Ligue 1,AS Monaco,41,Lucas Michal,Left Winger,"Jun 22, 2005 (20)",€500k,2005,500.0,62,47,36,29
France,Ligue 1,AS Monaco,11,Maghnes Akliouche,Right Winger,"Feb 25, 2002 (23)",€45.00m,2002,45000.0,87,66,50,40
France,Ligue 1,AS Monaco,27,Krépin Diatta,Right Winger,"Feb 25, 1999 (26)",€7.00m,1999,7000.0,77,59,45,35
France,Ligue 1,AS Monaco,14,Mika Biereth,Centre-Forward,"Feb 8, 2003 (22)",€30.00m,2003,30000.0,84,69,46,36
France,Ligue 1,AS Monaco,9,Folarin Balogun,Centre-Forward,"Jul 3, 2001 (24)",€18.00m,2001,18000.0,82,67,45,35
France,Ligue 1,AS Monaco,21,George Ilenikhena,Centre-Forward,"Aug 16, 2006 (18)",€15.00m,2006,15000.0,79,65,43,34
France,Ligue 1,AS Monaco,36,Breel Embolo,Centre-Forward,"Feb 14, 1997 (28)",€12.00m,1997,12000.0,80,66,44,34
France,Ligue 1,AS Monaco,-,Myron Boadu,Centre-Forward,"Jan 14, 2001 (24)",€7.00m,2001,7000.0,77,63,42,33
France,Ligue 1,AS Monaco,-,Paris Brunner,Centre-Forward,"Feb 15, 2006 (19)",€1.50m,2006,1500.0,67,55,37,29
