country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,LOSC Lille,30,Lucas Chevalier,Goalkeeper,"Nov 6, 2001 (23)",€30.00m,2001,30000.0,85,37,39,77
France,Ligue 1,LOSC Lille,1,Arnaud Bodart,Goalkeeper,"Mar 11, 1998 (27)",€2.50m,1998,2500.0,72,31,33,66
France,Ligue 1,LOSC Lille,16,Marc-Aurèle Caillard,Goalkeeper,"May 12, 1994 (31)",€100k,1994,100.0,55,24,25,50
France,Ligue 1,LOSC Lille,18,Bafodé Diakité,Centre-Back,"Jan 6, 2001 (24)",€28.00m,2001,28000.0,84,39,44,69
France,Ligue 1,LOSC Lille,4,Alexsandro,Centre-Back,"Aug 9, 1999 (25)",€20.00m,1999,20000.0,83,38,43,68
France,Ligue 1,LOSC Lille,3,Nathan Ngoy,Centre-Back,"Jun 10, 2003 (22)",€3.50m,2003,3500.0,73,34,38,60
France,Ligue 1,LOSC Lille,2,Aïssa Mandi,Centre-Back,"Oct 22, 1991 (33)",€1.20m,1991,1200.0,68,31,35,56
France,Ligue 1,LOSC Lille,-,Rafael Fernandes,Centre-Back,"Jun 28, 2002 (23)",€1.00m,2002,1000.0,66,30,34,54
France,Ligue 1,LOSC Lille,36,Ousmane Touré,Centre-Back,"Feb 18, 2005 (20)",€500k,2005,500.0,62,29,32,51
France,Ligue 1,LOSC Lille,-,Vincent Burlet,Left-Back,"Sep 23, 2005 (19)",€600k,2005,600.0,63,31,35,48
France,Ligue 1,LOSC Lille,22,Tiago Santos,Right-Back,"Jul 23, 2002 (23)",€15.00m,2002,15000.0,81,40,45,62
France,Ligue 1,LOSC Lille,12,Thomas Meunier,Right-Back,"Sep 12, 1991 (33)",€2.00m,1991,2000.0,71,35,39,54
France,Ligue 1,LOSC Lille,17,Ngal'ayel Mukau,Defensive Midfield,"Nov 3, 2004 (20)",€15.00m,2004,15000.0,80,42,42,51
France,Ligue 1,LOSC Lille,6,Nabil Bentaleb,Defensive Midfield,"Nov 24, 1994 (30)",€6.00m,1994,6000.0,77,40,40,49
France,Ligue 1,LOSC Lille,21,Benjamin André,Defensive Midfield,"Aug 3, 1990 (34)",€5.00m,1990,5000.0,76,40,40,49
France,Ligue 1,LOSC Lille,33,Ugo Raghouber,Defensive Midfield,"Jul 13, 2003 (22)",€4.00m,2003,4000.0,73,38,38,47
France,Ligue 1,LOSC Lille,32,Ayyoub Bouaddi,Central Midfield,"Oct 2, 2007 (17)",€28.00m,2007,28000.0,82,48,52,48
France,Ligue 1,LOSC Lille,26,André Gomes,Central Midfield,"Jul 30, 1993 (31)",€6.00m,1993,6000.0,77,45,49,45
France,Ligue 1,LOSC Lille,29,Ethan Mbappé,Central Midfield,"Dec 29, 2006 (18)",€5.00m,2006,5000.0,73,42,47,42
France,Ligue 1,LOSC Lille,7,Hákon Arnar Haraldsson,Attacking Midfield,"Apr 10, 2003 (22)",€18.00m,2003,18000.0,81,54,49,42
France,Ligue 1,LOSC Lille,11,Osame Sahraoui,Left Winger,"Jun 11, 2001 (24)",€12.00m,2001,12000.0,80,61,46,37
France,Ligue 1,LOSC Lille,27,Félix Correia,Left Winger,"Jan 22, 2001 (24)",€4.00m,2001,4000.0,74,56,43,34
France,Ligue 1,LOSC Lille,-,Tiago Morais,Left Winger,"Sep 3, 2003 (21)",€3.00m,2003,3000.0,72,55,42,33
France,Ligue 1,LOSC Lille,23,Edon Zhegrova,Right Winger,"Mar 31, 1999 (26)",€25.00m,1999,25000.0,84,64,49,39
France,Ligue 1,LOSC Lille,14,Marius Broholm,Right Winger,"Dec 26, 2004 (20)",€7.00m,2004,7000.0,76,58,44,35
France,Ligue 1,LOSC Lille,19,Matías Fernández-Pardo,Centre-Forward,"Feb 3, 2005 (20)",€15.00m,2005,15000.0,80,66,44,34
France,Ligue 1,LOSC Lille,-,Mohamed Bayo,Centre-Forward,"Jun 4, 1998 (27)",€2.80m,1998,2800.0,72,59,40,31
France,Ligue 1,LOSC Lille,9,Olivier Giroud,Centre-Forward,"Sep 30, 1986 (38)",€1.50m,1986,1500.0,70,57,38,30
France,Ligue 1,LOSC Lille,-,Trévis Dago,Centre-Forward,"Jan 21, 2005 (20)",€400k,2005,400.0,60,49,33,26
