country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,OGC Nice,88,Yehvann Diouf,Goalkeeper,"Nov 16, 1999 (25)",€12.00m,1999,12000.0,80,34,37,73
France,Ligue 1,OGC Nice,31,Maxime Dupé,Goalkeeper,"Mar 4, 1993 (32)",€900k,1993,900.0,67,29,31,61
France,Ligue 1,OGC Nice,77,Teddy Boulhendi,Goalkeeper,"Apr 9, 2001 (24)",€50k,2001,50.0,50,22,23,46
France,Ligue 1,OGC Nice,55,Youssouf Ndayishimiye,Centre-Back,"Oct 27, 1998 (26)",€12.00m,1998,12000.0,80,37,42,66
France,Ligue 1,OGC Nice,64,Moïse Bombito,Centre-Back,"Mar 30, 2000 (25)",€10.00m,2000,10000.0,79,36,41,65
France,Ligue 1,OGC Nice,28,Juma Bah,Centre-Back,"Apr 11, 2006 (19)",€6.00m,2006,6000.0,74,34,38,61
France,Ligue 1,OGC Nice,5,Mohamed Abdelmonem,Centre-Back,"Feb 1, 1999 (26)",€4.00m,1999,4000.0,74,34,38,61
France,Ligue 1,OGC Nice,37,Kojo Peprah Oppong,Centre-Back,"Jun 4, 2004 (21)",€1.00m,2004,1000.0,66,30,34,54
France,Ligue 1,OGC Nice,4,Dante,Centre-Back,"Oct 18, 1983 (41)",€500k,1983,500.0,64,29,33,52
France,Ligue 1,OGC Nice,26,Melvin Bard,Left-Back,"Nov 6, 2000 (24)",€15.00m,2000,15000.0,81,40,45,62
France,Ligue 1,OGC Nice,2,Ali Abdi,Left-Back,"Dec 20, 1993 (31)",€3.00m,1993,3000.0,73,36,40,55
France,Ligue 1,OGC Nice,92,Jonathan Clauss,Right-Back,"Sep 25, 1992 (32)",€5.00m,1992,5000.0,76,37,42,58
France,Ligue 1,OGC Nice,33,Antoine Mendy,Right-Back,"May 27, 2004 (21)",€2.50m,2004,2500.0,71,35,39,54
France,Ligue 1,OGC Nice,8,Pablo Rosario,Defensive Midfield,"Jan 7, 1997 (28)",€8.00m,1997,8000.0,78,41,41,50
France,Ligue 1,OGC Nice,6,Hicham Boudaoui,Central Midfield,"Sep 23, 1999 (25)",€15.00m,1999,15000.0,81,47,52,47
France,Ligue 1,OGC Nice,22,Tanguy Ndombélé,Central Midfield,"Dec 28, 1996 (28)",€7.00m,1996,7000.0,77,45,49,45
France,Ligue 1,OGC Nice,11,Morgan Sanson,Central Midfield,"Aug 18, 1994 (30)",€5.00m,1994,5000.0,76,44,49,44
France,Ligue 1,OGC Nice,20,Tom Louchet,Right Midfield,"May 4, 2003 (22)",€2.50m,2003,2500.0,71,41,45,41
France,Ligue 1,OGC Nice,23,Gabin Bernardeau,Attacking Midfield,"Jan 24, 2006 (19)",€600k,2006,600.0,62,42,38,32
France,Ligue 1,OGC Nice,7,Jérémie Boga,Left Winger,"Jan 3, 1997 (28)",€10.00m,1997,10000.0,79,60,46,36
France,Ligue 1,OGC Nice,10,Sofiane Diop,Left Winger,"Jun 9, 2000 (25)",€10.00m,2000,10000.0,79,60,46,36
France,Ligue 1,OGC Nice,21,Isak Jansson,Left Winger,"Jan 31, 2002 (23)",€3.50m,2002,3500.0,73,55,42,34
France,Ligue 1,OGC Nice,14,Billal Brahimi,Left Winger,"Mar 14, 2000 (25)",€1.80m,2000,1800.0,70,53,41,32
France,Ligue 1,OGC Nice,25,Mohamed-Ali Cho,Right Winger,"Jan 19, 2004 (21)",€15.00m,2004,15000.0,80,61,46,37
France,Ligue 1,OGC Nice,19,Badredine Bouanani,Right Winger,"Dec 8, 2004 (20)",€7.00m,2004,7000.0,76,58,44,35
France,Ligue 1,OGC Nice,29,Evann Guessand,Centre-Forward,"Jul 1, 2001 (24)",€25.00m,2001,25000.0,84,69,46,36
France,Ligue 1,OGC Nice,9,Terem Moffi,Centre-Forward,"May 25, 1999 (26)",€15.00m,1999,15000.0,81,66,45,35
