country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,Olympique Marseille,1,Gerónimo Rulli,Goalkeeper,"May 20, 1992 (33)",€8.00m,1992,8000.0,78,34,36,71
France,Ligue 1,Olympique Marseille,12,Jeffrey de Lange,Goalkeeper,"Apr 1, 1998 (27)",€2.00m,1998,2000.0,70,30,32,64
France,Ligue 1,Olympique Marseille,36,Rubén Blanco,Goalkeeper,"Jul 25, 1995 (30)",€1.00m,1995,1000.0,67,29,31,61
France,Ligue 1,Olympique Marseille,31,Simon Ngapandouetnbu,Goalkeeper,"Apr 12, 2003 (22)",€500k,2003,500.0,62,27,29,56
France,Ligue 1,Olympique Marseille,40,Jelle Van Neck,Goalkeeper,"Mar 7, 2004 (21)",€50k,2004,50.0,50,22,23,46
France,Ligue 1,Olympique Marseille,32,Facundo Medina,Centre-Back,"May 28, 1999 (26)",€25.00m,1999,25000.0,84,39,44,69
France,Ligue 1,Olympique Marseille,5,Leonardo Balerdi,Centre-Back,"Jan 26, 1999 (26)",€20.00m,1999,20000.0,83,38,43,68
France,Ligue 1,Olympique Marseille,4,CJ Egan-Riley,Centre-Back,"Jan 2, 2003 (22)",€16.00m,2003,16000.0,81,37,42,66
France,Ligue 1,Olympique Marseille,13,Derek Cornelius,Centre-Back,"Nov 25, 1997 (27)",€5.00m,1997,5000.0,75,34,39,62
France,Ligue 1,Olympique Marseille,18,Bamo Meïté,Centre-Back,"Dec 3, 2001 (23)",€4.00m,2001,4000.0,74,34,38,61
France,Ligue 1,Olympique Marseille,6,Ulisses Garcia,Left-Back,"Jan 11, 1996 (29)",€5.00m,1996,5000.0,75,37,41,57
France,Ligue 1,Olympique Marseille,62,Amir Murillo,Right-Back,"Feb 11, 1996 (29)",€10.00m,1996,10000.0,79,39,43,60
France,Ligue 1,Olympique Marseille,29,Pol Lirola,Right-Back,"Aug 13, 1997 (27)",€4.00m,1997,4000.0,74,36,41,56
France,Ligue 1,Olympique Marseille,23,Pierre-Emile Højbjerg,Defensive Midfield,"Aug 5, 1995 (29)",€20.00m,1995,20000.0,83,43,43,53
France,Ligue 1,Olympique Marseille,19,Geoffrey Kondogbia,Defensive Midfield,"Feb 15, 1993 (32)",€7.00m,1993,7000.0,77,40,40,49
France,Ligue 1,Olympique Marseille,25,Adrien Rabiot,Central Midfield,"Apr 3, 1995 (30)",€25.00m,1995,25000.0,84,49,54,49
France,Ligue 1,Olympique Marseille,-,Azzedine Ounahi,Central Midfield,"Apr 19, 2000 (25)",€10.00m,2000,10000.0,79,46,51,46
France,Ligue 1,Olympique Marseille,51,Ismaël Koné,Central Midfield,"Jun 16, 2002 (23)",€9.00m,2002,9000.0,78,45,50,45
France,Ligue 1,Olympique Marseille,26,Bilal Nadir,Central Midfield,"Nov 28, 2003 (21)",€5.00m,2003,5000.0,75,44,48,44
France,Ligue 1,Olympique Marseille,8,Angel Gomes,Attacking Midfield,"Aug 31, 2000 (24)",€20.00m,2000,20000.0,82,55,50,43
France,Ligue 1,Olympique Marseille,11,Amine Harit,Attacking Midfield,"Jun 18, 1997 (28)",€8.00m,1997,8000.0,78,52,48,41
France,Ligue 1,Olympique Marseille,50,Darryl Bakola,Attacking Midfield,"Nov 30, 2007 (17)",€200k,2007,200.0,56,38,34,29
France,Ligue 1,Olympique Marseille,17,Jonathan Rowe,Left Winger,"Apr 30, 2003 (22)",€12.00m,2003,12000.0,79,60,46,36
France,Ligue 1,Olympique Marseille,10,Mason Greenwood,Right Winger,"Oct 1, 2001 (23)",€40.00m,2001,40000.0,86,65,50,40
France,Ligue 1,Olympique Marseille,24,François Mughe,Right Winger,"Jun 16, 2004 (21)",€400k,2004,400.0,61,46,35,28
France,Ligue 1,Olympique Marseille,9,Amine Gouiri,Centre-Forward,"Feb 16, 2000 (25)",€30.00m,2000,30000.0,85,70,47,37
France,Ligue 1,Olympique Marseille,7,Neal Maupay,Centre-Forward,"Aug 14, 1996 (28)",€8.00m,1996,8000.0,78,64,43,34
France,Ligue 1,Olympique Marseille,14,Faris Moumbagna,Centre-Forward,"Jul 1, 2000 (25)",€5.00m,2000,5000.0,75,62,41,32
