country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,Paris FC,16,Obed Nkambadio,Goalkeeper,"Feb 7, 2003 (22)",€5.00m,2003,5000.0,75,32,34,68
France,Ligue 1,Paris FC,1,Rémy Riou,Goalkeeper,"Aug 6, 1987 (37)",€100k,1987,100.0,55,24,25,50
France,Ligue 1,Paris FC,-,Otávio,Centre-Back,"Apr 21, 2002 (23)",€10.00m,2002,10000.0,79,36,41,65
France,Ligue 1,Paris FC,5,Moustapha Mbow,Centre-Back,"Mar 8, 2000 (25)",€4.00m,2000,4000.0,74,34,38,61
France,Ligue 1,Paris FC,25,Yoan Koré,Centre-Back,"Nov 16, 2004 (20)",€900k,2004,900.0,65,30,34,53
France,Ligue 1,Paris FC,6,Samir Chergui,Centre-Back,"Feb 6, 1999 (26)",€700k,1999,700.0,65,30,34,53
France,Ligue 1,Paris FC,15,Timothée Kolodziejczak,Centre-Back,"Oct 1, 1991 (33)",€250k,1991,250.0,60,28,31,49
France,Ligue 1,Paris FC,-,Thibault De Smet,Left-Back,"Jun 5, 1998 (27)",€2.50m,1998,2500.0,72,35,40,55
France,Ligue 1,Paris FC,-,Nhoa Sangui,Left-Back,"Feb 27, 2006 (19)",€2.50m,2006,2500.0,70,34,38,53
France,Ligue 1,Paris FC,-,Jules Gaudin,Left-Back,"May 9, 2000 (25)",€700k,2000,700.0,65,32,36,49
France,Ligue 1,Paris FC,2,Tuomas Ollila,Left-Back,"Apr 25, 2000 (25)",€600k,2000,600.0,64,31,35,49
France,Ligue 1,Paris FC,39,Mathys Tourraine,Right-Back,"Jan 14, 2001 (24)",€1.20m,2001,1200.0,67,33,37,51
France,Ligue 1,Paris FC,22,Sofiane Alakouch,Right-Back,"Jul 29, 1998 (26)",€250k,1998,250.0,59,29,32,45
France,Ligue 1,Paris FC,21,Maxime Lopez,Defensive Midfield,"Dec 4, 1997 (27)",€6.00m,1997,6000.0,76,40,40,49
France,Ligue 1,Paris FC,17,Adama Camara,Defensive Midfield,"Oct 18, 1996 (28)",€1.50m,1996,1500.0,69,36,36,44
France,Ligue 1,Paris FC,8,Lohann Doucet,Defensive Midfield,"Sep 14, 2002 (22)",€700k,2002,700.0,64,33,33,41
France,Ligue 1,Paris FC,-,Gabriel Oualengbe,Defensive Midfield,"May 21, 2004 (21)",€50k,2004,50.0,50,26,26,32
France,Ligue 1,Paris FC,4,Vincent Marchetti,Central Midfield,"Jul 4, 1997 (28)",€2.00m,1997,2000.0,70,41,45,41
France,Ligue 1,Paris FC,10,Ilan Kebbal,Attacking Midfield,"Jul 10, 1998 (27)",€5.00m,1998,5000.0,75,50,46,39
France,Ligue 1,Paris FC,27,Moses Simon,Left Winger,"Jul 12, 1995 (30)",€12.00m,1995,12000.0,80,61,46,37
France,Ligue 1,Paris FC,7,Alimami Gory,Left Winger,"Aug 30, 1996 (28)",€1.50m,1996,1500.0,69,52,40,32
France,Ligue 1,Paris FC,20,Julien Lopez,Left Winger,"Mar 1, 1992 (33)",€250k,1992,250.0,60,46,35,28
France,Ligue 1,Paris FC,13,Mathieu Cafaro,Right Winger,"Mar 25, 1997 (28)",€2.50m,1997,2500.0,72,55,42,33
France,Ligue 1,Paris FC,26,Lamine Gueye,Right Winger,"Mar 13, 1998 (27)",€300k,1998,300.0,60,46,35,28
France,Ligue 1,Paris FC,9,Andy Pembélé,Right Winger,"Jul 4, 2000 (25)",€50k,2000,50.0,51,39,30,23
France,Ligue 1,Paris FC,11,Jean-Philippe Krasso,Centre-Forward,"Jul 17, 1997 (28)",€5.00m,1997,5000.0,75,62,41,32
France,Ligue 1,Paris FC,29,Pierre-Yves Hamel,Centre-Forward,"Feb 3, 1994 (31)",€500k,1994,500.0,63,52,35,27
France,Ligue 1,Paris FC,18,Omar Sissoko,Centre-Forward,"Aug 18, 2006 (18)",€150k,2006,150.0,55,45,30,24
