country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,RC Lens,40,Robin Risser,Goalkeeper,"Dec 2, 2004 (20)",€1.50m,2004,1500.0,68,29,31,62
France,Ligue 1,RC Lens,1,Régis Gurtner,Goalkeeper,"Dec 8, 1986 (38)",€150k,1986,150.0,58,25,27,53
France,Ligue 1,RC Lens,6,Samson Baidoo,Centre-Back,"Mar 31, 2004 (21)",€8.00m,2004,8000.0,77,35,40,63
France,Ligue 1,RC Lens,20,Malang Sarr,Centre-Back,"Jan 23, 1999 (26)",€5.00m,1999,5000.0,75,34,39,62
France,Ligue 1,RC Lens,24,Jonathan Gradit,Centre-Back,"Nov 24, 1992 (32)",€4.00m,1992,4000.0,75,34,39,62
France,Ligue 1,RC Lens,4,Nidal Celik,Centre-Back,"Jul 17, 2006 (19)",€1.80m,2006,1800.0,68,31,35,56
France,Ligue 1,RC Lens,-,Ismaëlo Ganiou,Centre-Back,"Mar 14, 2005 (20)",€1.00m,2005,1000.0,65,30,34,53
France,Ligue 1,RC Lens,27,Sidi Bane,Centre-Back,"Jan 14, 2004 (21)",€800k,2004,800.0,64,29,33,52
France,Ligue 1,RC Lens,13,Jhoanner Chávez,Left-Back,"Apr 25, 2002 (23)",€3.50m,2002,3500.0,73,36,40,55
France,Ligue 1,RC Lens,14,Matthieu Udol,Left-Back,"Mar 20, 1996 (29)",€3.50m,1996,3500.0,74,36,41,56
France,Ligue 1,RC Lens,3,Deiver Machado,Left-Back,"Sep 2, 1993 (31)",€3.00m,1993,3000.0,73,36,40,55
France,Ligue 1,RC Lens,2,Ruben Aguilar,Right-Back,"Apr 26, 1993 (32)",€3.50m,1993,3500.0,74,36,41,56
France,Ligue 1,RC Lens,34,Tom Pouilly,Right-Back,"Jun 18, 2003 (22)",€800k,2003,800.0,65,32,36,49
France,Ligue 1,RC Lens,6,Salis Abdul Samed,Defensive Midfield,"Mar 26, 2000 (25)",€5.50m,2000,5500.0,76,40,40,49
France,Ligue 1,RC Lens,15,Hamzat Ojediran,Defensive Midfield,"Nov 14, 2003 (21)",€1.80m,2003,1800.0,69,36,36,44
France,Ligue 1,RC Lens,18,Andy Diouf,Central Midfield,"May 17, 2003 (22)",€15.00m,2003,15000.0,80,46,51,46
France,Ligue 1,RC Lens,5,Andrija Bulatovic,Central Midfield,"Dec 27, 2006 (18)",€1.00m,2006,1000.0,65,38,42,38
France,Ligue 1,RC Lens,21,Anass Zaroury,Attacking Midfield,"Nov 7, 2000 (24)",€8.00m,2000,8000.0,78,52,48,41
France,Ligue 1,RC Lens,11,Angelo Fulgini,Attacking Midfield,"Aug 20, 1996 (28)",€5.00m,1996,5000.0,75,50,46,39
France,Ligue 1,RC Lens,28,Adrien Thomasson,Attacking Midfield,"Dec 10, 1993 (31)",€5.00m,1993,5000.0,76,51,46,40
France,Ligue 1,RC Lens,35,Anthony Bermont,Left Winger,"Feb 10, 2005 (20)",€600k,2005,600.0,63,48,37,29
France,Ligue 1,RC Lens,25,Jeremy Agbonifo,Right Winger,"Oct 24, 2005 (19)",€5.00m,2005,5000.0,74,56,43,34
France,Ligue 1,RC Lens,29,Morgan Guilavogui,Right Winger,"Mar 10, 1998 (27)",€4.00m,1998,4000.0,74,56,43,34
France,Ligue 1,RC Lens,9,Martín Satriano,Centre-Forward,"Feb 20, 2001 (24)",€5.00m,2001,5000.0,75,62,41,32
France,Ligue 1,RC Lens,22,Wesley Saïd,Centre-Forward,"Apr 19, 1995 (30)",€3.00m,1995,3000.0,73,60,40,31
France,Ligue 1,RC Lens,19,Goduine Koyalipou,Centre-Forward,"Feb 15, 2000 (25)",€2.50m,2000,2500.0,71,58,39,31
France,Ligue 1,RC Lens,7,Florian Sotoca,Centre-Forward,"Oct 25, 1990 (34)",€2.00m,1990,2000.0,71,58,39,31
France,Ligue 1,RC Lens,36,Rémy Labeau Lascary,Centre-Forward,"Mar 3, 2003 (22)",€2.00m,2003,2000.0,70,57,38,30
