country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,RC Strasbourg Alsace,1,Karl-Johan Johnsson,Goalkeeper,"Jan 28, 1990 (35)",€300k,1990,300.0,61,26,28,56
France,Ligue 1,RC Strasbourg Alsace,6,Ismaël Doukouré,Centre-Back,"Jul 24, 2003 (22)",€18.00m,2003,18000.0,81,37,42,66
France,Ligue 1,RC Strasbourg Alsace,5,Abakar Sylla,Centre-Back,"Dec 25, 2002 (22)",€10.00m,2002,10000.0,79,36,41,65
France,Ligue 1,RC Strasbourg Alsace,2,Andrew Omobamidele,Centre-Back,"Jun 23, 2002 (23)",€8.00m,2002,8000.0,77,35,40,63
France,Ligue 1,RC Strasbourg Alsace,44,Soumaïla Coulibaly,Centre-Back,"Oct 14, 2003 (21)",€8.00m,2003,8000.0,77,35,40,63
France,Ligue 1,RC Strasbourg Alsace,4,Saïdou Sow,Centre-Back,"Jul 4, 2002 (23)",€6.00m,2002,6000.0,76,35,40,62
France,Ligue 1,RC Strasbourg Alsace,77,Eduard Sobol,Left-Back,"Apr 20, 1995 (30)",€900k,1995,900.0,66,32,36,50
France,Ligue 1,RC Strasbourg Alsace,22,Guéla Doué,Right-Back,"Oct 17, 2002 (22)",€18.00m,2002,18000.0,82,40,45,62
France,Ligue 1,RC Strasbourg Alsace,18,Junior Mwanga,Defensive Midfield,"May 11, 2003 (22)",€6.00m,2003,6000.0,76,40,40,49
France,Ligue 1,RC Strasbourg Alsace,8,Maxi Oyedele,Defensive Midfield,"Nov 7, 2004 (20)",€4.00m,2004,4000.0,73,38,38,47
France,Ligue 1,RC Strasbourg Alsace,41,Rabby Nzingoula,Defensive Midfield,"Nov 25, 2005 (19)",€2.50m,2005,2500.0,70,36,36,45
France,Ligue 1,RC Strasbourg Alsace,32,Valentín Barco,Central Midfield,"Jul 23, 2004 (21)",€12.00m,2004,12000.0,79,46,51,46
France,Ligue 1,RC Strasbourg Alsace,17,Mathis Amougou,Central Midfield,"Jan 18, 2006 (19)",€10.00m,2006,10000.0,77,45,49,45
France,Ligue 1,RC Strasbourg Alsace,21,Pape Demba Diop,Central Midfield,"Sep 4, 2003 (21)",€1.00m,2003,1000.0,66,38,42,38
France,Ligue 1,RC Strasbourg Alsace,7,Diego Moreira,Left Midfield,"Aug 6, 2004 (20)",€18.00m,2004,18000.0,81,47,52,47
France,Ligue 1,RC Strasbourg Alsace,11,Sebastian Nanasi,Left Midfield,"May 16, 2002 (23)",€18.00m,2002,18000.0,82,48,52,48
France,Ligue 1,RC Strasbourg Alsace,80,Félix Lemaréchal,Attacking Midfield,"Aug 7, 2003 (21)",€10.00m,2003,10000.0,78,52,48,41
France,Ligue 1,RC Strasbourg Alsace,35,Tidiane Diallo,Attacking Midfield,"May 28, 2006 (19)",-,2006,88.0,52,35,32,27
France,Ligue 1,RC Strasbourg Alsace,20,Óscar Perea,Left Winger,"Sep 27, 2005 (19)",€2.00m,2005,2000.0,69,52,40,32
France,Ligue 1,RC Strasbourg Alsace,26,Dilane Bakwa,Right Winger,"Aug 26, 2002 (22)",€25.00m,2002,25000.0,83,63,48,38
France,Ligue 1,RC Strasbourg Alsace,27,Samuel Amo-Ameyaw,Right Winger,"Jul 18, 2006 (19)",€4.00m,2006,4000.0,72,55,42,33
France,Ligue 1,RC Strasbourg Alsace,42,Abdoul Ouattara,Right Winger,"Oct 22, 2005 (19)",€1.20m,2005,1200.0,66,50,38,30
France,Ligue 1,RC Strasbourg Alsace,10,Emanuel Emegha,Centre-Forward,"Feb 3, 2003 (22)",€25.00m,2003,25000.0,83,68,46,36
France,Ligue 1,RC Strasbourg Alsace,9,Milos Lukovic,Centre-Forward,"Nov 18, 2005 (19)",€5.00m,2005,5000.0,74,61,41,32
France,Ligue 1,RC Strasbourg Alsace,14,Sékou Mara,Centre-Forward,"Jul 30, 2002 (22)",€5.00m,2002,5000.0,75,62,41,32
France,Ligue 1,RC Strasbourg Alsace,11,Moïse Sahi Dion,Centre-Forward,"Dec 20, 2001 (23)",€1.00m,2001,1000.0,66,54,36,28
