country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,FC Lorient,-,Bingourou Kamara,Goalkeeper,"Oct 21, 1996 (28)",€800k,1996,800.0,66,28,30,60
France,Ligue 1,FC Lorient,1,Benjamin Leroy,Goalkeeper,"Apr 7, 1989 (36)",€150k,1989,150.0,57,25,26,52
France,Ligue 1,FC Lorient,30,Gaël Alette,Goalkeeper,"Apr 27, 2001 (24)",-,2001,2.0,33,14,15,30
France,Ligue 1,FC Lorient,-,Isaak Touré,Centre-Back,"Mar 28, 2003 (22)",€7.00m,2003,7000.0,76,35,40,62
France,Ligue 1,FC Lorient,3,Montassar Talbi,Centre-Back,"May 26, 1998 (27)",€6.00m,1998,6000.0,76,35,40,62
France,Ligue 1,FC Lorient,5,Formose Mendy,Centre-Back,"Jan 2, 2001 (24)",€2.50m,2001,2500.0,71,33,37,58
France,Ligue 1,FC Lorient,32,Nathaniel Adjei,Centre-Back,"Aug 21, 2002 (22)",€1.50m,2002,1500.0,68,31,35,56
France,Ligue 1,FC Lorient,44,Darlin Yongwa,Left-Back,"Sep 22, 2000 (24)",€4.00m,2000,4000.0,74,36,41,56
France,Ligue 1,FC Lorient,43,Arsène Kouassi,Left-Back,"Sep 11, 2004 (20)",€1.50m,2004,1500.0,68,33,37,52
France,Ligue 1,FC Lorient,24,Gédéon Kalulu,Right-Back,"Aug 29, 1997 (27)",€2.00m,1997,2000.0,70,34,38,53
France,Ligue 1,FC Lorient,2,Igor Silva,Right-Back,"Aug 21, 1996 (28)",€1.00m,1996,1000.0,67,33,37,51
France,Ligue 1,FC Lorient,-,Dembo Sylla,Right-Back,"Nov 10, 2002 (22)",€500k,2002,500.0,63,31,35,48
France,Ligue 1,FC Lorient,6,Laurent Abergel,Defensive Midfield,"Feb 1, 1993 (32)",€2.50m,1993,2500.0,72,37,37,46
France,Ligue 1,FC Lorient,62,Arthur Avom,Central Midfield,"Dec 15, 2004 (20)",€5.00m,2004,5000.0,74,43,47,43
France,Ligue 1,FC Lorient,17,Jean-Victor Makengo,Central Midfield,"Jun 12, 1998 (27)",€2.50m,1998,2500.0,72,42,46,42
France,Ligue 1,FC Lorient,8,Noah Cadiou,Central Midfield,"Oct 26, 1998 (26)",€1.20m,1998,1200.0,68,39,44,39
France,Ligue 1,FC Lorient,77,Panos Katseris,Right Midfield,"Jul 5, 2001 (24)",€2.50m,2001,2500.0,71,41,45,41
France,Ligue 1,FC Lorient,-,Théo Le Bris,Left Midfield,"Oct 1, 2002 (22)",€1.50m,2002,1500.0,68,39,44,39
France,Ligue 1,FC Lorient,75,Bandiougou Fadiga,Attacking Midfield,"Jan 15, 2001 (24)",€300k,2001,300.0,60,40,37,31
France,Ligue 1,FC Lorient,93,Joel Mvuka,Right Winger,"Nov 12, 2002 (22)",€2.50m,2002,2500.0,71,54,41,33
France,Ligue 1,FC Lorient,9,Mohamed Bamba,Centre-Forward,"Dec 10, 2001 (23)",€5.00m,2001,5000.0,75,62,41,32
France,Ligue 1,FC Lorient,10,Pablo Pagis,Centre-Forward,"Dec 29, 2002 (22)",€3.50m,2002,3500.0,73,60,40,31
France,Ligue 1,FC Lorient,-,Bamba Dieng,Centre-Forward,"Mar 23, 2000 (25)",€3.00m,2000,3000.0,72,59,40,31
France,Ligue 1,FC Lorient,28,Sambou Soumano,Centre-Forward,"Jan 3, 2001 (24)",€2.50m,2001,2500.0,71,58,39,31
France,Ligue 1,FC Lorient,27,Aiyegun Tosin,Centre-Forward,"Jun 26, 1998 (27)",€2.00m,1998,2000.0,70,57,38,30
France,Ligue 1,FC Lorient,-,Siriné Doucouré,Centre-Forward,"Apr 8, 2002 (23)",€600k,2002,600.0,64,52,35,28
France,Ligue 1,FC Lorient,99,Bassirou N'Diaye,Centre-Forward,"Feb 15, 2002 (23)",€200k,2002,200.0,58,48,32,25
