country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,FC Toulouse,50,Guillaume Restes,Goalkeeper,"Mar 11, 2005 (20)",€20.00m,2005,20000.0,81,35,37,74
France,Ligue 1,FC Toulouse,16,Kjetil Haug,Goalkeeper,"Jun 12, 1998 (27)",€600k,1998,600.0,64,28,29,58
France,Ligue 1,FC Toulouse,-,Álex Domínguez,Goalkeeper,"Jul 30, 1998 (26)",€300k,1998,300.0,60,26,28,55
France,Ligue 1,FC Toulouse,4,Charlie Cresswell,Centre-Back,"Aug 17, 2002 (22)",€10.00m,2002,10000.0,79,36,41,65
France,Ligue 1,FC Toulouse,3,Mark McKenzie,Centre-Back,"Feb 25, 1999 (26)",€6.00m,1999,6000.0,76,35,40,62
France,Ligue 1,FC Toulouse,2,Rasmus Nicolaisen,Centre-Back,"Mar 16, 1997 (28)",€4.50m,1997,4500.0,75,34,39,62
France,Ligue 1,FC Toulouse,29,Jaydee Canvot,Centre-Back,"Jul 29, 2006 (18)",€4.00m,2006,4000.0,72,33,37,59
France,Ligue 1,FC Toulouse,26,Ylies Aradj,Left-Back,"Jun 5, 2005 (20)",-,2005,69.0,51,25,28,39
France,Ligue 1,FC Toulouse,12,Warren Kamanzi,Right-Back,"Nov 11, 2000 (24)",€2.00m,2000,2000.0,70,34,38,53
France,Ligue 1,FC Toulouse,19,Djibril Sidibé,Right-Back,"Jul 29, 1992 (32)",€1.00m,1992,1000.0,67,33,37,51
France,Ligue 1,FC Toulouse,23,Cristian Cásseres Jr.,Central Midfield,"Jan 20, 2000 (25)",€6.00m,2000,6000.0,76,44,49,44
France,Ligue 1,FC Toulouse,8,Vincent Sierro,Central Midfield,"Oct 8, 1995 (29)",€4.00m,1995,4000.0,74,43,47,43
France,Ligue 1,FC Toulouse,20,Niklas Schmidt,Central Midfield,"Mar 1, 1998 (27)",€1.80m,1998,1800.0,70,41,45,41
France,Ligue 1,FC Toulouse,22,Rafik Messali,Right Midfield,"Apr 28, 2003 (22)",€800k,2003,800.0,65,38,42,38
France,Ligue 1,FC Toulouse,15,Aron Dønnum,Left Midfield,"Apr 20, 1998 (27)",€4.00m,1998,4000.0,74,43,47,43
France,Ligue 1,FC Toulouse,-,Mario Sauer,Attacking Midfield,"May 15, 2004 (21)",€2.00m,2004,2000.0,69,46,42,36
France,Ligue 1,FC Toulouse,11,Mathis Saka,Attacking Midfield,"Sep 20, 2006 (18)",€50k,2006,50.0,49,33,30,25
France,Ligue 1,FC Toulouse,10,Yann Gboho,Left Winger,"Jan 14, 2001 (24)",€8.00m,2001,8000.0,77,59,45,35
France,Ligue 1,FC Toulouse,-,Ibrahim Cissoko,Left Winger,"Mar 26, 2003 (22)",€1.50m,2003,1500.0,68,52,39,31
France,Ligue 1,FC Toulouse,7,Zakaria Aboukhlal,Right Winger,"Feb 18, 2000 (25)",€12.00m,2000,12000.0,80,61,46,37
France,Ligue 1,FC Toulouse,80,Shavy Babicka,Right Winger,"Jun 1, 2000 (25)",€2.50m,2000,2500.0,71,54,41,33
France,Ligue 1,FC Toulouse,31,Noah Edjouma,Right Winger,"Oct 4, 2005 (19)",€800k,2005,800.0,64,49,37,29
France,Ligue 1,FC Toulouse,9,Frank Magri,Centre-Forward,"Sep 4, 1999 (25)",€3.00m,1999,3000.0,72,59,40,31
France,Ligue 1,FC Toulouse,-,Said Hamulic,Centre-Forward,"Nov 12, 2000 (24)",€400k,2000,400.0,62,51,34,27
