country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,Le Havre AC,99,Mory Diaw,Goalkeeper,"Jun 22, 1993 (32)",€800k,1993,800.0,66,28,30,60
France,Ligue 1,Le Havre AC,77,Lionel Mpasi-Nzau,Goalkeeper,"Aug 1, 1994 (30)",€400k,1994,400.0,62,27,29,56
France,Ligue 1,Le Havre AC,50,Paul Argney,Goalkeeper,"May 23, 2006 (19)",€100k,2006,100.0,53,23,24,48
France,Ligue 1,Le Havre AC,93,Arouna Sangante,Centre-Back,"Apr 12, 2002 (23)",€8.00m,2002,8000.0,77,35,40,63
France,Ligue 1,Le Havre AC,6,Étienne Youté Kinkoué,Centre-Back,"Jan 14, 2002 (23)",€7.00m,2002,7000.0,77,35,40,63
France,Ligue 1,Le Havre AC,4,Gautier Lloris,Centre-Back,"Jul 18, 1995 (30)",€3.00m,1995,3000.0,73,34,38,60
France,Ligue 1,Le Havre AC,5,Ayumu Seko,Centre-Back,"Jun 7, 2000 (25)",€1.00m,2000,1000.0,67,31,35,55
France,Ligue 1,Le Havre AC,66,Aliou Thiaré,Centre-Back,"Dec 20, 2003 (21)",€800k,2003,800.0,65,30,34,53
France,Ligue 1,Le Havre AC,18,Yanis Zouaoui,Left-Back,"Apr 28, 1998 (27)",€800k,1998,800.0,65,32,36,49
France,Ligue 1,Le Havre AC,23,Thomas Delaine,Left-Back,"Mar 24, 1992 (33)",€600k,1992,600.0,64,31,35,49
France,Ligue 1,Le Havre AC,7,Loïc Nego,Right-Back,"Jan 15, 1991 (34)",€700k,1991,700.0,65,32,36,49
France,Ligue 1,Le Havre AC,13,Fodé Doucouré,Right-Back,"Feb 3, 2001 (24)",€700k,2001,700.0,65,32,36,49
France,Ligue 1,Le Havre AC,17,Oualid El Hajjam,Right-Back,"Feb 19, 1991 (34)",€300k,1991,300.0,61,30,34,46
France,Ligue 1,Le Havre AC,94,Abdoulaye Touré,Defensive Midfield,"Mar 3, 1994 (31)",€3.00m,1994,3000.0,73,38,38,47
France,Ligue 1,Le Havre AC,19,Rassoul Ndiaye,Defensive Midfield,"Dec 11, 2001 (23)",€2.00m,2001,2000.0,70,36,36,45
France,Ligue 1,Le Havre AC,8,Yassine Kechta,Central Midfield,"Feb 25, 2002 (23)",€5.00m,2002,5000.0,75,44,48,44
France,Ligue 1,Le Havre AC,26,Simon Ebonog,Central Midfield,"Aug 16, 2004 (20)",€150k,2004,150.0,56,32,36,32
France,Ligue 1,Le Havre AC,37,Mokrane Bentoumi,Attacking Midfield,"Jun 16, 2005 (20)",€50k,2005,50.0,49,33,30,25
France,Ligue 1,Le Havre AC,44,Ismaïl Bouneb,Attacking Midfield,"Jun 7, 2006 (19)",€50k,2006,50.0,49,33,30,25
France,Ligue 1,Le Havre AC,45,Issa Soumaré,Left Winger,"Oct 10, 2000 (24)",€2.00m,2000,2000.0,70,53,41,32
France,Ligue 1,Le Havre AC,10,Felix Mambimbi,Left Winger,"Jan 18, 2001 (24)",€600k,2001,600.0,64,49,37,29
France,Ligue 1,Le Havre AC,15,Kandet Diawara,Left Winger,"Feb 10, 2000 (25)",€400k,2000,400.0,62,47,36,29
France,Ligue 1,Le Havre AC,11,Godson Kyeremeh,Right Winger,"Jun 14, 2000 (25)",€700k,2000,700.0,65,49,38,30
France,Ligue 1,Le Havre AC,70,Ruben Londja,Right Winger,"Jun 10, 2006 (19)",-,2006,9.0,40,30,23,18
France,Ligue 1,Le Havre AC,20,Elysée Logbo,Centre-Forward,"May 6, 2004 (21)",€400k,2004,400.0,61,50,34,26
