country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,Stade Brestois 29,30,Grégoire Coudert,Goalkeeper,"Apr 3, 1999 (26)",€500k,1999,500.0,63,27,29,57
France,Ligue 1,Stade Brestois 29,-,Noah Jauny,Goalkeeper,"Aug 26, 2004 (20)",-,2004,3.0,35,15,16,32
France,Ligue 1,Stade Brestois 29,5,Brendan Chardonnet,Centre-Back,"Dec 22, 1994 (30)",€6.00m,1994,6000.0,77,35,40,63
France,Ligue 1,Stade Brestois 29,4,Junior Diaz,Centre-Back,"Jul 23, 2003 (22)",€4.00m,2003,4000.0,73,34,38,60
France,Ligue 1,Stade Brestois 29,25,Julien Le Cardinal,Centre-Back,"Aug 3, 1997 (27)",€2.00m,1997,2000.0,70,32,36,57
France,Ligue 1,Stade Brestois 29,2,Bradley Locko,Left-Back,"May 6, 2002 (23)",€9.00m,2002,9000.0,78,38,43,59
France,Ligue 1,Stade Brestois 29,18,Justin Bourgault,Left-Back,"Sep 14, 2005 (19)",€800k,2005,800.0,64,31,35,49
France,Ligue 1,Stade Brestois 29,12,Luck Zogbé,Right-Back,"Mar 24, 2005 (20)",€2.50m,2005,2500.0,70,34,38,53
France,Ligue 1,Stade Brestois 29,7,Kenny Lala,Right-Back,"Oct 3, 1991 (33)",€2.00m,1991,2000.0,71,35,39,54
France,Ligue 1,Stade Brestois 29,20,Pierre Lees-Melou,Defensive Midfield,"May 25, 1993 (32)",€6.00m,1993,6000.0,77,40,40,49
France,Ligue 1,Stade Brestois 29,33,Hamidou Makalou,Defensive Midfield,"Jul 15, 2006 (19)",€300k,2006,300.0,58,30,30,37
France,Ligue 1,Stade Brestois 29,45,Mahdi Camara,Central Midfield,"Jun 30, 1998 (27)",€9.00m,1998,9000.0,78,45,50,45
France,Ligue 1,Stade Brestois 29,8,Hugo Magnetti,Central Midfield,"May 30, 1998 (27)",€6.00m,1998,6000.0,76,44,49,44
France,Ligue 1,Stade Brestois 29,-,Hianga'a Mbock,Central Midfield,"Dec 28, 1999 (25)",€400k,1999,400.0,62,36,40,36
France,Ligue 1,Stade Brestois 29,9,Kamory Doumbia,Attacking Midfield,"Feb 18, 2003 (22)",€4.00m,2003,4000.0,73,49,45,38
France,Ligue 1,Stade Brestois 29,-,Axel Camblan,Left Winger,"Aug 30, 2003 (21)",€500k,2003,500.0,62,47,36,29
France,Ligue 1,Stade Brestois 29,10,Romain Del Castillo,Right Winger,"Mar 29, 1996 (29)",€7.00m,1996,7000.0,77,59,45,35
France,Ligue 1,Stade Brestois 29,14,Mama Baldé,Centre-Forward,"Nov 6, 1995 (29)",€4.00m,1995,4000.0,74,61,41,32
France,Ligue 1,Stade Brestois 29,19,Ludovic Ajorque,Centre-Forward,"Feb 25, 1994 (31)",€4.00m,1994,4000.0,74,61,41,32
