country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
France,Ligue 1,Stade Rennais FC,30,Brice Samba,Goalkeeper,"Apr 25, 1994 (31)",€12.00m,1994,12000.0,80,34,37,73
France,Ligue 1,Stade Rennais FC,80,Doğan Alemdar,Goalkeeper,"Oct 29, 2002 (22)",€1.50m,2002,1500.0,68,29,31,62
France,Ligue 1,Stade Rennais FC,23,Gauthier Gallon,Goalkeeper,"Apr 23, 1993 (32)",€800k,1993,800.0,66,28,30,60
France,Ligue 1,Stade Rennais FC,-,Leo Østigård,Centre-Back,"Nov 28, 1999 (25)",€10.00m,1999,10000.0,79,36,41,65
France,Ligue 1,Stade Rennais FC,3,Lilian Brassier,Centre-Back,"Nov 2, 1999 (25)",€10.00m,1999,10000.0,79,36,41,65
France,Ligue 1,Stade Rennais FC,24,Anthony Rouault,Centre-Back,"May 29, 2001 (24)",€10.00m,2001,10000.0,79,36,41,65
France,Ligue 1,Stade Rennais FC,97,Jérémy Jacquet,Centre-Back,"Jul 13, 2005 (20)",€10.00m,2005,10000.0,78,36,41,64
France,Ligue 1,Stade Rennais FC,36,Alidu Seidu,Centre-Back,"Jun 4, 2000 (25)",€9.00m,2000,9000.0,78,36,41,64
France,Ligue 1,Stade Rennais FC,4,Christopher Wooh,Centre-Back,"Sep 18, 2001 (23)",€6.00m,2001,6000.0,76,35,40,62
France,Ligue 1,Stade Rennais FC,15,Mikayil Faye,Centre-Back,"Jul 14, 2004 (21)",€6.00m,2004,6000.0,75,34,39,62
France,Ligue 1,Stade Rennais FC,-,Warmed Omari,Centre-Back,"Apr 23, 2000 (25)",€3.00m,2000,3000.0,72,33,37,59
France,Ligue 1,Stade Rennais FC,-,Mohamed Jaouab,Centre-Back,"May 14, 2002 (23)",€800k,2002,800.0,65,30,34,53
France,Ligue 1,Stade Rennais FC,-,Abdelhamid Ait Boudlal,Centre-Back,"Apr 16, 2006 (19)",€500k,2006,500.0,61,28,32,50
France,Ligue 1,Stade Rennais FC,-,Quentin Merlin,Left-Back,"May 16, 2002 (23)",€15.00m,2002,15000.0,81,40,45,62
France,Ligue 1,Stade Rennais FC,18,Mahamadou Nagida,Left-Back,"Jun 28, 2005 (20)",€800k,2005,800.0,64,31,35,49
France,Ligue 1,Stade Rennais FC,33,Hans Hateboer,Right-Back,"Jan 9, 1994 (31)",€2.50m,1994,2500.0,72,35,40,55
France,Ligue 1,Stade Rennais FC,22,Rayan Bamba,Right-Back,"May 14, 2004 (21)",€400k,2004,400.0,61,30,34,46
France,Ligue 1,Stade Rennais FC,-,Baptiste Santamaria,Defensive Midfield,"Mar 9, 1995 (30)",€7.00m,1995,7000.0,77,40,40,49
France,Ligue 1,Stade Rennais FC,8,Seko Fofana,Central Midfield,"May 7, 1995 (30)",€10.00m,1995,10000.0,79,46,51,46
France,Ligue 1,Stade Rennais FC,-,Valentin Rongier,Central Midfield,"Dec 7, 1994 (30)",€9.00m,1994,9000.0,79,46,51,46
France,Ligue 1,Stade Rennais FC,17,Jordan James,Central Midfield,"Jul 2, 2004 (21)",€8.00m,2004,8000.0,77,45,49,45
France,Ligue 1,Stade Rennais FC,38,Djaoui Cissé,Central Midfield,"Jan 31, 2004 (21)",€8.00m,2004,8000.0,77,45,49,45
France,Ligue 1,Stade Rennais FC,-,Glen Kamara,Central Midfield,"Oct 28, 1995 (29)",€5.00m,1995,5000.0,76,44,49,44
France,Ligue 1,Stade Rennais FC,28,Ayanda Sishuba,Attacking Midfield,"Feb 2, 2005 (20)",€1.50m,2005,1500.0,67,45,41,35
France,Ligue 1,Stade Rennais FC,19,Kazeem Olaigbe,Left Winger,"Jan 2, 2003 (22)",€5.00m,2003,5000.0,75,57,44,34
France,Ligue 1,Stade Rennais FC,-,Ibrahim Salah,Left Winger,"Aug 30, 2001 (23)",€3.00m,2001,3000.0,72,55,42,33
France,Ligue 1,Stade Rennais FC,10,Ludovic Blas,Right Winger,"Dec 31, 1997 (27)",€18.00m,1997,18000.0,82,62,48,38
France,Ligue 1,Stade Rennais FC,-,Fabian Rieder,Right Winger,"Feb 16, 2002 (23)",€6.00m,2002,6000.0,76,58,44,35
France,Ligue 1,Stade Rennais FC,11,Mousa Tamari,Right Winger,"Jun 10, 1997 (28)",€6.00m,1997,6000.0,76,58,44,35
France,Ligue 1,Stade Rennais FC,20,Carlos Andrés Gómez,Right Winger,"Sep 12, 2002 (22)",€4.00m,2002,4000.0,74,56,43,34
France,Ligue 1,Stade Rennais FC,9,Arnaud Kalimuendo,Centre-Forward,"Jan 20, 2002 (23)",€22.00m,2002,22000.0,83,68,46,36
France,Ligue 1,Stade Rennais FC,62,Mohamed Kader Meïté,Centre-Forward,"Oct 11, 2007 (17)",€5.00m,2007,5000.0,73,60,40,31
France,Ligue 1,Stade Rennais FC,-,Bertuğ Yıldırım,Centre-Forward,"Jul 12, 2002 (23)",€2.00m,2002,2000.0,70,57,38,30
France,Ligue 1,Stade Rennais FC,-,Alan Do Marcolino,Centre-Forward,"Mar 19, 2002 (23)",€100k,2002,100.0,54,44,30,23
