country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,1.FC Heidenheim 1846,1,Kevin Müller,Goalkeeper,"Mar 15, 1991 (34)",€700k,1991,700.0,65,28,30,59
Germany,Bundesliga,1.FC Heidenheim 1846,40,Frank Feller,Goalkeeper,"Jan 7, 2004 (21)",€500k,2004,500.0,62,27,29,56
Germany,Bundesliga,1.FC Heidenheim 1846,34,Paul Tschernuth,Goalkeeper,"Jan 20, 2002 (23)",€100k,2002,100.0,54,23,25,49
Germany,Bundesliga,1.FC Heidenheim 1846,5,Benedikt Gimber,Centre-Back,"Feb 19, 1997 (28)",€3.00m,1997,3000.0,73,34,38,60
Germany,Bundesliga,1.FC Heidenheim 1846,6,Patrick Mainka,Centre-Back,"Nov 6, 1994 (30)",€3.00m,1994,3000.0,73,34,38,60
Germany,Bundesliga,1.FC Heidenheim 1846,4,Tim Siersleben,Centre-Back,"Mar 9, 2000 (25)",€2.00m,2000,2000.0,70,32,36,57
Germany,Bundesliga,1.FC Heidenheim 1846,27,Thomas Keller,Centre-Back,"Aug 5, 1999 (25)",€500k,1999,500.0,63,29,33,52
Germany,Bundesliga,1.FC Heidenheim 1846,28,Adam Kölle,Centre-Back,"Apr 28, 2006 (19)",-,2006,46.0,48,22,25,39
Germany,Bundesliga,1.FC Heidenheim 1846,19,Jonas Föhrenbach,Left-Back,"Jan 26, 1996 (29)",€1.50m,1996,1500.0,69,34,38,52
Germany,Bundesliga,1.FC Heidenheim 1846,23,Omar Traoré,Right-Back,"Feb 4, 1998 (27)",€4.00m,1998,4000.0,74,36,41,56
Germany,Bundesliga,1.FC Heidenheim 1846,2,Marnon Busch,Right-Back,"Dec 8, 1994 (30)",€1.20m,1994,1200.0,68,33,37,52
Germany,Bundesliga,1.FC Heidenheim 1846,30,Niklas Dorsch,Defensive Midfield,"Jan 15, 1998 (27)",€3.50m,1998,3500.0,73,38,38,47
Germany,Bundesliga,1.FC Heidenheim 1846,16,Julian Niehues,Defensive Midfield,"Apr 17, 2001 (24)",€1.50m,2001,1500.0,69,36,36,44
Germany,Bundesliga,1.FC Heidenheim 1846,36,Luka Janes,Defensive Midfield,"Jan 19, 2004 (21)",€200k,2004,200.0,57,30,30,36
Germany,Bundesliga,1.FC Heidenheim 1846,3,Jan Schöppner,Central Midfield,"Jun 12, 1999 (26)",€4.00m,1999,4000.0,74,43,47,43
Germany,Bundesliga,1.FC Heidenheim 1846,20,Luca Kerber,Central Midfield,"Mar 10, 2002 (23)",€1.50m,2002,1500.0,68,39,44,39
Germany,Bundesliga,1.FC Heidenheim 1846,33,Nick Rothweiler,Central Midfield,"Jun 16, 2006 (19)",-,2006,75.0,51,30,33,30
Germany,Bundesliga,1.FC Heidenheim 1846,22,Arijon Ibrahimovic,Attacking Midfield,"Dec 11, 2005 (19)",€4.00m,2005,4000.0,73,49,45,38
Germany,Bundesliga,1.FC Heidenheim 1846,21,Adrian Beck,Attacking Midfield,"Jun 9, 1997 (28)",€2.00m,1997,2000.0,70,47,43,36
Germany,Bundesliga,1.FC Heidenheim 1846,8,Leo Scienza,Left Winger,"Sep 13, 1998 (26)",€3.00m,1998,3000.0,73,55,42,34
Germany,Bundesliga,1.FC Heidenheim 1846,17,Mathias Honsak,Left Winger,"Dec 20, 1996 (28)",€2.00m,1996,2000.0,71,54,41,33
Germany,Bundesliga,1.FC Heidenheim 1846,31,Sirlord Conteh,Right Winger,"Jul 9, 1996 (29)",€1.50m,1996,1500.0,69,52,40,32
Germany,Bundesliga,1.FC Heidenheim 1846,18,Marvin Pieringer,Centre-Forward,"Oct 4, 1999 (25)",€5.50m,1999,5500.0,76,62,42,33
Germany,Bundesliga,1.FC Heidenheim 1846,11,Budu Zivzivadze,Centre-Forward,"Mar 10, 1994 (31)",€2.00m,1994,2000.0,71,58,39,31
Germany,Bundesliga,1.FC Heidenheim 1846,14,Maximilian Breunig,Centre-Forward,"Aug 14, 2000 (24)",€1.50m,2000,1500.0,69,57,38,30
Germany,Bundesliga,1.FC Heidenheim 1846,29,Mikkel Kaufmann,Centre-Forward,"Jan 3, 2001 (24)",€1.20m,2001,1200.0,67,55,37,29
Germany,Bundesliga,1.FC Heidenheim 1846,9,Stefan Schimmer,Centre-Forward,"Apr 28, 1994 (31)",€500k,1994,500.0,63,52,35,27
