country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,Bayern Munich,40,Jonas Urbig,Goalkeeper,"Aug 8, 2003 (21)",€12.00m,2003,12000.0,79,34,36,72
Germany,Bundesliga,Bayern Munich,1,Manuel Neuer,Goalkeeper,"Mar 27, 1986 (39)",€4.00m,1986,4000.0,75,32,34,68
Germany,Bundesliga,Bayern Munich,2,Dayot Upamecano,Centre-Back,"Oct 27, 1998 (26)",€50.00m,1998,50000.0,88,40,46,72
Germany,Bundesliga,Bayern Munich,3,Min-jae Kim,Centre-Back,"Nov 15, 1996 (28)",€40.00m,1996,40000.0,87,40,45,71
Germany,Bundesliga,Bayern Munich,4,Jonathan Tah,Centre-Back,"Feb 11, 1996 (29)",€30.00m,1996,30000.0,85,39,44,70
Germany,Bundesliga,Bayern Munich,21,Hiroki Ito,Centre-Back,"May 12, 1999 (26)",€25.00m,1999,25000.0,84,39,44,69
Germany,Bundesliga,Bayern Munich,28,Tarek Buchmann,Centre-Back,"Feb 28, 2005 (20)",€500k,2005,500.0,62,29,32,51
Germany,Bundesliga,Bayern Munich,19,Alphonso Davies,Left-Back,"Nov 2, 2000 (24)",€50.00m,2000,50000.0,87,43,48,66
Germany,Bundesliga,Bayern Munich,22,Raphaël Guerreiro,Left-Back,"Dec 22, 1993 (31)",€8.00m,1993,8000.0,78,38,43,59
Germany,Bundesliga,Bayern Munich,49,Adam Aznou,Left-Back,"Jun 2, 2006 (19)",€4.00m,2006,4000.0,72,35,40,55
Germany,Bundesliga,Bayern Munich,44,Josip Stanisic,Right-Back,"Apr 2, 2000 (25)",€32.00m,2000,32000.0,85,42,47,65
Germany,Bundesliga,Bayern Munich,27,Konrad Laimer,Right-Back,"May 27, 1997 (28)",€25.00m,1997,25000.0,84,41,46,64
Germany,Bundesliga,Bayern Munich,23,Sacha Boey,Right-Back,"Sep 13, 2000 (24)",€18.00m,2000,18000.0,82,40,45,62
Germany,Bundesliga,Bayern Munich,45,Aleksandar Pavlovic,Defensive Midfield,"May 3, 2004 (21)",€55.00m,2004,55000.0,87,45,45,56
Germany,Bundesliga,Bayern Munich,6,Joshua Kimmich,Defensive Midfield,"Feb 8, 1995 (30)",€45.00m,1995,45000.0,87,45,45,56
Germany,Bundesliga,Bayern Munich,16,João Palhinha,Defensive Midfield,"Jul 9, 1995 (30)",€30.00m,1995,30000.0,85,44,44,54
Germany,Bundesliga,Bayern Munich,47,David Santos Daiber,Defensive Midfield,"Jan 10, 2007 (18)",-,2007,6.0,37,19,19,24
Germany,Bundesliga,Bayern Munich,20,Tom Bischof,Central Midfield,"Jun 28, 2005 (20)",€30.00m,2005,30000.0,83,48,53,48
Germany,Bundesliga,Bayern Munich,8,Leon Goretzka,Central Midfield,"Feb 6, 1995 (30)",€22.00m,1995,22000.0,83,48,53,48
Germany,Bundesliga,Bayern Munich,10,Jamal Musiala,Attacking Midfield,"Feb 26, 2003 (22)",€140.00m,2003,140000.0,92,62,56,48
Germany,Bundesliga,Bayern Munich,14,Paul Wanner,Attacking Midfield,"Dec 23, 2005 (19)",€18.00m,2005,18000.0,81,54,49,42
Germany,Bundesliga,Bayern Munich,34,Lovro Zvonarek,Attacking Midfield,"May 8, 2005 (20)",€1.50m,2005,1500.0,67,45,41,35
Germany,Bundesliga,Bayern Munich,46,Lennart Karl,Attacking Midfield,"Feb 22, 2008 (17)",€1.50m,2008,1500.0,67,45,41,35
Germany,Bundesliga,Bayern Munich,11,Kingsley Coman,Left Winger,"Jun 13, 1996 (29)",€30.00m,1996,30000.0,85,65,49,39
Germany,Bundesliga,Bayern Munich,7,Serge Gnabry,Left Winger,"Jul 14, 1995 (30)",€22.00m,1995,22000.0,83,63,48,38
Germany,Bundesliga,Bayern Munich,-,Bryan Zaragoza,Left Winger,"Sep 9, 2001 (23)",€12.00m,2001,12000.0,80,61,46,37
Germany,Bundesliga,Bayern Munich,17,Michael Olise,Right Winger,"Dec 12, 2001 (23)",€100.00m,2001,100000.0,91,69,53,42
Germany,Bundesliga,Bayern Munich,25,Thomas Müller,Second Striker,"Sep 13, 1989 (35)",€6.00m,1989,6000.0,77,61,45,33
Germany,Bundesliga,Bayern Munich,9,Harry Kane,Centre-Forward,"Jul 28, 1993 (31)",€75.00m,1993,75000.0,90,74,50,39
Germany,Bundesliga,Bayern Munich,41,Jonah Kusi-Asare,Centre-Forward,"Jul 4, 2007 (18)",€2.50m,2007,2500.0,69,57,38,30
