country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,Eintracht Frankfurt,1,Kevin Trapp,Goalkeeper,"Jul 8, 1990 (35)",€2.50m,1990,2500.0,72,31,33,66
Germany,Bundesliga,Eintracht Frankfurt,40,Kauã Santos,Goalkeeper,"Apr 11, 2003 (22)",€2.50m,2003,2500.0,71,31,33,65
Germany,Bundesliga,Eintracht Frankfurt,33,Jens Grahl,Goalkeeper,"Sep 22, 1988 (36)",€200k,1988,200.0,59,25,27,54
Germany,Bundesliga,Eintracht Frankfurt,3,Arthur Theate,Centre-Back,"May 25, 2000 (25)",€24.00m,2000,24000.0,83,38,43,68
Germany,Bundesliga,Eintracht Frankfurt,4,Robin Koch,Centre-Back,"Jul 17, 1996 (29)",€18.00m,1996,18000.0,82,38,43,67
Germany,Bundesliga,Eintracht Frankfurt,35,Tuta,Centre-Back,"Jul 4, 1999 (26)",€15.00m,1999,15000.0,81,37,42,66
Germany,Bundesliga,Eintracht Frankfurt,34,Nnamdi Collins,Centre-Back,"Jan 10, 2004 (21)",€10.00m,2004,10000.0,78,36,41,64
Germany,Bundesliga,Eintracht Frankfurt,5,Aurèle Amenda,Centre-Back,"Jul 31, 2003 (21)",€7.50m,2003,7500.0,77,35,40,63
Germany,Bundesliga,Eintracht Frankfurt,-,Hrvoje Smolcic,Centre-Back,"Aug 17, 2000 (24)",€2.00m,2000,2000.0,70,32,36,57
Germany,Bundesliga,Eintracht Frankfurt,21,Nathaniel Brown,Left-Back,"Jun 16, 2003 (22)",€22.00m,2003,22000.0,82,40,45,62
Germany,Bundesliga,Eintracht Frankfurt,29,Niels Nkounkou,Left-Back,"Nov 1, 2000 (24)",€3.50m,2000,3500.0,73,36,40,55
Germany,Bundesliga,Eintracht Frankfurt,13,Rasmus Kristensen,Right-Back,"Jul 11, 1997 (28)",€14.00m,1997,14000.0,81,40,45,62
Germany,Bundesliga,Eintracht Frankfurt,2,Elias Baum,Right-Back,"Oct 26, 2005 (19)",€8.00m,2005,8000.0,76,37,42,58
Germany,Bundesliga,Eintracht Frankfurt,24,Aurélio Buta,Right-Back,"Feb 10, 1997 (28)",€5.00m,1997,5000.0,75,37,41,57
Germany,Bundesliga,Eintracht Frankfurt,22,Timothy Chandler,Right-Back,"Mar 29, 1990 (35)",€350k,1990,350.0,62,30,34,47
Germany,Bundesliga,Eintracht Frankfurt,15,Ellyes Skhiri,Defensive Midfield,"May 10, 1995 (30)",€7.50m,1995,7500.0,78,41,41,50
Germany,Bundesliga,Eintracht Frankfurt,47,Noah Fenyö,Defensive Midfield,"Jan 30, 2006 (19)",€350k,2006,350.0,59,31,31,38
Germany,Bundesliga,Eintracht Frankfurt,16,Hugo Larsson,Central Midfield,"Jun 27, 2004 (21)",€40.00m,2004,40000.0,85,49,54,49
Germany,Bundesliga,Eintracht Frankfurt,-,Paxten Aaronson,Central Midfield,"Aug 26, 2003 (21)",€8.00m,2003,8000.0,77,45,49,45
Germany,Bundesliga,Eintracht Frankfurt,6,Oscar Højlund,Central Midfield,"Jan 4, 2005 (20)",€7.50m,2005,7500.0,76,44,49,44
Germany,Bundesliga,Eintracht Frankfurt,18,Mahmoud Dahoud,Central Midfield,"Jan 1, 1996 (29)",€3.50m,1996,3500.0,74,43,47,43
Germany,Bundesliga,Eintracht Frankfurt,26,Junior Dina Ebimbe,Right Midfield,"Nov 21, 2000 (24)",€6.00m,2000,6000.0,76,44,49,44
Germany,Bundesliga,Eintracht Frankfurt,42,Can Uzun,Attacking Midfield,"Nov 11, 2005 (19)",€18.00m,2005,18000.0,81,54,49,42
Germany,Bundesliga,Eintracht Frankfurt,8,Farès Chaïbi,Attacking Midfield,"Nov 28, 2002 (22)",€9.00m,2002,9000.0,78,52,48,41
Germany,Bundesliga,Eintracht Frankfurt,27,Mario Götze,Attacking Midfield,"Jun 3, 1992 (33)",€4.00m,1992,4000.0,75,50,46,39
Germany,Bundesliga,Eintracht Frankfurt,23,Krisztián Lisztes,Attacking Midfield,"May 6, 2005 (20)",€2.00m,2005,2000.0,69,46,42,36
Germany,Bundesliga,Eintracht Frankfurt,19,Jean-Mattéo Bahoya,Left Winger,"May 7, 2005 (20)",€17.00m,2005,17000.0,80,61,46,37
Germany,Bundesliga,Eintracht Frankfurt,7,Ansgar Knauff,Right Winger,"Jan 10, 2002 (23)",€15.00m,2002,15000.0,81,62,47,37
Germany,Bundesliga,Eintracht Frankfurt,9,Jonathan Burkardt,Centre-Forward,"Jul 11, 2000 (25)",€35.00m,2000,35000.0,85,70,47,37
Germany,Bundesliga,Eintracht Frankfurt,17,Elye Wahi,Centre-Forward,"Jan 2, 2003 (22)",€22.00m,2003,22000.0,82,67,45,35
Germany,Bundesliga,Eintracht Frankfurt,30,Michy Batshuayi,Centre-Forward,"Oct 2, 1993 (31)",€4.00m,1993,4000.0,74,61,41,32
Germany,Bundesliga,Eintracht Frankfurt,-,Jessic Ngankam,Centre-Forward,"Jul 20, 2000 (25)",€1.00m,2000,1000.0,67,55,37,29
