country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,FC Augsburg,1,Finn Dahmen,Goalkeeper,"Mar 27, 1998 (27)",€9.00m,1998,9000.0,78,34,36,71
Germany,Bundesliga,FC Augsburg,22,Nediljko Labrovic,Goalkeeper,"Oct 10, 1999 (25)",€2.50m,1999,2500.0,71,31,33,65
Germany,Bundesliga,FC Augsburg,25,Daniel Klein,Goalkeeper,"Mar 13, 2001 (24)",€150k,2001,150.0,56,24,26,51
Germany,Bundesliga,FC Augsburg,-,Tobias Jäger,Goalkeeper,"Feb 1, 2005 (20)",€100k,2005,100.0,53,23,24,48
Germany,Bundesliga,FC Augsburg,5,Chrislain Matsima,Centre-Back,"May 15, 2002 (23)",€22.00m,2002,22000.0,83,38,43,68
Germany,Bundesliga,FC Augsburg,16,Cédric Zesiger,Centre-Back,"Jun 24, 1998 (27)",€7.00m,1998,7000.0,77,35,40,63
Germany,Bundesliga,FC Augsburg,31,Keven Schlotterbeck,Centre-Back,"Apr 28, 1997 (28)",€6.00m,1997,6000.0,76,35,40,62
Germany,Bundesliga,FC Augsburg,40,Noahkai Banks,Centre-Back,"Dec 1, 2006 (18)",€6.00m,2006,6000.0,74,34,38,61
Germany,Bundesliga,FC Augsburg,23,Maximilian Bauer,Centre-Back,"Feb 9, 2000 (25)",€2.00m,2000,2000.0,70,32,36,57
Germany,Bundesliga,FC Augsburg,6,Jeffrey Gouweleeuw,Centre-Back,"Jul 10, 1991 (34)",€1.50m,1991,1500.0,69,32,36,57
Germany,Bundesliga,FC Augsburg,13,Dimitrios Giannoulis,Left-Back,"Oct 17, 1995 (29)",€3.00m,1995,3000.0,73,36,40,55
Germany,Bundesliga,FC Augsburg,3,Mads Pedersen,Left-Back,"Sep 1, 1996 (28)",€2.00m,1996,2000.0,71,35,39,54
Germany,Bundesliga,FC Augsburg,38,David Colina,Left-Back,"Jul 19, 2000 (25)",€850k,2000,850.0,66,32,36,50
Germany,Bundesliga,FC Augsburg,27,Marius Wolf,Right-Back,"May 27, 1995 (30)",€3.00m,1995,3000.0,73,36,40,55
Germany,Bundesliga,FC Augsburg,44,Henri Koudossou,Right-Back,"Sep 3, 1999 (25)",€2.00m,1999,2000.0,70,34,38,53
Germany,Bundesliga,FC Augsburg,17,Kristijan Jakic,Defensive Midfield,"May 14, 1997 (28)",€6.50m,1997,6500.0,77,40,40,49
Germany,Bundesliga,FC Augsburg,18,Tim Breithaupt,Defensive Midfield,"Feb 7, 2002 (23)",€2.50m,2002,2500.0,71,37,37,45
Germany,Bundesliga,FC Augsburg,19,Robin Fellhauer,Defensive Midfield,"Jan 21, 1998 (27)",€1.80m,1998,1800.0,70,36,36,45
Germany,Bundesliga,FC Augsburg,42,Mahmut Kücüksahin,Defensive Midfield,"Apr 7, 2004 (21)",€175k,2004,175.0,56,29,29,36
Germany,Bundesliga,FC Augsburg,4,Han-Noah Massengo,Central Midfield,"Jul 7, 2001 (24)",€5.00m,2001,5000.0,75,44,48,44
Germany,Bundesliga,FC Augsburg,10,Arne Maier,Central Midfield,"Jan 8, 1999 (26)",€4.00m,1999,4000.0,74,43,47,43
Germany,Bundesliga,FC Augsburg,8,Elvis Rexhbecaj,Central Midfield,"Nov 1, 1997 (27)",€3.50m,1997,3500.0,73,42,47,42
Germany,Bundesliga,FC Augsburg,20,Alexis Claude-Maurice,Attacking Midfield,"Jun 6, 1998 (27)",€12.00m,1998,12000.0,80,54,49,42
Germany,Bundesliga,FC Augsburg,36,Mert Kömür,Attacking Midfield,"Jul 17, 2005 (20)",€5.00m,2005,5000.0,74,50,45,38
Germany,Bundesliga,FC Augsburg,26,Elias Saad,Left Winger,"Dec 27, 1999 (25)",€4.00m,1999,4000.0,74,56,43,34
Germany,Bundesliga,FC Augsburg,7,Yusuf Kabadayi,Left Winger,"Feb 2, 2004 (21)",€1.50m,2004,1500.0,68,52,39,31
Germany,Bundesliga,FC Augsburg,29,Kyliane Dong,Right Winger,"Sep 27, 2004 (20)",€500k,2004,500.0,62,47,36,29
Germany,Bundesliga,FC Augsburg,21,Phillip Tietz,Centre-Forward,"Jul 9, 1997 (28)",€5.00m,1997,5000.0,75,62,41,32
Germany,Bundesliga,FC Augsburg,9,Samuel Essende,Centre-Forward,"Jan 23, 1998 (27)",€4.50m,1998,4500.0,75,62,41,32
Germany,Bundesliga,FC Augsburg,15,Steve Mounié,Centre-Forward,"Sep 29, 1994 (30)",€2.00m,1994,2000.0,71,58,39,31
