country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,RB Leipzig,26,Maarten Vandevoordt,Goalkeeper,"Feb 26, 2002 (23)",€8.00m,2002,8000.0,77,33,35,70
Germany,Bundesliga,RB Leipzig,1,Péter Gulácsi,Goalkeeper,"May 6, 1990 (35)",€2.00m,1990,2000.0,71,31,33,65
Germany,Bundesliga,RB Leipzig,21,Janis Blaswich,Goalkeeper,"May 2, 1991 (34)",€700k,1991,700.0,65,28,30,59
Germany,Bundesliga,RB Leipzig,25,Leopold Zingerle,Goalkeeper,"Apr 10, 1994 (31)",€400k,1994,400.0,62,27,29,56
Germany,Bundesliga,RB Leipzig,23,Castello Lukeba,Centre-Back,"Dec 17, 2002 (22)",€40.00m,2002,40000.0,86,40,45,71
Germany,Bundesliga,RB Leipzig,5,El Chadaille Bitshiabu,Centre-Back,"May 16, 2005 (20)",€18.00m,2005,18000.0,81,37,42,66
Germany,Bundesliga,RB Leipzig,4,Willi Orbán,Centre-Back,"Nov 3, 1992 (32)",€8.00m,1992,8000.0,78,36,41,64
Germany,Bundesliga,RB Leipzig,16,Lukas Klostermann,Centre-Back,"Jun 3, 1996 (29)",€8.00m,1996,8000.0,78,36,41,64
Germany,Bundesliga,RB Leipzig,-,Tim Köhler,Centre-Back,"May 2, 2005 (20)",€300k,2005,300.0,59,27,31,48
Germany,Bundesliga,RB Leipzig,22,David Raum,Left-Back,"Apr 22, 1998 (27)",€20.00m,1998,20000.0,83,41,46,63
Germany,Bundesliga,RB Leipzig,35,Max Finkgräfe,Left-Back,"Mar 27, 2004 (21)",€4.00m,2004,4000.0,73,36,40,55
Germany,Bundesliga,RB Leipzig,3,Lutsharel Geertruida,Right-Back,"Jul 18, 2000 (25)",€20.00m,2000,20000.0,82,40,45,62
Germany,Bundesliga,RB Leipzig,39,Benjamin Henrichs,Right-Back,"Feb 23, 1997 (28)",€15.00m,1997,15000.0,81,40,45,62
Germany,Bundesliga,RB Leipzig,19,Kosta Nedeljkovic,Right-Back,"Dec 16, 2005 (19)",€10.00m,2005,10000.0,78,38,43,59
Germany,Bundesliga,RB Leipzig,17,Ridle Baku,Right-Back,"Apr 8, 1998 (27)",€9.00m,1998,9000.0,78,38,43,59
Germany,Bundesliga,RB Leipzig,18,Arthur Vermeeren,Defensive Midfield,"Feb 7, 2005 (20)",€22.00m,2005,22000.0,82,43,43,52
Germany,Bundesliga,RB Leipzig,13,Nicolas Seiwald,Central Midfield,"May 4, 2001 (24)",€18.00m,2001,18000.0,82,48,52,48
Germany,Bundesliga,RB Leipzig,8,Amadou Haidara,Central Midfield,"Jan 31, 1998 (27)",€16.00m,1998,16000.0,81,47,52,47
Germany,Bundesliga,RB Leipzig,6,Ezechiel Banzuzi,Central Midfield,"Feb 16, 2005 (20)",€13.00m,2005,13000.0,79,46,51,46
Germany,Bundesliga,RB Leipzig,24,Xaver Schlager,Central Midfield,"Sep 28, 1997 (27)",€10.00m,1997,10000.0,79,46,51,46
Germany,Bundesliga,RB Leipzig,20,Assan Ouédraogo,Central Midfield,"May 9, 2006 (19)",€7.00m,2006,7000.0,75,44,48,44
Germany,Bundesliga,RB Leipzig,44,Kevin Kampl,Central Midfield,"Oct 9, 1990 (34)",€2.50m,1990,2500.0,72,42,46,42
Germany,Bundesliga,RB Leipzig,42,Joyeux Masanka Bungi,Left Midfield,"Jan 24, 2007 (18)",-,2007,33.0,46,27,29,27
Germany,Bundesliga,RB Leipzig,10,Xavi Simons,Attacking Midfield,"Apr 21, 2003 (22)",€70.00m,2003,70000.0,89,60,54,46
Germany,Bundesliga,RB Leipzig,33,Andrija Maksimovic,Attacking Midfield,"Jun 5, 2007 (18)",€15.00m,2007,15000.0,79,53,48,41
Germany,Bundesliga,RB Leipzig,14,Christoph Baumgartner,Attacking Midfield,"Aug 1, 1999 (25)",€12.00m,1999,12000.0,80,54,49,42
Germany,Bundesliga,RB Leipzig,47,Viggo Gebel,Attacking Midfield,"Nov 22, 2007 (17)",€350k,2007,350.0,59,40,36,31
Germany,Bundesliga,RB Leipzig,-,Nuha Jatta,Attacking Midfield,"Mar 15, 2006 (19)",€250k,2006,250.0,57,38,35,30
Germany,Bundesliga,RB Leipzig,7,Antonio Nusa,Left Winger,"Apr 17, 2005 (20)",€28.00m,2005,28000.0,83,63,48,38
Germany,Bundesliga,RB Leipzig,45,Eljif Elmas,Left Winger,"Sep 24, 1999 (25)",€14.00m,1999,14000.0,81,62,47,37
Germany,Bundesliga,RB Leipzig,36,Timo Werner,Left Winger,"Mar 6, 1996 (29)",€7.00m,1996,7000.0,77,59,45,35
Germany,Bundesliga,RB Leipzig,27,Tidiam Gomis,Left Winger,"Aug 8, 2006 (18)",€3.00m,2006,3000.0,71,54,41,33
Germany,Bundesliga,RB Leipzig,49,Yan Diomande,Left Winger,"Nov 14, 2006 (18)",€1.50m,2006,1500.0,67,51,39,31
Germany,Bundesliga,RB Leipzig,9,Johan Bakayoko,Right Winger,"Apr 20, 2003 (22)",€30.00m,2003,30000.0,84,64,49,39
Germany,Bundesliga,RB Leipzig,30,Benjamin Sesko,Centre-Forward,"May 31, 2003 (22)",€70.00m,2003,70000.0,89,73,49,38
Germany,Bundesliga,RB Leipzig,11,Loïs Openda,Centre-Forward,"Feb 16, 2000 (25)",€50.00m,2000,50000.0,87,71,48,37
Germany,Bundesliga,RB Leipzig,37,André Silva,Centre-Forward,"Nov 6, 1995 (29)",€4.00m,1995,4000.0,74,61,41,32
Germany,Bundesliga,RB Leipzig,-,Robert Ramsak,Centre-Forward,"Oct 28, 2006 (18)",-,2006,28.0,46,38,25,20
