country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,SV Werder Bremen,1,Michael Zetterer,Goalkeeper,"Jul 12, 1995 (30)",€4.50m,1995,4500.0,75,32,34,68
Germany,Bundesliga,SV Werder Bremen,30,Mio Backhaus,Goalkeeper,"Apr 16, 2004 (21)",€2.00m,2004,2000.0,69,30,32,63
Germany,Bundesliga,SV Werder Bremen,25,Markus Kolke,Goalkeeper,"Aug 18, 1990 (34)",€300k,1990,300.0,61,26,28,56
Germany,Bundesliga,SV Werder Bremen,37,Stefan Smarkalev,Goalkeeper,"May 14, 2007 (18)",-,2007,36.0,47,20,22,43
Germany,Bundesliga,SV Werder Bremen,32,Marco Friedl,Centre-Back,"Mar 16, 1998 (27)",€12.00m,1998,12000.0,80,37,42,66
Germany,Bundesliga,SV Werder Bremen,39,Maximilian Wöber,Centre-Back,"Feb 4, 1998 (27)",€8.00m,1998,8000.0,78,36,41,64
Germany,Bundesliga,SV Werder Bremen,4,Niklas Stark,Centre-Back,"Apr 14, 1995 (30)",€4.00m,1995,4000.0,74,34,38,61
Germany,Bundesliga,SV Werder Bremen,5,Amos Pieper,Centre-Back,"Jan 17, 1998 (27)",€3.50m,1998,3500.0,73,34,38,60
Germany,Bundesliga,SV Werder Bremen,22,Julián Malatini,Centre-Back,"May 31, 2001 (24)",€2.50m,2001,2500.0,71,33,37,58
Germany,Bundesliga,SV Werder Bremen,31,Karim Coulibaly,Centre-Back,"May 23, 2007 (18)",-,2007,95.0,52,24,27,43
Germany,Bundesliga,SV Werder Bremen,33,Mick Schmetgens,Centre-Back,"Sep 9, 2007 (17)",-,2007,40.0,47,22,24,39
Germany,Bundesliga,SV Werder Bremen,27,Felix Agu,Left-Back,"Sep 27, 1999 (25)",€8.00m,1999,8000.0,78,38,43,59
Germany,Bundesliga,SV Werder Bremen,2,Olivier Deman,Left-Back,"Apr 6, 2000 (25)",€3.00m,2000,3000.0,72,35,40,55
Germany,Bundesliga,SV Werder Bremen,8,Mitchell Weiser,Right-Back,"Apr 21, 1994 (31)",€5.00m,1994,5000.0,76,37,42,58
Germany,Bundesliga,SV Werder Bremen,14,Senne Lynen,Defensive Midfield,"Feb 19, 1999 (26)",€9.00m,1999,9000.0,78,41,41,50
Germany,Bundesliga,SV Werder Bremen,28,Skelly Alvero,Defensive Midfield,"May 4, 2002 (23)",€2.50m,2002,2500.0,71,37,37,45
Germany,Bundesliga,SV Werder Bremen,34,Wesley Adeh,Defensive Midfield,"Jan 8, 2007 (18)",-,2007,29.0,46,24,24,29
Germany,Bundesliga,SV Werder Bremen,6,Jens Stage,Central Midfield,"Nov 8, 1996 (28)",€14.00m,1996,14000.0,81,47,52,47
Germany,Bundesliga,SV Werder Bremen,10,Leonardo Bittencourt,Central Midfield,"Dec 19, 1993 (31)",€1.50m,1993,1500.0,69,40,44,40
Germany,Bundesliga,SV Werder Bremen,40,Dikeni Salifou,Central Midfield,"Jun 8, 2003 (22)",€400k,2003,400.0,61,35,39,35
Germany,Bundesliga,SV Werder Bremen,20,Romano Schmid,Attacking Midfield,"Jan 27, 2000 (25)",€17.00m,2000,17000.0,82,55,50,43
Germany,Bundesliga,SV Werder Bremen,21,Isak Hansen-Aarøen,Attacking Midfield,"Aug 22, 2004 (20)",€1.00m,2004,1000.0,66,44,40,34
Germany,Bundesliga,SV Werder Bremen,35,Leon Opitz,Attacking Midfield,"Apr 11, 2005 (20)",€600k,2005,600.0,63,42,38,33
Germany,Bundesliga,SV Werder Bremen,24,Patrice Covic,Attacking Midfield,"Jun 25, 2007 (18)",-,2007,86.0,51,34,31,27
Germany,Bundesliga,SV Werder Bremen,19,Samuel Mbangula,Left Winger,"Jan 16, 2004 (21)",€14.00m,2004,14000.0,80,61,46,37
Germany,Bundesliga,SV Werder Bremen,17,Marco Grüll,Left Winger,"Jul 6, 1998 (27)",€4.00m,1998,4000.0,74,56,43,34
Germany,Bundesliga,SV Werder Bremen,11,Justin Njinmah,Right Winger,"Nov 15, 2000 (24)",€7.00m,2000,7000.0,77,59,45,35
Germany,Bundesliga,SV Werder Bremen,7,Marvin Ducksch,Centre-Forward,"Mar 7, 1994 (31)",€6.00m,1994,6000.0,77,63,42,33
Germany,Bundesliga,SV Werder Bremen,9,Keke Topp,Centre-Forward,"Mar 25, 2004 (21)",€4.00m,2004,4000.0,73,60,40,31
Germany,Bundesliga,SV Werder Bremen,29,Salim Musah,Centre-Forward,"Feb 22, 2006 (19)",-,2006,65.0,50,41,28,22
