country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,1.FC Köln,1,Marvin Schwäbe,Goalkeeper,"Apr 25, 1995 (30)",€2.00m,1995,2000.0,71,31,33,65
Germany,Bundesliga,1.FC Köln,20,Ron-Robert Zieler,Goalkeeper,"Feb 12, 1989 (36)",€500k,1989,500.0,64,28,29,58
Germany,Bundesliga,1.FC Köln,44,Matthias Köbbing,Goalkeeper,"May 28, 1997 (28)",€100k,1997,100.0,54,23,25,49
Germany,Bundesliga,1.FC Köln,4,Timo Hübers,Centre-Back,"Jul 20, 1996 (29)",€3.00m,1996,3000.0,73,34,38,60
Germany,Bundesliga,1.FC Köln,24,Julian Pauli,Centre-Back,"Jul 18, 2005 (20)",€2.50m,2005,2500.0,70,32,36,57
Germany,Bundesliga,1.FC Köln,2,Joël Schmied,Centre-Back,"Sep 23, 1998 (26)",€2.00m,1998,2000.0,70,32,36,57
Germany,Bundesliga,1.FC Köln,3,Dominique Heintz,Centre-Back,"Aug 15, 1993 (31)",€800k,1993,800.0,66,30,34,54
Germany,Bundesliga,1.FC Köln,15,Luca Kilian,Centre-Back,"Sep 1, 1999 (25)",€400k,1999,400.0,62,29,32,51
Germany,Bundesliga,1.FC Köln,49,Neo Telle,Centre-Back,"Apr 24, 2005 (20)",€300k,2005,300.0,59,27,31,48
Germany,Bundesliga,1.FC Köln,17,Leart Paçarada,Left-Back,"Oct 8, 1994 (30)",€1.50m,1994,1500.0,69,34,38,52
Germany,Bundesliga,1.FC Köln,25,Jusuf Gazibegovic,Right-Back,"Mar 11, 2000 (25)",€4.00m,2000,4000.0,74,36,41,56
Germany,Bundesliga,1.FC Köln,28,Sebastian Sebulonsen,Right-Back,"Jan 27, 2000 (25)",€2.50m,2000,2500.0,71,35,39,54
Germany,Bundesliga,1.FC Köln,6,Eric Martel,Defensive Midfield,"Apr 29, 2002 (23)",€6.00m,2002,6000.0,76,40,40,49
Germany,Bundesliga,1.FC Köln,22,Jacob Christensen,Defensive Midfield,"Jun 25, 2001 (24)",€800k,2001,800.0,65,34,34,42
Germany,Bundesliga,1.FC Köln,34,Fayssal Harchaoui,Defensive Midfield,"Jan 15, 2006 (19)",-,2006,92.0,52,27,27,33
Germany,Bundesliga,1.FC Köln,18,Ísak Jóhannesson,Central Midfield,"Mar 23, 2003 (22)",€7.00m,2003,7000.0,76,44,49,44
Germany,Bundesliga,1.FC Köln,5,Tom Krauß,Central Midfield,"Jun 22, 2001 (24)",€4.00m,2001,4000.0,74,43,47,43
Germany,Bundesliga,1.FC Köln,8,Denis Huseinbasic,Central Midfield,"Jul 3, 2001 (24)",€2.80m,2001,2800.0,72,42,46,42
Germany,Bundesliga,1.FC Köln,46,Emin Kujovic,Central Midfield,"Sep 29, 2004 (20)",€125k,2004,125.0,55,32,35,32
Germany,Bundesliga,1.FC Köln,11,Florian Kainz,Attacking Midfield,"Oct 24, 1992 (32)",€1.70m,1992,1700.0,70,47,43,36
Germany,Bundesliga,1.FC Köln,16,Jakub Kaminski,Left Winger,"Jun 5, 2002 (23)",€5.00m,2002,5000.0,75,57,44,34
Germany,Bundesliga,1.FC Köln,37,Linton Maina,Left Winger,"Jun 23, 1999 (26)",€4.00m,1999,4000.0,74,56,43,34
Germany,Bundesliga,1.FC Köln,13,Said El Mala,Left Winger,"Aug 26, 2006 (18)",€3.00m,2006,3000.0,71,54,41,33
Germany,Bundesliga,1.FC Köln,29,Jan Thielmann,Right Winger,"May 26, 2002 (23)",€3.00m,2002,3000.0,72,55,42,33
Germany,Bundesliga,1.FC Köln,9,Ragnar Ache,Centre-Forward,"Jul 28, 1998 (26)",€7.00m,1998,7000.0,77,63,42,33
Germany,Bundesliga,1.FC Köln,7,Luca Waldschmidt,Centre-Forward,"May 19, 1996 (29)",€2.00m,1996,2000.0,71,58,39,31
Germany,Bundesliga,1.FC Köln,27,Imad Rondic,Centre-Forward,"Feb 16, 1999 (26)",€1.50m,1999,1500.0,69,57,38,30
Germany,Bundesliga,1.FC Köln,21,Steffen Tigges,Centre-Forward,"Jul 31, 1998 (26)",€700k,1998,700.0,65,53,36,28
Germany,Bundesliga,1.FC Köln,23,Sargis Adamyan,Centre-Forward,"May 23, 1993 (32)",€400k,1993,400.0,62,51,34,27
Germany,Bundesliga,1.FC Köln,33,Florian Dietz,Centre-Forward,"Aug 3, 1998 (26)",€300k,1998,300.0,60,49,33,26
Germany,Bundesliga,1.FC Köln,19,Malek El Mala,Centre-Forward,"Apr 2, 2005 (20)",€250k,2005,250.0,58,48,32,25
