country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,1.FSV Mainz 05,27,Robin Zentner,Goalkeeper,"Oct 28, 1994 (30)",€4.00m,1994,4000.0,74,32,34,67
Germany,Bundesliga,1.FSV Mainz 05,1,Lasse Rieß,Goalkeeper,"Jul 27, 2001 (24)",€400k,2001,400.0,62,27,29,56
Germany,Bundesliga,1.FSV Mainz 05,33,Daniel Batz,Goalkeeper,"Jan 12, 1991 (34)",€250k,1991,250.0,60,26,28,55
Germany,Bundesliga,1.FSV Mainz 05,25,Andreas Hanche-Olsen,Centre-Back,"Jan 17, 1997 (28)",€6.00m,1997,6000.0,76,35,40,62
Germany,Bundesliga,1.FSV Mainz 05,31,Dominik Kohr,Centre-Back,"Jan 31, 1994 (31)",€3.50m,1994,3500.0,74,34,38,61
Germany,Bundesliga,1.FSV Mainz 05,5,Maxim Leitsch,Centre-Back,"May 18, 1998 (27)",€1.50m,1998,1500.0,69,32,36,57
Germany,Bundesliga,1.FSV Mainz 05,21,Danny da Costa,Centre-Back,"Jul 13, 1993 (32)",€1.50m,1993,1500.0,69,32,36,57
Germany,Bundesliga,1.FSV Mainz 05,16,Stefan Bell,Centre-Back,"Aug 24, 1991 (33)",€800k,1991,800.0,66,30,34,54
Germany,Bundesliga,1.FSV Mainz 05,23,Konstantin Schopp,Centre-Back,"Dec 30, 2005 (19)",€400k,2005,400.0,60,28,31,49
Germany,Bundesliga,1.FSV Mainz 05,47,Maxim Dal,Centre-Back,"Jan 26, 2006 (19)",€150k,2006,150.0,55,25,29,45
Germany,Bundesliga,1.FSV Mainz 05,2,Phillipp Mwene,Left-Back,"Jan 29, 1994 (31)",€1.80m,1994,1800.0,70,34,38,53
Germany,Bundesliga,1.FSV Mainz 05,18,Kasey Bos,Left-Back,"May 8, 2004 (21)",€450k,2004,450.0,61,30,34,46
Germany,Bundesliga,1.FSV Mainz 05,19,Anthony Caci,Right-Back,"Jul 1, 1997 (28)",€12.00m,1997,12000.0,80,39,44,61
Germany,Bundesliga,1.FSV Mainz 05,22,Nikolas Veratschnig,Right-Back,"Jan 24, 2003 (22)",€1.50m,2003,1500.0,68,33,37,52
Germany,Bundesliga,1.FSV Mainz 05,30,Silvan Widmer,Right-Back,"Mar 5, 1993 (32)",€1.20m,1993,1200.0,68,33,37,52
Germany,Bundesliga,1.FSV Mainz 05,6,Kaishu Sano,Defensive Midfield,"Dec 30, 2000 (24)",€20.00m,2000,20000.0,82,43,43,52
Germany,Bundesliga,1.FSV Mainz 05,15,Lennard Maloney,Defensive Midfield,"Oct 8, 1999 (25)",€3.50m,1999,3500.0,73,38,38,47
Germany,Bundesliga,1.FSV Mainz 05,24,Sota Kawasaki,Defensive Midfield,"Jul 30, 2001 (23)",€1.20m,2001,1200.0,67,35,35,43
Germany,Bundesliga,1.FSV Mainz 05,20,Niklas Tauer,Defensive Midfield,"Feb 17, 2001 (24)",€500k,2001,500.0,63,33,33,40
Germany,Bundesliga,1.FSV Mainz 05,10,Nadiem Amiri,Central Midfield,"Oct 27, 1996 (28)",€20.00m,1996,20000.0,83,48,53,48
Germany,Bundesliga,1.FSV Mainz 05,42,Daniel Gleiber,Central Midfield,"Feb 1, 2005 (20)",€225k,2005,225.0,57,33,36,33
Germany,Bundesliga,1.FSV Mainz 05,8,Paul Nebel,Attacking Midfield,"Oct 10, 2002 (22)",€24.00m,2002,24000.0,83,56,51,43
Germany,Bundesliga,1.FSV Mainz 05,14,Hyun-seok Hong,Attacking Midfield,"Jun 16, 1999 (26)",€3.50m,1999,3500.0,73,49,45,38
Germany,Bundesliga,1.FSV Mainz 05,7,Jae-sung Lee,Attacking Midfield,"Aug 10, 1992 (32)",€2.50m,1992,2500.0,72,48,44,37
Germany,Bundesliga,1.FSV Mainz 05,13,Marco Richter,Attacking Midfield,"Nov 24, 1997 (27)",€1.50m,1997,1500.0,69,46,42,36
Germany,Bundesliga,1.FSV Mainz 05,9,Arnaud Nordin,Right Winger,"Jun 17, 1998 (27)",€5.00m,1998,5000.0,75,57,44,34
Germany,Bundesliga,1.FSV Mainz 05,11,Armindo Sieb,Second Striker,"Feb 17, 2003 (22)",€3.00m,2003,3000.0,72,57,42,31
Germany,Bundesliga,1.FSV Mainz 05,17,Benedict Hollerbach,Centre-Forward,"May 17, 2001 (24)",€12.00m,2001,12000.0,80,66,44,34
Germany,Bundesliga,1.FSV Mainz 05,44,Nelson Weiper,Centre-Forward,"Mar 17, 2005 (20)",€10.00m,2005,10000.0,78,64,43,34
Germany,Bundesliga,1.FSV Mainz 05,37,Ben Bobzien,Centre-Forward,"Apr 29, 2003 (22)",€1.20m,2003,1200.0,67,55,37,29
