country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,Borussia Dortmund,1,Gregor Kobel,Goalkeeper,"Dec 6, 1997 (27)",€40.00m,1997,40000.0,86,37,40,78
Germany,Bundesliga,Borussia Dortmund,-,Diant Ramaj,Goalkeeper,"Sep 19, 2001 (23)",€7.00m,2001,7000.0,77,33,35,70
Germany,Bundesliga,Borussia Dortmund,33,Alexander Meyer,Goalkeeper,"Apr 13, 1991 (34)",€800k,1991,800.0,66,28,30,60
Germany,Bundesliga,Borussia Dortmund,30,Patrick Drewes,Goalkeeper,"Feb 4, 1993 (32)",€500k,1993,500.0,63,27,29,57
Germany,Bundesliga,Borussia Dortmund,31,Silas Ostrzinski,Goalkeeper,"Nov 19, 2003 (21)",€200k,2003,200.0,57,25,26,52
Germany,Bundesliga,Borussia Dortmund,4,Nico Schlotterbeck,Centre-Back,"Dec 1, 1999 (25)",€40.00m,1999,40000.0,86,40,45,71
Germany,Bundesliga,Borussia Dortmund,3,Waldemar Anton,Centre-Back,"Jul 20, 1996 (29)",€18.00m,1996,18000.0,82,38,43,67
Germany,Bundesliga,Borussia Dortmund,25,Niklas Süle,Centre-Back,"Sep 3, 1995 (29)",€8.00m,1995,8000.0,78,36,41,64
Germany,Bundesliga,Borussia Dortmund,39,Filippo Mané,Centre-Back,"Mar 8, 2005 (20)",€600k,2005,600.0,63,29,33,52
Germany,Bundesliga,Borussia Dortmund,24,Daniel Svensson,Left-Back,"Feb 12, 2002 (23)",€12.00m,2002,12000.0,80,39,44,61
Germany,Bundesliga,Borussia Dortmund,5,Ramy Bensebaini,Left-Back,"Apr 16, 1995 (30)",€7.00m,1995,7000.0,77,38,42,59
Germany,Bundesliga,Borussia Dortmund,42,Almugera Kabar,Left-Back,"Jun 6, 2006 (19)",€1.00m,2006,1000.0,65,32,36,49
Germany,Bundesliga,Borussia Dortmund,2,Yan Couto,Right-Back,"Jun 3, 2002 (23)",€20.00m,2002,20000.0,82,40,45,62
Germany,Bundesliga,Borussia Dortmund,26,Julian Ryerson,Right-Back,"Nov 17, 1997 (27)",€20.00m,1997,20000.0,83,41,46,63
Germany,Bundesliga,Borussia Dortmund,23,Emre Can,Defensive Midfield,"Jan 12, 1994 (31)",€7.00m,1994,7000.0,77,40,40,49
Germany,Bundesliga,Borussia Dortmund,6,Salih Özcan,Defensive Midfield,"Jan 11, 1998 (27)",€4.00m,1998,4000.0,74,38,38,47
Germany,Bundesliga,Borussia Dortmund,8,Felix Nmecha,Central Midfield,"Oct 10, 2000 (24)",€28.00m,2000,28000.0,84,49,54,49
Germany,Bundesliga,Borussia Dortmund,77,Jobe Bellingham,Central Midfield,"Sep 23, 2005 (19)",€22.00m,2005,22000.0,82,48,52,48
Germany,Bundesliga,Borussia Dortmund,20,Marcel Sabitzer,Central Midfield,"Mar 17, 1994 (31)",€8.00m,1994,8000.0,78,45,50,45
Germany,Bundesliga,Borussia Dortmund,13,Pascal Groß,Central Midfield,"Jun 15, 1991 (34)",€5.00m,1991,5000.0,76,44,49,44
Germany,Bundesliga,Borussia Dortmund,10,Julian Brandt,Attacking Midfield,"May 2, 1996 (29)",€25.00m,1996,25000.0,84,56,51,44
Germany,Bundesliga,Borussia Dortmund,7,Giovanni Reyna,Attacking Midfield,"Nov 13, 2002 (22)",€7.00m,2002,7000.0,77,52,47,40
Germany,Bundesliga,Borussia Dortmund,16,Julien Duranville,Left Winger,"May 5, 2006 (19)",€8.50m,2006,8500.0,76,58,44,35
Germany,Bundesliga,Borussia Dortmund,27,Karim Adeyemi,Right Winger,"Jan 18, 2002 (23)",€45.00m,2002,45000.0,87,66,50,40
Germany,Bundesliga,Borussia Dortmund,37,Cole Campbell,Right Winger,"Feb 20, 2006 (19)",€1.50m,2006,1500.0,67,51,39,31
Germany,Bundesliga,Borussia Dortmund,9,Serhou Guirassy,Centre-Forward,"Mar 12, 1996 (29)",€45.00m,1996,45000.0,87,71,48,37
Germany,Bundesliga,Borussia Dortmund,14,Maximilian Beier,Centre-Forward,"Oct 17, 2002 (22)",€25.00m,2002,25000.0,83,68,46,36
Germany,Bundesliga,Borussia Dortmund,28,Sébastien Haller,Centre-Forward,"Jun 22, 1994 (31)",€3.00m,1994,3000.0,73,60,40,31
