country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,Borussia Mönchengladbach,33,Moritz Nicolas,Goalkeeper,"Oct 21, 1997 (27)",€5.00m,1997,5000.0,75,32,34,68
Germany,Bundesliga,Borussia Mönchengladbach,1,Jonas Omlin,Goalkeeper,"Jan 10, 1994 (31)",€2.50m,1994,2500.0,72,31,33,66
Germany,Bundesliga,Borussia Mönchengladbach,42,Tiago Pereira Cardoso,Goalkeeper,"Apr 7, 2006 (19)",€1.50m,2006,1500.0,67,29,31,61
Germany,Bundesliga,Borussia Mönchengladbach,21,Tobias Sippel,Goalkeeper,"Mar 22, 1988 (37)",€300k,1988,300.0,61,26,28,56
Germany,Bundesliga,Borussia Mönchengladbach,3,Ko Itakura,Centre-Back,"Jan 27, 1997 (28)",€12.00m,1997,12000.0,80,37,42,66
Germany,Bundesliga,Borussia Mönchengladbach,30,Nico Elvedi,Centre-Back,"Sep 30, 1996 (28)",€8.00m,1996,8000.0,78,36,41,64
Germany,Bundesliga,Borussia Mönchengladbach,5,Marvin Friedrich,Centre-Back,"Dec 13, 1995 (29)",€3.50m,1995,3500.0,74,34,38,61
Germany,Bundesliga,Borussia Mönchengladbach,2,Fabio Chiarodia,Centre-Back,"Jun 5, 2005 (20)",€2.00m,2005,2000.0,69,32,36,57
Germany,Bundesliga,Borussia Mönchengladbach,26,Lukas Ullrich,Left-Back,"Mar 16, 2004 (21)",€8.00m,2004,8000.0,77,38,42,59
Germany,Bundesliga,Borussia Mönchengladbach,20,Luca Netz,Left-Back,"May 15, 2003 (22)",€6.00m,2003,6000.0,76,37,42,58
Germany,Bundesliga,Borussia Mönchengladbach,29,Joe Scally,Right-Back,"Dec 31, 2002 (22)",€10.00m,2002,10000.0,79,39,43,60
Germany,Bundesliga,Borussia Mönchengladbach,4,Kevin Diks,Right-Back,"Oct 6, 1996 (28)",€5.00m,1996,5000.0,75,37,41,57
Germany,Bundesliga,Borussia Mönchengladbach,8,Julian Weigl,Defensive Midfield,"Sep 8, 1995 (29)",€6.00m,1995,6000.0,76,40,40,49
Germany,Bundesliga,Borussia Mönchengladbach,39,Niklas Swider,Defensive Midfield,"Jan 5, 2007 (18)",€250k,2007,250.0,57,30,30,36
Germany,Bundesliga,Borussia Mönchengladbach,27,Rocco Reitz,Central Midfield,"May 29, 2002 (23)",€15.00m,2002,15000.0,81,47,52,47
Germany,Bundesliga,Borussia Mönchengladbach,17,Jens Castrop,Central Midfield,"Jul 29, 2003 (21)",€6.00m,2003,6000.0,76,44,49,44
Germany,Bundesliga,Borussia Mönchengladbach,16,Philipp Sander,Central Midfield,"Feb 21, 1998 (27)",€4.00m,1998,4000.0,74,43,47,43
Germany,Bundesliga,Borussia Mönchengladbach,10,Florian Neuhaus,Central Midfield,"Mar 16, 1997 (28)",€3.50m,1997,3500.0,73,42,47,42
Germany,Bundesliga,Borussia Mönchengladbach,22,Oscar Fraulo,Central Midfield,"Dec 6, 2003 (21)",€3.50m,2003,3500.0,73,42,47,42
Germany,Bundesliga,Borussia Mönchengladbach,7,Kevin Stöger,Attacking Midfield,"Aug 27, 1993 (31)",€3.50m,1993,3500.0,74,50,45,38
Germany,Bundesliga,Borussia Mönchengladbach,25,Robin Hack,Left Winger,"Aug 27, 1998 (26)",€12.00m,1998,12000.0,80,61,46,37
Germany,Bundesliga,Borussia Mönchengladbach,38,Yvandro Borges Sanches,Left Winger,"May 24, 2004 (21)",€500k,2004,500.0,62,47,36,29
Germany,Bundesliga,Borussia Mönchengladbach,9,Franck Honorat,Right Winger,"Aug 11, 1996 (28)",€12.00m,1996,12000.0,80,61,46,37
Germany,Bundesliga,Borussia Mönchengladbach,19,Nathan Ngoumou,Right Winger,"Mar 14, 2000 (25)",€4.00m,2000,4000.0,74,56,43,34
Germany,Bundesliga,Borussia Mönchengladbach,34,Charles Herrmann,Right Winger,"Jan 21, 2006 (19)",€300k,2006,300.0,58,44,34,27
Germany,Bundesliga,Borussia Mönchengladbach,11,Tim Kleindienst,Centre-Forward,"Aug 31, 1995 (29)",€17.00m,1995,17000.0,82,67,45,35
Germany,Bundesliga,Borussia Mönchengladbach,18,Shuto Machino,Centre-Forward,"Sep 30, 1999 (25)",€5.00m,1999,5000.0,75,62,41,32
Germany,Bundesliga,Borussia Mönchengladbach,15,Haris Tabakovic,Centre-Forward,"Jun 20, 1994 (31)",€2.50m,1994,2500.0,72,59,40,31
Germany,Bundesliga,Borussia Mönchengladbach,13,Shio Fukuda,Centre-Forward,"Apr 8, 2004 (21)",€500k,2004,500.0,62,51,34,27
Germany,Bundesliga,Borussia Mönchengladbach,28,Grant-Leon Ranos,Centre-Forward,"Jul 20, 2003 (22)",€500k,2003,500.0,62,51,34,27
