country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,Hamburger SV,26,Daniel Peretz,Goalkeeper,"Jul 10, 2000 (25)",€3.00m,2000,3000.0,72,31,33,66
Germany,Bundesliga,Hamburger SV,1,Daniel Heuer Fernandes,Goalkeeper,"Nov 13, 1992 (32)",€900k,1992,900.0,67,29,31,61
Germany,Bundesliga,Hamburger SV,40,Hannes Hermann,Goalkeeper,"Mar 23, 2005 (20)",€150k,2005,150.0,55,24,25,50
Germany,Bundesliga,Hamburger SV,41,Fernando Dickes,Goalkeeper,"Oct 13, 2007 (17)",-,2007,79.0,51,22,23,46
Germany,Bundesliga,Hamburger SV,25,Jordan Torunarigha,Centre-Back,"Aug 7, 1997 (27)",€4.00m,1997,4000.0,74,34,38,61
Germany,Bundesliga,Hamburger SV,22,Aboubaka Soumahoro,Centre-Back,"Feb 4, 2005 (20)",€1.80m,2005,1800.0,68,31,35,56
Germany,Bundesliga,Hamburger SV,4,Sebastian Schonlau,Centre-Back,"Aug 5, 1994 (30)",€800k,1994,800.0,66,30,34,54
Germany,Bundesliga,Hamburger SV,13,Gui Ramos,Centre-Back,"Aug 11, 1997 (27)",€700k,1997,700.0,65,30,34,53
Germany,Bundesliga,Hamburger SV,39,Joel Agyekum,Centre-Back,"Mar 8, 2005 (20)",€200k,2005,200.0,57,26,30,47
Germany,Bundesliga,Hamburger SV,28,Miro Muheim,Left-Back,"Mar 24, 1998 (27)",€4.00m,1998,4000.0,74,36,41,56
Germany,Bundesliga,Hamburger SV,3,Noah Katterbach,Left-Back,"Apr 13, 2001 (24)",€600k,2001,600.0,64,31,35,49
Germany,Bundesliga,Hamburger SV,2,William Mikelbrencis,Right-Back,"Feb 25, 2004 (21)",€2.00m,2004,2000.0,69,34,38,52
Germany,Bundesliga,Hamburger SV,30,Silvan Hefti,Right-Back,"Oct 25, 1997 (27)",€1.00m,1997,1000.0,67,33,37,51
Germany,Bundesliga,Hamburger SV,8,Daniel Elfadli,Defensive Midfield,"Apr 6, 1997 (28)",€3.50m,1997,3500.0,73,38,38,47
Germany,Bundesliga,Hamburger SV,23,Jonas Meffert,Defensive Midfield,"Sep 4, 1994 (30)",€1.00m,1994,1000.0,67,35,35,43
Germany,Bundesliga,Hamburger SV,24,Nicolás Capaldo,Central Midfield,"Sep 14, 1998 (26)",€5.00m,1998,5000.0,75,44,48,44
Germany,Bundesliga,Hamburger SV,21,Nicolai Remberg,Central Midfield,"Jun 19, 2000 (25)",€3.00m,2000,3000.0,72,42,46,42
Germany,Bundesliga,Hamburger SV,6,Lukasz Poreba,Central Midfield,"Mar 13, 2000 (25)",€1.00m,2000,1000.0,67,39,43,39
Germany,Bundesliga,Hamburger SV,10,Immanuel Pherai,Attacking Midfield,"Apr 25, 2001 (24)",€2.00m,2001,2000.0,70,47,43,36
Germany,Bundesliga,Hamburger SV,48,Bilal Yalcinkaya,Attacking Midfield,"Mar 30, 2006 (19)",€300k,2006,300.0,58,39,35,30
Germany,Bundesliga,Hamburger SV,7,Jean-Luc Dompé,Left Winger,"Aug 12, 1995 (29)",€3.50m,1995,3500.0,74,56,43,34
Germany,Bundesliga,Hamburger SV,38,Alexander Røssing-Lelesiit,Left Winger,"Jan 20, 2007 (18)",€2.00m,2007,2000.0,68,52,39,31
Germany,Bundesliga,Hamburger SV,45,Fabio Baldé,Left Winger,"Jul 20, 2005 (20)",€2.00m,2005,2000.0,69,52,40,32
Germany,Bundesliga,Hamburger SV,-,Levin Öztunali,Left Winger,"Mar 15, 1996 (29)",€300k,1996,300.0,60,46,35,28
Germany,Bundesliga,Hamburger SV,14,Rayan Philippe,Right Winger,"Oct 23, 2000 (24)",€3.50m,2000,3500.0,73,55,42,34
Germany,Bundesliga,Hamburger SV,29,Emir Sahiti,Right Winger,"Nov 29, 1998 (26)",€2.00m,1998,2000.0,70,53,41,32
Germany,Bundesliga,Hamburger SV,18,Bakery Jatta,Right Winger,"Jun 6, 1998 (27)",€1.00m,1998,1000.0,67,51,39,31
Germany,Bundesliga,Hamburger SV,11,Ransford Königsdörffer,Centre-Forward,"Sep 13, 2001 (23)",€6.00m,2001,6000.0,76,62,42,33
Germany,Bundesliga,Hamburger SV,15,Yussuf Poulsen,Centre-Forward,"Jun 15, 1994 (31)",€5.00m,1994,5000.0,76,62,42,33
Germany,Bundesliga,Hamburger SV,9,Robert Glatzel,Centre-Forward,"Jan 8, 1994 (31)",€3.00m,1994,3000.0,73,60,40,31
Germany,Bundesliga,Hamburger SV,49,Otto Stange,Centre-Forward,"Feb 9, 2007 (18)",€2.00m,2007,2000.0,68,56,37,29
