country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Germany,Bundesliga,SC Freiburg,1,Noah Atubolu,Goalkeeper,"May 25, 2002 (23)",€18.00m,2002,18000.0,82,35,38,75
Germany,Bundesliga,SC Freiburg,21,Florian Müller,Goalkeeper,"Nov 13, 1997 (27)",€1.20m,1997,1200.0,68,29,31,62
Germany,Bundesliga,SC Freiburg,24,Jannik Huth,Goalkeeper,"Apr 15, 1994 (31)",€400k,1994,400.0,62,27,29,56
Germany,Bundesliga,SC Freiburg,3,Philipp Lienhart,Centre-Back,"Jul 11, 1996 (29)",€12.00m,1996,12000.0,80,37,42,66
Germany,Bundesliga,SC Freiburg,37,Max Rosenfelder,Centre-Back,"Feb 10, 2003 (22)",€8.00m,2003,8000.0,77,35,40,63
Germany,Bundesliga,SC Freiburg,28,Matthias Ginter,Centre-Back,"Jan 19, 1994 (31)",€7.00m,1994,7000.0,77,35,40,63
Germany,Bundesliga,SC Freiburg,5,Anthony Jung,Centre-Back,"Nov 3, 1991 (33)",€1.00m,1991,1000.0,67,31,35,55
Germany,Bundesliga,SC Freiburg,43,Bruno Ogbus,Centre-Back,"Dec 17, 2005 (19)",€1.00m,2005,1000.0,65,30,34,53
Germany,Bundesliga,SC Freiburg,33,Jordy Makengo,Left-Back,"Aug 3, 2001 (23)",€6.00m,2001,6000.0,76,37,42,58
Germany,Bundesliga,SC Freiburg,30,Christian Günter,Left-Back,"Feb 28, 1993 (32)",€3.50m,1993,3500.0,74,36,41,56
Germany,Bundesliga,SC Freiburg,29,Philipp Treu,Right-Back,"Dec 3, 2000 (24)",€5.00m,2000,5000.0,75,37,41,57
Germany,Bundesliga,SC Freiburg,17,Lukas Kübler,Right-Back,"Aug 30, 1992 (32)",€1.50m,1992,1500.0,69,34,38,52
Germany,Bundesliga,SC Freiburg,6,Patrick Osterhage,Defensive Midfield,"Feb 1, 2000 (25)",€10.00m,2000,10000.0,79,41,41,51
Germany,Bundesliga,SC Freiburg,27,Nicolas Höfler,Defensive Midfield,"Mar 9, 1990 (35)",€500k,1990,500.0,64,33,33,41
Germany,Bundesliga,SC Freiburg,8,Maximilian Eggestein,Central Midfield,"Dec 8, 1996 (28)",€10.00m,1996,10000.0,79,46,51,46
Germany,Bundesliga,SC Freiburg,44,Johan Manzambi,Central Midfield,"Oct 14, 2005 (19)",€8.00m,2005,8000.0,76,44,49,44
Germany,Bundesliga,SC Freiburg,34,Merlin Röhl,Attacking Midfield,"Jul 5, 2002 (23)",€12.00m,2002,12000.0,80,54,49,42
Germany,Bundesliga,SC Freiburg,14,Yuito Suzuki,Attacking Midfield,"Oct 25, 2001 (23)",€10.00m,2001,10000.0,79,53,48,41
Germany,Bundesliga,SC Freiburg,23,Florent Muslija,Attacking Midfield,"Jul 6, 1998 (27)",€1.80m,1998,1800.0,70,47,43,36
Germany,Bundesliga,SC Freiburg,11,Daniel-Kofi Kyereh,Attacking Midfield,"Mar 8, 1996 (29)",€800k,1996,800.0,66,44,40,34
Germany,Bundesliga,SC Freiburg,19,Niklas Beste,Left Winger,"Jan 4, 1999 (26)",€7.00m,1999,7000.0,77,59,45,35
Germany,Bundesliga,SC Freiburg,32,Vincenzo Grifo,Left Winger,"Apr 7, 1993 (32)",€6.00m,1993,6000.0,77,59,45,35
Germany,Bundesliga,SC Freiburg,7,Noah Weißhaupt,Left Winger,"Sep 20, 2001 (23)",€5.00m,2001,5000.0,75,57,44,34
Germany,Bundesliga,SC Freiburg,-,Derry Scherhant,Left Winger,"Nov 10, 2002 (22)",€4.00m,2002,4000.0,74,56,43,34
Germany,Bundesliga,SC Freiburg,42,Ritsu Doan,Right Winger,"Jun 16, 1998 (27)",€25.00m,1998,25000.0,84,64,49,39
Germany,Bundesliga,SC Freiburg,18,Eren Dinkçi,Right Winger,"Dec 13, 2001 (23)",€8.00m,2001,8000.0,77,59,45,35
Germany,Bundesliga,SC Freiburg,22,Cyriaque Irié,Right Winger,"Jun 20, 2005 (20)",€8.00m,2005,8000.0,76,58,44,35
Germany,Bundesliga,SC Freiburg,26,Maximilian Philipp,Second Striker,"Mar 1, 1994 (31)",€800k,1994,800.0,66,52,38,28
Germany,Bundesliga,SC Freiburg,20,Junior Adamu,Centre-Forward,"Jun 6, 2001 (24)",€5.00m,2001,5000.0,75,62,41,32
Germany,Bundesliga,SC Freiburg,31,Igor Matanovic,Centre-Forward,"Mar 31, 2003 (22)",€5.00m,2003,5000.0,75,62,41,32
Germany,Bundesliga,SC Freiburg,9,Lucas Höler,Centre-Forward,"Jul 10, 1994 (31)",€3.00m,1994,3000.0,73,60,40,31
Germany,Bundesliga,SC Freiburg,38,Michael Gregoritsch,Centre-Forward,"Apr 18, 1994 (31)",€3.00m,1994,3000.0,73,60,40,31
