country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Greece,Super League 1,AE Kifisias,-,Moisés Ramírez,Goalkeeper,"Sep 9, 2000 (24)",€800k,2000,800.0,65,28,30,59
Greece,Super League 1,AE Kifisias,1,Vasilios Xenopoulos,Goalkeeper,"May 20, 1998 (27)",€300k,1998,300.0,60,26,28,55
Greece,Super League 1,AE Kifisias,43,Giannis Nikopolidis,Goalkeeper,"Dec 8, 2000 (24)",€250k,2000,250.0,59,25,27,54
Greece,Super League 1,AE Kifisias,26,Filippos Roberts,Goalkeeper,"Apr 26, 2005 (20)",-,2005,67.0,51,22,23,46
Greece,Super League 1,AE Kifisias,15,Theodoros Faitakis,Defender,"Jan 12, 2007 (18)",-,2007,37.0,47,22,24,39
Greece,Super League 1,AE Kifisias,33,Hugo Sousa,Centre-Back,"Jun 4, 1992 (33)",€200k,1992,200.0,59,27,31,48
Greece,Super League 1,AE Kifisias,28,Vasilios Spinos,Centre-Back,"Jan 20, 2001 (24)",€100k,2001,100.0,54,25,28,44
Greece,Super League 1,AE Kifisias,4,Alberto Botía,Centre-Back,"Jan 27, 1989 (36)",€75k,1989,75.0,54,25,28,44
Greece,Super League 1,AE Kifisias,68,Fotis Chachoulis,Centre-Back,"Jan 8, 2004 (21)",-,2004,63.0,51,23,27,42
Greece,Super League 1,AE Kifisias,-,Diamantis Chouchoumis,Left-Back,"Jul 17, 1994 (31)",€350k,1994,350.0,61,30,34,46
Greece,Super League 1,AE Kifisias,25,Luciano Maidana,Left-Back,"Jun 14, 2002 (23)",-,2002,54.0,51,25,28,39
Greece,Super League 1,AE Kifisias,77,Manolis Smpokos,Right-Back,"Feb 19, 2003 (22)",€100k,2003,100.0,54,26,30,41
Greece,Super League 1,AE Kifisias,2,David Simón,Right-Back,"Dec 16, 1988 (36)",€50k,1988,50.0,52,25,29,40
Greece,Super League 1,AE Kifisias,14,Timipere Johnson Eboh,Defensive Midfield,"Jun 19, 2002 (23)",€450k,2002,450.0,62,32,32,40
Greece,Super League 1,AE Kifisias,-,Rubén Pérez,Defensive Midfield,"Apr 26, 1989 (36)",€200k,1989,200.0,59,31,31,38
Greece,Super League 1,AE Kifisias,-,Georgios Konstantakopoulos,Defensive Midfield,"Dec 30, 2004 (20)",€175k,2004,175.0,56,29,29,36
Greece,Super League 1,AE Kifisias,17,Konstantinos Roukounakis,Defensive Midfield,"Jul 17, 2001 (24)",€150k,2001,150.0,56,29,29,36
Greece,Super League 1,AE Kifisias,6,Jorge Pombo,Attacking Midfield,"Feb 22, 1994 (31)",€275k,1994,275.0,60,40,37,31
Greece,Super League 1,AE Kifisias,10,Lucas Villafañez,Attacking Midfield,"Oct 4, 1991 (33)",€250k,1991,250.0,60,40,37,31
Greece,Super League 1,AE Kifisias,-,Michalis Patiras,Attacking Midfield,"May 13, 2004 (21)",-,2004,88.0,53,36,32,28
Greece,Super League 1,AE Kifisias,-,Christos Ligdas,Attacking Midfield,"Oct 12, 2006 (18)",-,2006,23.0,45,30,27,23
Greece,Super League 1,AE Kifisias,12,Lucas Poletto,Left Winger,"Mar 29, 1995 (30)",€250k,1995,250.0,60,46,35,28
Greece,Super League 1,AE Kifisias,-,Gerson Sousa,Right Winger,"May 10, 2002 (23)",€1.30m,2002,1300.0,68,52,39,31
Greece,Super League 1,AE Kifisias,20,Jorge Díaz,Right Winger,"Jun 28, 1989 (36)",€75k,1989,75.0,54,41,31,25
Greece,Super League 1,AE Kifisias,27,Georgios Manalis,Centre-Forward,"Dec 21, 1994 (30)",€400k,1994,400.0,62,51,34,27
Greece,Super League 1,AE Kifisias,-,Andrews Tetteh,Centre-Forward,"May 25, 2001 (24)",€350k,2001,350.0,61,50,34,26
Greece,Super League 1,AE Kifisias,11,Pavlos Pantelidis,Centre-Forward,"Sep 16, 2002 (22)",€250k,2002,250.0,59,48,32,25
Greece,Super League 1,AE Kifisias,-,Apostolos Christopoulos,Centre-Forward,"Jan 29, 2003 (22)",€200k,2003,200.0,57,47,31,25
