country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Greece,Super League 1,AE Larisa,1,Kleton Perntreou,Goalkeeper,"Jan 8, 1995 (30)",€300k,1995,300.0,61,26,28,56
Greece,Super League 1,AE Larisa,-,Nikolaos Melissas,Goalkeeper,"Feb 24, 1993 (32)",€225k,1993,225.0,59,25,27,54
Greece,Super League 1,AE Larisa,21,Theodoros Venetikidis,Goalkeeper,"Feb 20, 2001 (24)",€75k,2001,75.0,53,23,24,48
Greece,Super League 1,AE Larisa,-,Soufiane Chakla,Centre-Back,"Sep 2, 1993 (31)",€500k,1993,500.0,63,29,33,52
Greece,Super League 1,AE Larisa,-,Erick Ferigra,Centre-Back,"Feb 7, 1999 (26)",€500k,1999,500.0,63,29,33,52
Greece,Super League 1,AE Larisa,-,Epaminondas Pantelakis,Centre-Back,"Feb 10, 1995 (30)",€400k,1995,400.0,62,29,32,51
Greece,Super League 1,AE Larisa,4,Theocharis Iliadis,Centre-Back,"Sep 5, 1996 (28)",€400k,1996,400.0,62,29,32,51
Greece,Super League 1,AE Larisa,40,Petros Bagalianis,Centre-Back,"Feb 6, 2001 (24)",€300k,2001,300.0,60,28,31,49
Greece,Super League 1,AE Larisa,12,Ahmed Ouattara Kossonou,Left-Back,"Oct 16, 2003 (21)",€350k,2003,350.0,60,29,33,46
Greece,Super League 1,AE Larisa,-,Bojan Kovacevic,Left-Back,"Apr 28, 1996 (29)",€300k,1996,300.0,60,29,33,46
Greece,Super League 1,AE Larisa,3,Konstantinos Grozos,Left-Back,"Mar 4, 2007 (18)",-,2007,68.0,50,24,28,38
Greece,Super League 1,AE Larisa,-,Panagiotis Deligiannidis,Right-Back,"Aug 29, 1996 (28)",€450k,1996,450.0,63,31,35,48
Greece,Super League 1,AE Larisa,-,Konstantinos Apostolakis,Right-Back,"May 28, 1999 (26)",€125k,1999,125.0,56,27,31,43
Greece,Super League 1,AE Larisa,22,Athanasios Papageorgiou,Right-Back,"May 9, 1987 (38)",€25k,1987,25.0,48,24,26,36
Greece,Super League 1,AE Larisa,-,Paschalis Staikos,Defensive Midfield,"Feb 8, 1996 (29)",€400k,1996,400.0,62,32,32,40
Greece,Super League 1,AE Larisa,20,Panagiotis Panagiotidis,Defensive Midfield,"Aug 4, 1998 (26)",€300k,1998,300.0,60,31,31,38
Greece,Super League 1,AE Larisa,18,Kyriakos Giaxis,Defensive Midfield,"Apr 3, 2001 (24)",€200k,2001,200.0,58,30,30,37
Greece,Super League 1,AE Larisa,-,Facundo Pérez,Central Midfield,"Jul 31, 1999 (25)",€600k,1999,600.0,64,37,41,37
Greece,Super League 1,AE Larisa,10,Luca Andrada,Central Midfield,"Apr 22, 2001 (24)",€200k,2001,200.0,58,34,37,34
Greece,Super League 1,AE Larisa,-,Zisis Chatzistravos,Attacking Midfield,"Dec 16, 1999 (25)",€500k,1999,500.0,63,42,38,33
Greece,Super League 1,AE Larisa,17,Georgios Doumtsis,Attacking Midfield,"Mar 4, 2000 (25)",€100k,2000,100.0,54,36,33,28
Greece,Super League 1,AE Larisa,19,Giannis Pasas,Left Winger,"Oct 7, 1990 (34)",€200k,1990,200.0,59,45,34,27
Greece,Super League 1,AE Larisa,47,Dimitrios Diminikos,Left Winger,"Nov 28, 2007 (17)",-,2007,55.0,49,37,28,23
Greece,Super League 1,AE Larisa,11,Savvas Mourgos,Right Winger,"Mar 16, 1998 (27)",€500k,1998,500.0,63,48,37,29
Greece,Super League 1,AE Larisa,77,Anastasios Kritikos,Right Winger,"Jan 25, 1995 (30)",€200k,1995,200.0,58,44,34,27
Greece,Super League 1,AE Larisa,25,Antonis Trimmatis,Right Winger,"Apr 29, 1999 (26)",€175k,1999,175.0,57,43,33,26
Greece,Super League 1,AE Larisa,30,Thierry Moutinho,Right Winger,"Feb 26, 1991 (34)",€100k,1991,100.0,55,42,32,25
Greece,Super League 1,AE Larisa,-,Lubomir Tupta,Centre-Forward,"Mar 27, 1998 (27)",€700k,1998,700.0,65,53,36,28
Greece,Super League 1,AE Larisa,45,Panagiotis Moraitis,Centre-Forward,"Feb 1, 1997 (28)",€400k,1997,400.0,62,51,34,27
Greece,Super League 1,AE Larisa,-,Leandro Garate,Centre-Forward,"Sep 2, 1993 (31)",€250k,1993,250.0,60,49,33,26
