country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Greece,Super League 1,AEK Athens,1,Thomas Strakosha,Goalkeeper,"Mar 19, 1995 (30)",€2.50m,1995,2500.0,72,31,33,66
Greece,Super League 1,AEK Athens,91,Alberto Brignoli,Goalkeeper,"Aug 19, 1991 (33)",€900k,1991,900.0,67,29,31,61
Greece,Super League 1,AEK Athens,81,Angelos Angelopoulos,Goalkeeper,"Feb 19, 2003 (22)",€100k,2003,100.0,54,23,25,49
Greece,Super League 1,AEK Athens,41,Marios Balamotis,Goalkeeper,"May 6, 2005 (20)",-,2005,34.0,47,20,22,43
Greece,Super League 1,AEK Athens,2,Harold Moukoudi,Centre-Back,"Nov 27, 1997 (27)",€4.00m,1997,4000.0,74,34,38,61
Greece,Super League 1,AEK Athens,44,Filipe Relvas,Centre-Back,"Sep 20, 1999 (25)",€3.00m,1999,3000.0,72,33,37,59
Greece,Super League 1,AEK Athens,24,Gerasimos Mitoglou,Centre-Back,"Oct 20, 1999 (25)",€1.00m,1999,1000.0,67,31,35,55
Greece,Super League 1,AEK Athens,22,Alexander Callens,Centre-Back,"May 4, 1992 (33)",€800k,1992,800.0,66,30,34,54
Greece,Super League 1,AEK Athens,21,Domagoj Vida,Centre-Back,"Apr 29, 1989 (36)",€700k,1989,700.0,66,30,34,54
Greece,Super League 1,AEK Athens,55,Konstantinos Chrysopoulos,Centre-Back,"May 21, 2003 (22)",€600k,2003,600.0,63,29,33,52
Greece,Super League 1,AEK Athens,34,Christos Kosidis,Centre-Back,"Feb 28, 2005 (20)",€175k,2005,175.0,56,26,29,46
Greece,Super League 1,AEK Athens,29,James Penrice,Left-Back,"Dec 22, 1998 (26)",€1.80m,1998,1800.0,70,34,38,53
Greece,Super League 1,AEK Athens,3,Stavros Pilios,Left-Back,"Dec 10, 2000 (24)",€1.20m,2000,1200.0,67,33,37,51
Greece,Super League 1,AEK Athens,12,Lazaros Rota,Right-Back,"Aug 23, 1997 (27)",€3.00m,1997,3000.0,73,36,40,55
Greece,Super League 1,AEK Athens,28,Moses Odubajo,Right-Back,"Jul 28, 1993 (31)",€600k,1993,600.0,64,31,35,49
Greece,Super League 1,AEK Athens,-,Damian Szymanski,Defensive Midfield,"Jun 16, 1995 (30)",€3.50m,1995,3500.0,74,38,38,47
Greece,Super League 1,AEK Athens,18,Răzvan Marin,Defensive Midfield,"May 23, 1996 (29)",€3.50m,1996,3500.0,74,38,38,47
Greece,Super League 1,AEK Athens,6,Jens Jönsson,Defensive Midfield,"Jan 10, 1993 (32)",€1.80m,1993,1800.0,70,36,36,45
Greece,Super League 1,AEK Athens,13,Orbelín Pineda,Central Midfield,"Mar 24, 1996 (29)",€7.00m,1996,7000.0,77,45,49,45
Greece,Super League 1,AEK Athens,23,Robert Ljubicic,Central Midfield,"Jul 14, 1999 (26)",€4.00m,1999,4000.0,74,43,47,43
Greece,Super League 1,AEK Athens,37,Roberto Pereyra,Central Midfield,"Jan 7, 1991 (34)",€1.00m,1991,1000.0,67,39,43,39
Greece,Super League 1,AEK Athens,19,Niclas Eliasson,Right Midfield,"Dec 7, 1995 (29)",€4.00m,1995,4000.0,74,43,47,43
Greece,Super League 1,AEK Athens,8,Mijat Gacinovic,Attacking Midfield,"Feb 8, 1995 (30)",€2.00m,1995,2000.0,71,48,43,37
Greece,Super League 1,AEK Athens,20,Petros Mantalos,Attacking Midfield,"Aug 31, 1991 (33)",€1.20m,1991,1200.0,68,46,41,35
Greece,Super League 1,AEK Athens,17,Dimitrios Kaloskamis,Attacking Midfield,"Mar 1, 2005 (20)",€300k,2005,300.0,59,40,36,31
Greece,Super League 1,AEK Athens,7,Dereck Kutesa,Left Winger,"Dec 6, 1997 (27)",€5.00m,1997,5000.0,75,57,44,34
Greece,Super League 1,AEK Athens,11,Aboubakary Koita,Left Winger,"Sep 20, 1998 (26)",€4.50m,1998,4500.0,75,57,44,34
Greece,Super League 1,AEK Athens,9,Erik Lamela,Right Winger,"Mar 4, 1992 (33)",€1.20m,1992,1200.0,68,52,39,31
Greece,Super League 1,AEK Athens,-,Paolo Fernandes,Right Winger,"Aug 9, 1998 (26)",€800k,1998,800.0,65,49,38,30
Greece,Super League 1,AEK Athens,26,Anthony Martial,Centre-Forward,"Dec 5, 1995 (29)",€7.50m,1995,7500.0,78,64,43,34
Greece,Super League 1,AEK Athens,14,Frantzdy Pierrot,Centre-Forward,"Mar 29, 1995 (30)",€3.20m,1995,3200.0,73,60,40,31
Greece,Super League 1,AEK Athens,90,Zini,Centre-Forward,"Jul 3, 2002 (23)",€1.00m,2002,1000.0,66,54,36,28
