country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Greece,Super League 1,Aris Thessaloniki,20,Filip Sidklev,Goalkeeper,"Mar 12, 2005 (20)",€1.00m,2005,1000.0,65,28,30,59
Greece,Super League 1,Aris Thessaloniki,33,Georgios Athanasiadis,Goalkeeper,"Apr 7, 1993 (32)",€800k,1993,800.0,66,28,30,60
Greece,Super League 1,Aris Thessaloniki,21,Lovro Majkic,Goalkeeper,"Oct 8, 1999 (25)",€650k,1999,650.0,64,28,29,58
Greece,Super League 1,Aris Thessaloniki,23,Julián Cuesta,Goalkeeper,"Mar 28, 1991 (34)",€400k,1991,400.0,62,27,29,56
Greece,Super League 1,Aris Thessaloniki,91,Emiliano Karaj,Goalkeeper,"Sep 19, 2005 (19)",-,2005,85.0,52,22,24,47
Greece,Super League 1,Aris Thessaloniki,24,Pedro Álvaro,Centre-Back,"Mar 2, 2000 (25)",€2.00m,2000,2000.0,70,32,36,57
Greece,Super League 1,Aris Thessaloniki,-,Noah Sonko Sundberg,Centre-Back,"Jun 6, 1996 (29)",€1.10m,1996,1100.0,67,31,35,55
Greece,Super League 1,Aris Thessaloniki,14,Jakub Brabec,Centre-Back,"Aug 6, 1992 (32)",€1.00m,1992,1000.0,67,31,35,55
Greece,Super League 1,Aris Thessaloniki,3,Fabiano,Centre-Back,"Nov 18, 1991 (33)",€600k,1991,600.0,65,30,34,53
Greece,Super League 1,Aris Thessaloniki,92,Lindsay Rose,Centre-Back,"Feb 8, 1992 (33)",€150k,1992,150.0,57,26,30,47
Greece,Super League 1,Aris Thessaloniki,37,Hamza Mendyl,Left-Back,"Oct 21, 1997 (27)",€1.00m,1997,1000.0,67,33,37,51
Greece,Super League 1,Aris Thessaloniki,17,Martin Frydek,Left-Back,"Mar 24, 1992 (33)",€300k,1992,300.0,61,30,34,46
Greece,Super League 1,Aris Thessaloniki,27,Noah Fadiga,Right-Back,"Dec 3, 1999 (25)",€3.00m,1999,3000.0,72,35,40,55
Greece,Super League 1,Aris Thessaloniki,15,Álvaro Tejero,Right-Back,"Jul 20, 1996 (29)",€1.80m,1996,1800.0,70,34,38,53
Greece,Super League 1,Aris Thessaloniki,10,Uros Racic,Defensive Midfield,"Mar 17, 1998 (27)",€3.50m,1998,3500.0,73,38,38,47
Greece,Super League 1,Aris Thessaloniki,30,Jean Jules,Defensive Midfield,"Apr 23, 1998 (27)",€350k,1998,350.0,61,32,32,39
Greece,Super League 1,Aris Thessaloniki,8,Monchu,Central Midfield,"Sep 13, 1999 (25)",€6.00m,1999,6000.0,76,44,49,44
Greece,Super League 1,Aris Thessaloniki,-,Domagoj Pavicic,Central Midfield,"Mar 9, 1994 (31)",€200k,1994,200.0,58,34,37,34
Greece,Super League 1,Aris Thessaloniki,97,Fredrik Jensen,Attacking Midfield,"Sep 9, 1997 (27)",€3.50m,1997,3500.0,73,49,45,38
Greece,Super League 1,Aris Thessaloniki,18,Olimpiu Moruțan,Attacking Midfield,"Apr 25, 1999 (26)",€2.40m,1999,2400.0,71,48,43,37
Greece,Super League 1,Aris Thessaloniki,26,Gabriel Misehouy,Attacking Midfield,"Jul 18, 2005 (20)",€1.00m,2005,1000.0,65,44,40,34
Greece,Super League 1,Aris Thessaloniki,25,Mamadou Gning,Attacking Midfield,"Dec 22, 2006 (18)",€50k,2006,50.0,49,33,30,25
Greece,Super League 1,Aris Thessaloniki,41,Konstantinos Charoupas,Attacking Midfield,"Sep 21, 2007 (17)",-,2007,30.0,46,31,28,24
Greece,Super League 1,Aris Thessaloniki,-,Pione Sisto,Left Winger,"Feb 4, 1995 (30)",€1.00m,1995,1000.0,67,51,39,31
Greece,Super League 1,Aris Thessaloniki,9,Álvaro Zamora,Left Winger,"Mar 9, 2002 (23)",€700k,2002,700.0,64,49,37,29
Greece,Super League 1,Aris Thessaloniki,-,Anastasios Donis,Left Winger,"Aug 29, 1996 (28)",€650k,1996,650.0,65,49,38,30
Greece,Super League 1,Aris Thessaloniki,77,Michalis Panagidis,Left Winger,"Feb 11, 2004 (21)",€300k,2004,300.0,59,45,34,27
Greece,Super League 1,Aris Thessaloniki,7,Carles Pérez,Right Winger,"Feb 16, 1998 (27)",€2.00m,1998,2000.0,70,53,41,32
Greece,Super League 1,Aris Thessaloniki,99,Clayton Diandy,Right Winger,"Jul 29, 2006 (18)",€600k,2006,600.0,62,47,36,29
Greece,Super League 1,Aris Thessaloniki,28,Dudu,Right Winger,"Jul 17, 2002 (23)",€500k,2002,500.0,63,48,37,29
Greece,Super League 1,Aris Thessaloniki,70,Giannis Gianniotas,Right Winger,"Apr 29, 1993 (32)",€250k,1993,250.0,60,46,35,28
Greece,Super League 1,Aris Thessaloniki,80,Loren Morón,Centre-Forward,"Dec 30, 1993 (31)",€3.00m,1993,3000.0,73,60,40,31
Greece,Super League 1,Aris Thessaloniki,-,Tino Kadewere,Centre-Forward,"Jan 5, 1996 (29)",€2.50m,1996,2500.0,72,59,40,31
Greece,Super League 1,Aris Thessaloniki,19,Robin Quaison,Centre-Forward,"Oct 9, 1993 (31)",€1.00m,1993,1000.0,67,55,37,29
