country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Greece,Super League 1,Asteras Aktor,16,Panagiotis Tsintotas,Goalkeeper,"Jul 4, 1993 (32)",€300k,1993,300.0,61,26,28,56
Greece,Super League 1,Asteras Aktor,1,Nikolaos Papadopoulos,Goalkeeper,"Apr 11, 1990 (35)",€175k,1990,175.0,58,25,27,53
Greece,Super League 1,Asteras Aktor,71,Spyros Angelidis,Goalkeeper,"Jan 28, 2005 (20)",€150k,2005,150.0,55,24,25,50
Greece,Super League 1,Asteras Aktor,19,Pepe Castaño,Centre-Back,"Dec 10, 1998 (26)",€700k,1998,700.0,65,30,34,53
Greece,Super League 1,Asteras Aktor,3,Nikola Sipcic,Centre-Back,"May 17, 1995 (30)",€400k,1995,400.0,62,29,32,51
Greece,Super League 1,Asteras Aktor,-,Dino Grozdanic,Centre-Back,"Dec 27, 2002 (22)",€200k,2002,200.0,58,27,30,48
Greece,Super League 1,Asteras Aktor,13,Konstantinos Triantafyllopoulos,Centre-Back,"Apr 3, 1993 (32)",€200k,1993,200.0,59,27,31,48
Greece,Super League 1,Asteras Aktor,4,Issiaga Sylla,Left-Back,"Jan 1, 1994 (31)",€1.50m,1994,1500.0,69,34,38,52
Greece,Super League 1,Asteras Aktor,29,Konstantinos Pomonis,Left-Back,"Jun 5, 2002 (23)",€75k,2002,75.0,53,26,29,40
Greece,Super League 1,Asteras Aktor,17,Nikolai Alho,Right-Back,"Mar 12, 1993 (32)",€300k,1993,300.0,61,30,34,46
Greece,Super League 1,Asteras Aktor,10,Eder González,Defensive Midfield,"Jan 7, 1997 (28)",€800k,1997,800.0,66,34,34,42
Greece,Super League 1,Asteras Aktor,69,Oluwatobiloba Alagbe,Defensive Midfield,"Apr 24, 2000 (25)",€600k,2000,600.0,64,33,33,41
Greece,Super League 1,Asteras Aktor,5,Evgeniy Yablonskiy,Defensive Midfield,"May 10, 1995 (30)",€500k,1995,500.0,63,33,33,40
Greece,Super League 1,Asteras Aktor,8,Theofanis Tzandaris,Defensive Midfield,"Jun 13, 1993 (32)",€225k,1993,225.0,59,31,31,38
Greece,Super League 1,Asteras Aktor,22,Mumo Muñoz,Central Midfield,"Apr 13, 1995 (30)",€600k,1995,600.0,64,37,41,37
Greece,Super League 1,Asteras Aktor,6,Ajdin Redzic,Central Midfield,"Jan 25, 1997 (28)",€250k,1997,250.0,59,34,38,34
Greece,Super League 1,Asteras Aktor,7,Julián Bartolo,Left Winger,"Apr 15, 1996 (29)",€800k,1996,800.0,66,50,38,30
Greece,Super League 1,Asteras Aktor,11,Dimitris Emmanouilidis,Left Winger,"Oct 24, 2000 (24)",€500k,2000,500.0,63,48,37,29
Greece,Super League 1,Asteras Aktor,21,Panagiotis Tzimas,Left Winger,"Mar 12, 2001 (24)",€450k,2001,450.0,62,47,36,29
Greece,Super League 1,Asteras Aktor,28,Darnell Eric Bile,Left Winger,"Oct 28, 2005 (19)",€250k,2005,250.0,58,44,34,27
Greece,Super League 1,Asteras Aktor,20,Nikolaos Kaltsas,Right Winger,"May 3, 1990 (35)",€200k,1990,200.0,59,45,34,27
Greece,Super League 1,Asteras Aktor,9,Nicholas Gioacchini,Centre-Forward,"Jul 25, 2000 (25)",€1.30m,2000,1300.0,68,56,37,29
Greece,Super League 1,Asteras Aktor,26,Chidera Okoh,Centre-Forward,"Apr 5, 2003 (22)",€500k,2003,500.0,62,51,34,27
Greece,Super League 1,Asteras Aktor,41,Federico Macheda,Centre-Forward,"Aug 22, 1991 (33)",€200k,1991,200.0,59,48,32,25
