country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Greece,Super League 1,OFI Crete FC,31,Nikolaos Christogeorgos,Goalkeeper,"Jan 3, 2000 (25)",€800k,2000,800.0,65,28,30,59
Greece,Super League 1,OFI Crete FC,-,Panagiotis Katsikas,Goalkeeper,"Mar 10, 1999 (26)",€200k,1999,200.0,58,25,27,53
Greece,Super League 1,OFI Crete FC,-,Klidman Lilo,Goalkeeper,"Jan 31, 2003 (22)",€200k,2003,200.0,57,25,26,52
Greece,Super League 1,OFI Crete FC,13,Manouel Kalafatis,Goalkeeper,"Mar 23, 2005 (20)",-,2005,91.0,52,22,24,47
Greece,Super League 1,OFI Crete FC,-,Konstantinos Kostoulas,Centre-Back,"Feb 8, 2005 (20)",€500k,2005,500.0,62,29,32,51
Greece,Super League 1,OFI Crete FC,22,Giannis Christopoulos,Centre-Back,"Jun 22, 2000 (25)",€300k,2000,300.0,60,28,31,49
Greece,Super League 1,OFI Crete FC,24,Vasilios Lampropoulos,Centre-Back,"Mar 31, 1990 (35)",€200k,1990,200.0,59,27,31,48
Greece,Super League 1,OFI Crete FC,64,Konstantinos Chnaris,Centre-Back,"Aug 24, 2004 (20)",€50k,2004,50.0,50,23,26,41
Greece,Super League 1,OFI Crete FC,-,Pavlos Kenourgiakis,Centre-Back,"Mar 6, 2008 (17)",-,2008,7.0,38,17,20,31
Greece,Super League 1,OFI Crete FC,-,Lefteris Kontekas,Centre-Back,"Feb 26, 2009 (16)",-,2009,36.0,47,22,24,39
Greece,Super League 1,OFI Crete FC,52,Konstantinos Lagoudakis,Centre-Back,"Jan 15, 2008 (17)",-,2008,72.0,50,23,26,41
Greece,Super League 1,OFI Crete FC,12,Ilias Chatzitheodoridis,Left-Back,"Nov 5, 1997 (27)",€500k,1997,500.0,63,31,35,48
Greece,Super League 1,OFI Crete FC,34,Kevin Lewis,Left-Back,"Jan 8, 1999 (26)",€500k,1999,500.0,63,31,35,48
Greece,Super League 1,OFI Crete FC,-,Ilias Simantirakis,Left-Back,"Dec 22, 2005 (19)",€100k,2005,100.0,53,26,29,40
Greece,Super League 1,OFI Crete FC,17,Borja González,Right-Back,"Nov 17, 1995 (29)",€600k,1995,600.0,64,31,35,49
Greece,Super League 1,OFI Crete FC,4,Nikolaos Marinakis,Right-Back,"Sep 12, 1993 (31)",€175k,1993,175.0,58,28,32,44
Greece,Super League 1,OFI Crete FC,6,Zisis Karachalios,Defensive Midfield,"Jan 10, 1996 (29)",€600k,1996,600.0,64,33,33,41
Greece,Super League 1,OFI Crete FC,-,Spyros Zacharioudakis,Defensive Midfield,"Jun 25, 2005 (20)",-,2005,52.0,50,26,26,32
