country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Greece,Super League 1,PAOK Thessaloniki,1,Jiri Pavlenka,Goalkeeper,"Apr 14, 1992 (33)",€900k,1992,900.0,67,29,31,61
Greece,Super League 1,PAOK Thessaloniki,88,Luka Gugeshashvili,Goalkeeper,"Apr 29, 1999 (26)",€900k,1999,900.0,66,28,30,60
Greece,Super League 1,PAOK Thessaloniki,99,Antonis Tsiftsis,Goalkeeper,"Jul 21, 1999 (26)",€500k,1999,500.0,63,27,29,57
Greece,Super League 1,PAOK Thessaloniki,41,Dimitrios Monastirlis,Goalkeeper,"Mar 22, 2004 (21)",€200k,2004,200.0,57,25,26,52
Greece,Super League 1,PAOK Thessaloniki,54,Konstantinos Balomenos,Goalkeeper,"Mar 11, 2002 (23)",€175k,2002,175.0,57,25,26,52
Greece,Super League 1,PAOK Thessaloniki,16,Tomasz Kedziora,Centre-Back,"Jun 11, 1994 (31)",€2.50m,1994,2500.0,72,33,37,59
Greece,Super League 1,PAOK Thessaloniki,5,Giannis Michailidis,Centre-Back,"Feb 18, 2000 (25)",€1.80m,2000,1800.0,70,32,36,57
Greece,Super League 1,PAOK Thessaloniki,6,Dejan Lovren,Centre-Back,"Jul 5, 1989 (36)",€600k,1989,600.0,65,30,34,53
Greece,Super League 1,PAOK Thessaloniki,90,Dimitrios Kottas,Centre-Back,"Jan 14, 2005 (20)",€250k,2005,250.0,58,27,30,48
Greece,Super League 1,PAOK Thessaloniki,32,Greg Taylor,Left-Back,"Nov 5, 1997 (27)",€6.00m,1997,6000.0,76,37,42,58
Greece,Super League 1,PAOK Thessaloniki,21,Abdul Rahman Baba,Left-Back,"Jul 2, 1994 (31)",€2.00m,1994,2000.0,71,35,39,54
Greece,Super League 1,PAOK Thessaloniki,3,Jonjoe Kenny,Right-Back,"Mar 15, 1997 (28)",€2.50m,1997,2500.0,72,35,40,55
Greece,Super League 1,PAOK Thessaloniki,23,Joan Sastre,Right-Back,"Apr 30, 1997 (28)",€1.30m,1997,1300.0,68,33,37,52
Greece,Super League 1,PAOK Thessaloniki,8,Soualiho Meïté,Defensive Midfield,"Mar 17, 1994 (31)",€2.00m,1994,2000.0,71,37,37,45
Greece,Super League 1,PAOK Thessaloniki,27,Magomed Ozdoev,Defensive Midfield,"Nov 5, 1992 (32)",€1.50m,1992,1500.0,69,36,36,44
Greece,Super League 1,PAOK Thessaloniki,25,Konstantinos Thymianis,Defensive Midfield,"Feb 28, 2001 (24)",€500k,2001,500.0,63,33,33,40
Greece,Super League 1,PAOK Thessaloniki,2,Mady Camara,Central Midfield,"Feb 28, 1997 (28)",€7.50m,1997,7500.0,78,45,50,45
Greece,Super League 1,PAOK Thessaloniki,7,Giannis Konstantelias,Attacking Midfield,"Mar 5, 2003 (22)",€17.00m,2003,17000.0,81,54,49,42
Greece,Super League 1,PAOK Thessaloniki,10,Dimitrios Pelkas,Attacking Midfield,"Oct 26, 1993 (31)",€1.80m,1993,1800.0,70,47,43,36
Greece,Super League 1,PAOK Thessaloniki,-,Thomas Murg,Attacking Midfield,"Nov 14, 1994 (30)",€1.50m,1994,1500.0,69,46,42,36
Greece,Super League 1,PAOK Thessaloniki,-,André Ricardo,Attacking Midfield,"Aug 23, 2000 (24)",€600k,2000,600.0,64,43,39,33
Greece,Super League 1,PAOK Thessaloniki,18,Luka Ivanušec,Left Winger,"Nov 26, 1998 (26)",€3.50m,1998,3500.0,73,55,42,34
Greece,Super League 1,PAOK Thessaloniki,47,Shola Shoretire,Left Winger,"Feb 2, 2004 (21)",€2.50m,2004,2500.0,71,54,41,33
Greece,Super League 1,PAOK Thessaloniki,11,Taison,Left Winger,"Jan 13, 1988 (37)",€300k,1988,300.0,61,46,35,28
Greece,Super League 1,PAOK Thessaloniki,14,Andrija Zivkovic,Right Winger,"Jul 11, 1996 (29)",€8.00m,1996,8000.0,78,59,45,36
Greece,Super League 1,PAOK Thessaloniki,77,Kiril Despodov,Right Winger,"Nov 11, 1996 (28)",€8.00m,1996,8000.0,78,59,45,36
Greece,Super League 1,PAOK Thessaloniki,9,Fedor Chalov,Centre-Forward,"Apr 10, 1998 (27)",€7.50m,1998,7500.0,77,63,42,33
Greece,Super League 1,PAOK Thessaloniki,52,Dimitrios Chatsidis,Centre-Forward,"Jun 14, 2006 (19)",€75k,2006,75.0,51,42,28,22
Greece,Super League 1,PAOK Thessaloniki,56,Anestis Mythou,Centre-Forward,"May 22, 2007 (18)",€75k,2007,75.0,51,42,28,22
