country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Italy,Serie A,AC Milan,16,Mike Maignan,Goalkeeper,"Jul 3, 1995 (30)",€25.00m,1995,25000.0,84,36,39,76
Italy,Serie A,AC Milan,1,Pietro Terracciano,Goalkeeper,"Mar 8, 1990 (35)",€1.00m,1990,1000.0,67,29,31,61
Italy,Serie A,AC Milan,96,Lorenzo Torriani,Goalkeeper,"Jan 31, 2005 (20)",€500k,2005,500.0,62,27,29,56
Italy,Serie A,AC Milan,23,Fikayo Tomori,Centre-Back,"Dec 19, 1997 (27)",€20.00m,1997,20000.0,83,38,43,68
Italy,Serie A,AC Milan,28,Malick Thiaw,Centre-Back,"Aug 8, 2001 (23)",€18.00m,2001,18000.0,82,38,43,67
Italy,Serie A,AC Milan,31,Strahinja Pavlović,Centre-Back,"May 24, 2001 (24)",€18.00m,2001,18000.0,82,38,43,67
Italy,Serie A,AC Milan,46,Matteo Gabbia,Centre-Back,"Oct 21, 1999 (25)",€14.00m,1999,14000.0,81,37,42,66
Italy,Serie A,AC Milan,2,Pervis Estupiñán,Left-Back,"Jan 21, 1998 (27)",€30.00m,1998,30000.0,85,42,47,65
Italy,Serie A,AC Milan,33,Davide Bartesaghi,Left-Back,"Dec 29, 2005 (19)",€1.80m,2005,1800.0,68,33,37,52
Italy,Serie A,AC Milan,20,Álex Jiménez,Right-Back,"May 8, 2005 (20)",€15.00m,2005,15000.0,80,39,44,61
Italy,Serie A,AC Milan,22,Emerson Royal,Right-Back,"Jan 14, 1999 (26)",€9.00m,1999,9000.0,78,38,43,59
Italy,Serie A,AC Milan,42,Filippo Terracciano,Right-Back,"Feb 8, 2003 (22)",€3.20m,2003,3200.0,72,35,40,55
Italy,Serie A,AC Milan,4,Samuele Ricci,Defensive Midfield,"Aug 21, 2001 (23)",€30.00m,2001,30000.0,85,44,44,54
Italy,Serie A,AC Milan,29,Youssouf Fofana,Defensive Midfield,"Jan 10, 1999 (26)",€30.00m,1999,30000.0,85,44,44,54
Italy,Serie A,AC Milan,-,Ismaël Bennacer,Defensive Midfield,"Dec 1, 1997 (27)",€15.00m,1997,15000.0,81,42,42,52
Italy,Serie A,AC Milan,-,Yacine Adli,Defensive Midfield,"Jul 29, 2000 (24)",€11.00m,2000,11000.0,79,41,41,51
Italy,Serie A,AC Milan,80,Yunus Musah,Central Midfield,"Nov 29, 2002 (22)",€20.00m,2002,20000.0,82,48,52,48
Italy,Serie A,AC Milan,8,Ruben Loftus-Cheek,Central Midfield,"Jan 23, 1996 (29)",€10.00m,1996,10000.0,79,46,51,46
Italy,Serie A,AC Milan,38,Warren Bondo,Central Midfield,"Sep 15, 2003 (21)",€10.00m,2003,10000.0,78,45,50,45
Italy,Serie A,AC Milan,14,Luka Modrić,Central Midfield,"Sep 9, 1985 (39)",€4.00m,1985,4000.0,75,44,48,44
Italy,Serie A,AC Milan,10,Rafael Leão,Left Winger,"Jun 10, 1999 (26)",€70.00m,1999,70000.0,89,68,52,41
Italy,Serie A,AC Milan,17,Noah Okafor,Left Winger,"May 24, 2000 (25)",€13.00m,2000,13000.0,80,61,46,37
Italy,Serie A,AC Milan,11,Christian Pulisic,Right Winger,"Sep 18, 1998 (26)",€50.00m,1998,50000.0,88,67,51,40
Italy,Serie A,AC Milan,56,Alexis Saelemaekers,Right Winger,"Jun 27, 1999 (26)",€17.00m,1999,17000.0,82,62,48,38
Italy,Serie A,AC Milan,21,Samuel Chukwueze,Right Winger,"May 22, 1999 (26)",€10.00m,1999,10000.0,79,60,46,36
Italy,Serie A,AC Milan,7,Santiago Gimenez,Centre-Forward,"Apr 18, 2001 (24)",€30.00m,2001,30000.0,85,70,47,37
Italy,Serie A,AC Milan,-,Lorenzo Colombo,Centre-Forward,"Mar 8, 2002 (23)",€5.00m,2002,5000.0,75,62,41,32
