country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Italy,Serie A,Cagliari Calcio,25,Elia Caprile,Goalkeeper,"Aug 25, 2001 (23)",€9.00m,2001,9000.0,78,34,36,71
Italy,Serie A,Cagliari Calcio,31,Boris Radunović,Goalkeeper,"May 26, 1996 (29)",€800k,1996,800.0,66,28,30,60
Italy,Serie A,Cagliari Calcio,1,Giuseppe Ciocci,Goalkeeper,"Jan 24, 2002 (23)",€100k,2002,100.0,54,23,25,49
Italy,Serie A,Cagliari Calcio,6,Sebastiano Luperto,Centre-Back,"Sep 6, 1996 (28)",€4.00m,1996,4000.0,74,34,38,61
Italy,Serie A,Cagliari Calcio,26,Yerry Mina,Centre-Back,"Sep 23, 1994 (30)",€3.00m,1994,3000.0,73,34,38,60
Italy,Serie A,Cagliari Calcio,33,Adam Obert,Centre-Back,"Aug 23, 2002 (22)",€3.00m,2002,3000.0,72,33,37,59
Italy,Serie A,Cagliari Calcio,23,Mateusz Wieteska,Centre-Back,"Feb 11, 1997 (28)",€2.00m,1997,2000.0,70,32,36,57
Italy,Serie A,Cagliari Calcio,15,Davide Veroli,Centre-Back,"Jan 29, 2003 (22)",€900k,2003,900.0,65,30,34,53
Italy,Serie A,Cagliari Calcio,2,Nicola Pintus,Centre-Back,"May 25, 2005 (20)",€400k,2005,400.0,60,28,31,49
Italy,Serie A,Cagliari Calcio,-,Riyad Idrissi,Left-Back,"Jun 13, 2005 (20)",€1.00m,2005,1000.0,65,32,36,49
Italy,Serie A,Cagliari Calcio,28,Gabriele Zappa,Right-Back,"Dec 22, 1999 (25)",€4.00m,1999,4000.0,74,36,41,56
Italy,Serie A,Cagliari Calcio,4,Alessandro Di Pardo,Right-Back,"Jul 18, 1999 (26)",€800k,1999,800.0,65,32,36,49
Italy,Serie A,Cagliari Calcio,16,Matteo Prati,Defensive Midfield,"Dec 28, 2003 (21)",€6.00m,2003,6000.0,76,40,40,49
Italy,Serie A,Cagliari Calcio,-,Michael Folorunsho,Central Midfield,"Feb 7, 1998 (27)",€6.00m,1998,6000.0,76,44,49,44
Italy,Serie A,Cagliari Calcio,8,Michel Adopo,Central Midfield,"Jul 19, 2000 (25)",€4.00m,2000,4000.0,74,43,47,43
Italy,Serie A,Cagliari Calcio,14,Alessandro Deiola,Central Midfield,"Aug 1, 1995 (29)",€1.60m,1995,1600.0,69,40,44,40
Italy,Serie A,Cagliari Calcio,24,Marko Rog,Central Midfield,"Jul 19, 1995 (30)",€750k,1995,750.0,65,38,42,38
Italy,Serie A,Cagliari Calcio,19,Nadir Zortea,Right Midfield,"Jun 19, 1999 (26)",€5.00m,1999,5000.0,75,44,48,44
Italy,Serie A,Cagliari Calcio,70,Gianluca Gaetano,Attacking Midfield,"May 5, 2000 (25)",€4.00m,2000,4000.0,74,50,45,38
Italy,Serie A,Cagliari Calcio,29,Nicolò Cavuoti,Attacking Midfield,"Apr 4, 2003 (22)",€275k,2003,275.0,59,40,36,31
Italy,Serie A,Cagliari Calcio,97,Mattia Felici,Left Winger,"Apr 17, 2001 (24)",€2.80m,2001,2800.0,72,55,42,33
Italy,Serie A,Cagliari Calcio,9,Alessandro Vinciguerra,Left Winger,"Aug 18, 2005 (19)",€400k,2005,400.0,60,46,35,28
Italy,Serie A,Cagliari Calcio,91,Roberto Piccoli,Centre-Forward,"Jan 27, 2001 (24)",€12.00m,2001,12000.0,80,66,44,34
Italy,Serie A,Cagliari Calcio,77,Zito Luvumbo,Centre-Forward,"Mar 9, 2002 (23)",€5.00m,2002,5000.0,75,62,41,32
Italy,Serie A,Cagliari Calcio,32,Gennaro Borrelli,Centre-Forward,"Mar 10, 2000 (25)",€2.20m,2000,2200.0,71,58,39,31
Italy,Serie A,Cagliari Calcio,-,Nik Prelec,Centre-Forward,"Jun 10, 2001 (24)",€1.50m,2001,1500.0,69,57,38,30
Italy,Serie A,Cagliari Calcio,30,Leonardo Pavoletti,Centre-Forward,"Nov 26, 1988 (36)",€700k,1988,700.0,66,54,36,28
