country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Italy,Serie A,Juventus FC,29,Michele Di Gregorio,Goalkeeper,"Jul 27, 1997 (27)",€18.00m,1997,18000.0,82,35,38,75
Italy,Serie A,Juventus FC,1,Mattia Perin,Goalkeeper,"Nov 10, 1992 (32)",€2.50m,1992,2500.0,72,31,33,66
Italy,Serie A,Juventus FC,23,Carlo Pinsoglio,Goalkeeper,"Mar 16, 1990 (35)",€200k,1990,200.0,59,25,27,54
Italy,Serie A,Juventus FC,3,Bremer,Centre-Back,"Mar 18, 1997 (28)",€50.00m,1997,50000.0,88,40,46,72
Italy,Serie A,Juventus FC,15,Pierre Kalulu,Centre-Back,"Jun 5, 2000 (25)",€28.00m,2000,28000.0,84,39,44,69
Italy,Serie A,Juventus FC,4,Federico Gatti,Centre-Back,"Jun 24, 1998 (27)",€24.00m,1998,24000.0,84,39,44,69
Italy,Serie A,Juventus FC,6,Lloyd Kelly,Centre-Back,"Oct 6, 1998 (26)",€16.00m,1998,16000.0,81,37,42,66
Italy,Serie A,Juventus FC,-,Tiago Djaló,Centre-Back,"Apr 9, 2000 (25)",€8.00m,2000,8000.0,78,36,41,64
Italy,Serie A,Juventus FC,-,Facundo González,Centre-Back,"Jun 6, 2003 (22)",€3.00m,2003,3000.0,72,33,37,59
Italy,Serie A,Juventus FC,24,Daniele Rugani,Centre-Back,"Jul 29, 1994 (30)",€3.00m,1994,3000.0,73,34,38,60
Italy,Serie A,Juventus FC,27,Andrea Cambiaso,Left-Back,"Feb 20, 2000 (25)",€35.00m,2000,35000.0,85,42,47,65
Italy,Serie A,Juventus FC,32,Juan Cabal,Left-Back,"Jan 8, 2001 (24)",€9.00m,2001,9000.0,78,38,43,59
Italy,Serie A,Juventus FC,40,Jonas Rouhi,Left-Back,"Jan 7, 2004 (21)",€2.00m,2004,2000.0,69,34,38,52
Italy,Serie A,Juventus FC,37,Nicolò Savona,Right-Back,"Mar 19, 2003 (22)",€12.00m,2003,12000.0,79,39,43,60
Italy,Serie A,Juventus FC,25,João Mário,Right-Back,"Jan 3, 2000 (25)",€10.00m,2000,10000.0,79,39,43,60
Italy,Serie A,Juventus FC,5,Manuel Locatelli,Defensive Midfield,"Jan 8, 1998 (27)",€30.00m,1998,30000.0,85,44,44,54
Italy,Serie A,Juventus FC,-,Arthur Melo,Defensive Midfield,"Aug 12, 1996 (28)",€5.00m,1996,5000.0,75,39,39,48
Italy,Serie A,Juventus FC,19,Khéphren Thuram,Central Midfield,"Mar 26, 2001 (24)",€40.00m,2001,40000.0,86,50,55,50
Italy,Serie A,Juventus FC,26,Douglas Luiz,Central Midfield,"May 9, 1998 (27)",€30.00m,1998,30000.0,85,49,54,49
Italy,Serie A,Juventus FC,16,Weston McKennie,Central Midfield,"Aug 28, 1998 (26)",€22.00m,1998,22000.0,83,48,53,48
Italy,Serie A,Juventus FC,-,Fabio Miretti,Central Midfield,"Aug 3, 2003 (21)",€14.00m,2003,14000.0,80,46,51,46
Italy,Serie A,Juventus FC,18,Filip Kostić,Left Midfield,"Nov 1, 1992 (32)",€5.00m,1992,5000.0,76,44,49,44
Italy,Serie A,Juventus FC,8,Teun Koopmeiners,Attacking Midfield,"Feb 28, 1998 (27)",€35.00m,1998,35000.0,86,58,52,45
Italy,Serie A,Juventus FC,17,Vasilije Adžić,Attacking Midfield,"May 12, 2006 (19)",€4.00m,2006,4000.0,72,48,44,37
Italy,Serie A,Juventus FC,10,Kenan Yıldız,Left Winger,"May 4, 2005 (20)",€50.00m,2005,50000.0,86,65,50,40
Italy,Serie A,Juventus FC,7,Francisco Conceição,Right Winger,"Dec 14, 2002 (22)",€28.00m,2002,28000.0,84,64,49,39
Italy,Serie A,Juventus FC,11,Nico González,Right Winger,"Apr 6, 1998 (27)",€24.00m,1998,24000.0,84,64,49,39
Italy,Serie A,Juventus FC,22,Timothy Weah,Right Winger,"Feb 22, 2000 (25)",€17.00m,2000,17000.0,82,62,48,38
Italy,Serie A,Juventus FC,-,Jonathan David,Centre-Forward,"Jan 14, 2000 (25)",€45.00m,2000,45000.0,87,71,48,37
Italy,Serie A,Juventus FC,9,Dušan Vlahović,Centre-Forward,"Jan 28, 2000 (25)",€35.00m,2000,35000.0,85,70,47,37
Italy,Serie A,Juventus FC,14,Arkadiusz Milik,Centre-Forward,"Feb 28, 1994 (31)",€2.00m,1994,2000.0,71,58,39,31
