country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Italy,Serie A,US Sassuolo,-,Stefano Turati,Goalkeeper,"Sep 5, 2001 (23)",€6.50m,2001,6500.0,76,33,35,69
Italy,Serie A,US Sassuolo,-,Gioele Zacchi,Goalkeeper,"Jul 10, 2003 (22)",€600k,2003,600.0,63,27,29,57
Italy,Serie A,US Sassuolo,12,Giacomo Satalino,Goalkeeper,"May 20, 1999 (26)",€400k,1999,400.0,62,27,29,56
Italy,Serie A,US Sassuolo,1,Alessandro Russo,Goalkeeper,"Mar 31, 2001 (24)",€300k,2001,300.0,60,26,28,55
Italy,Serie A,US Sassuolo,80,Tarik Muharemović,Centre-Back,"Feb 28, 2003 (22)",€7.00m,2003,7000.0,76,35,40,62
Italy,Serie A,US Sassuolo,-,Sebastian Walukiewicz,Centre-Back,"Apr 5, 2000 (25)",€4.50m,2000,4500.0,75,34,39,62
Italy,Serie A,US Sassuolo,26,Cas Odenthal,Centre-Back,"Sep 26, 2000 (24)",€2.80m,2000,2800.0,72,33,37,59
Italy,Serie A,US Sassuolo,-,Ruan,Centre-Back,"Jun 7, 1999 (26)",€2.00m,1999,2000.0,70,32,36,57
Italy,Serie A,US Sassuolo,19,Filippo Romagna,Centre-Back,"May 26, 1997 (28)",€800k,1997,800.0,66,30,34,54
Italy,Serie A,US Sassuolo,-,Kevin Miranda,Centre-Back,"Mar 10, 2003 (22)",€350k,2003,350.0,60,28,31,49
Italy,Serie A,US Sassuolo,3,Josh Doig,Left-Back,"May 18, 2002 (23)",€5.00m,2002,5000.0,75,37,41,57
Italy,Serie A,US Sassuolo,15,Edoardo Pieragnolo,Left-Back,"Jan 3, 2003 (22)",€2.40m,2003,2400.0,71,35,39,54
Italy,Serie A,US Sassuolo,2,Filippo Missori,Right-Back,"Mar 24, 2004 (21)",€1.30m,2004,1300.0,67,33,37,51
Italy,Serie A,US Sassuolo,17,Yeferson Paz,Right-Back,"Jun 13, 2002 (23)",€450k,2002,450.0,62,30,34,47
Italy,Serie A,US Sassuolo,11,Daniel Boloca,Defensive Midfield,"Dec 22, 1998 (26)",€7.50m,1998,7500.0,77,40,40,49
Italy,Serie A,US Sassuolo,35,Luca Lipani,Defensive Midfield,"May 18, 2005 (20)",€3.50m,2005,3500.0,72,37,37,46
Italy,Serie A,US Sassuolo,8,Andrea Ghion,Defensive Midfield,"Feb 23, 2000 (25)",€900k,2000,900.0,66,34,34,42
Italy,Serie A,US Sassuolo,-,Fabrizio Caligara,Central Midfield,"Apr 12, 2000 (25)",€900k,2000,900.0,66,38,42,38
Italy,Serie A,US Sassuolo,40,Edoardo Iannoni,Central Midfield,"Apr 11, 2001 (24)",€750k,2001,750.0,65,38,42,38
Italy,Serie A,US Sassuolo,42,Kristian Thorstvedt,Attacking Midfield,"Mar 13, 1999 (26)",€9.00m,1999,9000.0,78,52,48,41
Italy,Serie A,US Sassuolo,7,Cristian Volpato,Attacking Midfield,"Nov 15, 2003 (21)",€6.50m,2003,6500.0,76,51,46,40
Italy,Serie A,US Sassuolo,45,Armand Laurienté,Left Winger,"Dec 4, 1998 (26)",€15.00m,1998,15000.0,81,62,47,37
Italy,Serie A,US Sassuolo,-,Riccardo Ciervo,Left Winger,"Apr 1, 2002 (23)",€700k,2002,700.0,64,49,37,29
Italy,Serie A,US Sassuolo,10,Domenico Berardi,Right Winger,"Aug 1, 1994 (30)",€8.00m,1994,8000.0,78,59,45,36
Italy,Serie A,US Sassuolo,77,Nicholas Pierini,Right Winger,"Aug 6, 1998 (26)",€3.00m,1998,3000.0,73,55,42,34
Italy,Serie A,US Sassuolo,-,Andrea Pinamonti,Centre-Forward,"May 19, 1999 (26)",€15.00m,1999,15000.0,81,66,45,35
Italy,Serie A,US Sassuolo,-,Agustín Álvarez,Centre-Forward,"May 19, 2001 (24)",€4.00m,2001,4000.0,74,61,41,32
Italy,Serie A,US Sassuolo,9,Samuele Mulattieri,Centre-Forward,"Oct 7, 2000 (24)",€4.00m,2000,4000.0,74,61,41,32
Italy,Serie A,US Sassuolo,90,Laurs Skjellerup,Centre-Forward,"Aug 12, 2002 (22)",€2.80m,2002,2800.0,72,59,40,31
Italy,Serie A,US Sassuolo,24,Luca Moro,Centre-Forward,"Jan 25, 2001 (24)",€2.00m,2001,2000.0,70,57,38,30
