country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Italy,Serie A,Atalanta BC,29,Marco Carnesecchi,Goalkeeper,"Jul 1, 2000 (25)",€25.00m,2000,25000.0,84,36,39,76
Italy,Serie A,Atalanta BC,57,Marco Sportiello,Goalkeeper,"May 10, 1992 (33)",€1.00m,1992,1000.0,67,29,31,61
Italy,Serie A,Atalanta BC,31,Francesco Rossi,Goalkeeper,"Apr 27, 1991 (34)",€100k,1991,100.0,55,24,25,50
Italy,Serie A,Atalanta BC,42,Giorgio Scalvini,Centre-Back,"Dec 11, 2003 (21)",€35.00m,2003,35000.0,85,39,44,70
Italy,Serie A,Atalanta BC,4,Isak Hien,Centre-Back,"Jan 13, 1999 (26)",€30.00m,1999,30000.0,85,39,44,70
Italy,Serie A,Atalanta BC,3,Odilon Kossounou,Centre-Back,"Jan 4, 2001 (24)",€25.00m,2001,25000.0,84,39,44,69
Italy,Serie A,Atalanta BC,23,Sead Kolasinac,Centre-Back,"Jun 20, 1993 (32)",€7.00m,1993,7000.0,77,35,40,63
Italy,Serie A,Atalanta BC,19,Berat Djimsiti,Centre-Back,"Feb 19, 1993 (32)",€6.00m,1993,6000.0,77,35,40,63
Italy,Serie A,Atalanta BC,22,Ben Godfrey,Centre-Back,"Jan 15, 1998 (27)",€6.00m,1998,6000.0,76,35,40,62
Italy,Serie A,Atalanta BC,-,Giovanni Bonfanti,Centre-Back,"Jan 17, 2003 (22)",€3.00m,2003,3000.0,72,33,37,59
Italy,Serie A,Atalanta BC,-,Mitchel Bakker,Left-Back,"Jun 20, 2000 (25)",€7.00m,2000,7000.0,77,38,42,59
Italy,Serie A,Atalanta BC,69,Honest Ahanor,Left-Back,"Feb 23, 2008 (17)",€5.00m,2008,5000.0,73,36,40,55
Italy,Serie A,Atalanta BC,6,Ibrahim Sulemana,Defensive Midfield,"May 22, 2003 (22)",€7.00m,2003,7000.0,76,40,40,49
Italy,Serie A,Atalanta BC,15,Marten de Roon,Defensive Midfield,"Mar 29, 1991 (34)",€5.00m,1991,5000.0,76,40,40,49
Italy,Serie A,Atalanta BC,13,Éderson,Central Midfield,"Jul 7, 1999 (26)",€50.00m,1999,50000.0,87,50,56,50
Italy,Serie A,Atalanta BC,8,Mario Pasalić,Central Midfield,"Feb 9, 1995 (30)",€10.00m,1995,10000.0,79,46,51,46
Italy,Serie A,Atalanta BC,44,Marco Brescianini,Central Midfield,"Jan 20, 2000 (25)",€8.00m,2000,8000.0,78,45,50,45
Italy,Serie A,Atalanta BC,16,Raoul Bellanova,Right Midfield,"May 17, 2000 (25)",€24.00m,2000,24000.0,83,48,53,48
Italy,Serie A,Atalanta BC,77,Davide Zappacosta,Right Midfield,"Jun 11, 1992 (33)",€5.00m,1992,5000.0,76,44,49,44
Italy,Serie A,Atalanta BC,27,Marco Palestra,Right Midfield,"Mar 3, 2005 (20)",€3.50m,2005,3500.0,72,42,46,42
Italy,Serie A,Atalanta BC,17,Charles De Ketelaere,Attacking Midfield,"Mar 10, 2001 (24)",€35.00m,2001,35000.0,85,57,52,44
Italy,Serie A,Atalanta BC,24,Lazar Samardžić,Attacking Midfield,"Feb 24, 2002 (23)",€17.00m,2002,17000.0,81,54,49,42
Italy,Serie A,Atalanta BC,70,Daniel Maldini,Attacking Midfield,"Oct 11, 2001 (23)",€10.00m,2001,10000.0,79,53,48,41
Italy,Serie A,Atalanta BC,7,Kamaldeen Sulemana,Left Winger,"Feb 15, 2002 (23)",€13.00m,2002,13000.0,80,61,46,37
Italy,Serie A,Atalanta BC,11,Ademola Lookman,Second Striker,"Oct 20, 1997 (27)",€60.00m,1997,60000.0,89,70,52,38
Italy,Serie A,Atalanta BC,9,Gianluca Scamacca,Centre-Forward,"Jan 1, 1999 (26)",€24.00m,1999,24000.0,84,69,46,36
Italy,Serie A,Atalanta BC,99,El Bilal Touré,Centre-Forward,"Oct 3, 2001 (23)",€15.00m,2001,15000.0,81,66,45,35
