country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Italy,Serie A,Bologna FC 1909,1,Lukasz Skorupski,Goalkeeper,"May 5, 1991 (34)",€2.50m,1991,2500.0,72,31,33,66
Italy,Serie A,Bologna FC 1909,34,Federico Ravaglia,Goalkeeper,"Nov 11, 1999 (25)",€1.50m,1999,1500.0,69,30,32,63
Italy,Serie A,Bologna FC 1909,26,Jhon Lucumí,Centre-Back,"Jun 26, 1998 (27)",€22.00m,1998,22000.0,83,38,43,68
Italy,Serie A,Bologna FC 1909,41,Martin Vitík,Centre-Back,"Jan 21, 2003 (22)",€11.00m,2003,11000.0,79,36,41,65
Italy,Serie A,Bologna FC 1909,3,Stefan Posch,Centre-Back,"May 14, 1997 (28)",€8.00m,1997,8000.0,78,36,41,64
Italy,Serie A,Bologna FC 1909,15,Nicolò Casale,Centre-Back,"Feb 14, 1998 (27)",€6.00m,1998,6000.0,76,35,40,62
Italy,Serie A,Bologna FC 1909,5,Martin Erlić,Centre-Back,"Jan 24, 1998 (27)",€4.00m,1998,4000.0,74,34,38,61
Italy,Serie A,Bologna FC 1909,-,Mihajlo Ilić,Centre-Back,"Jun 4, 2003 (22)",€3.50m,2003,3500.0,73,34,38,60
Italy,Serie A,Bologna FC 1909,-,Kevin Bonifazi,Centre-Back,"May 19, 1996 (29)",€750k,1996,750.0,65,30,34,53
Italy,Serie A,Bologna FC 1909,33,Juan Miranda,Left-Back,"Jan 19, 2000 (25)",€15.00m,2000,15000.0,81,40,45,62
Italy,Serie A,Bologna FC 1909,-,Tommaso Corazza,Left-Back,"Jun 29, 2004 (21)",€1.50m,2004,1500.0,68,33,37,52
Italy,Serie A,Bologna FC 1909,22,Charalampos Lykogiannis,Left-Back,"Oct 22, 1993 (31)",€1.50m,1993,1500.0,69,34,38,52
Italy,Serie A,Bologna FC 1909,2,Emil Holm,Right-Back,"May 13, 2000 (25)",€8.00m,2000,8000.0,78,38,43,59
Italy,Serie A,Bologna FC 1909,29,Lorenzo De Silvestri,Right-Back,"May 23, 1988 (37)",€800k,1988,800.0,66,32,36,50
Italy,Serie A,Bologna FC 1909,6,Nikola Moro,Defensive Midfield,"Mar 12, 1998 (27)",€4.50m,1998,4500.0,75,39,39,48
Italy,Serie A,Bologna FC 1909,17,Oussama El Azzouzi,Defensive Midfield,"May 29, 2001 (24)",€1.40m,2001,1400.0,68,35,35,44
Italy,Serie A,Bologna FC 1909,19,Lewis Ferguson,Central Midfield,"Aug 24, 1999 (25)",€28.00m,1999,28000.0,84,49,54,49
Italy,Serie A,Bologna FC 1909,-,Tommaso Pobega,Central Midfield,"Jul 15, 1999 (26)",€9.00m,1999,9000.0,78,45,50,45
Italy,Serie A,Bologna FC 1909,20,Michel Aebischer,Central Midfield,"Jan 6, 1997 (28)",€7.50m,1997,7500.0,78,45,50,45
Italy,Serie A,Bologna FC 1909,-,Kacper Urbanski,Central Midfield,"Sep 7, 2004 (20)",€6.00m,2004,6000.0,75,44,48,44
Italy,Serie A,Bologna FC 1909,8,Remo Freuler,Central Midfield,"Apr 15, 1992 (33)",€5.00m,1992,5000.0,76,44,49,44
Italy,Serie A,Bologna FC 1909,21,Jens Odgaard,Attacking Midfield,"Mar 31, 1999 (26)",€12.00m,1999,12000.0,80,54,49,42
Italy,Serie A,Bologna FC 1909,80,Giovanni Fabbian,Attacking Midfield,"Jan 14, 2003 (22)",€12.00m,2003,12000.0,79,53,48,41
Italy,Serie A,Bologna FC 1909,30,Benja Domínguez,Left Winger,"Sep 19, 2003 (21)",€15.00m,2003,15000.0,80,61,46,37
Italy,Serie A,Bologna FC 1909,28,Nicolò Cambiaghi,Left Winger,"Dec 28, 2000 (24)",€8.50m,2000,8500.0,78,59,45,36
Italy,Serie A,Bologna FC 1909,-,Jesper Karlsson,Left Winger,"Jul 25, 1998 (27)",€4.00m,1998,4000.0,74,56,43,34
Italy,Serie A,Bologna FC 1909,11,Dan Ndoye,Right Winger,"Oct 25, 2000 (24)",€35.00m,2000,35000.0,85,65,49,39
Italy,Serie A,Bologna FC 1909,7,Riccardo Orsolini,Right Winger,"Jan 24, 1997 (28)",€25.00m,1997,25000.0,84,64,49,39
Italy,Serie A,Bologna FC 1909,10,Federico Bernardeschi,Right Winger,"Feb 16, 1994 (31)",€3.50m,1994,3500.0,74,56,43,34
Italy,Serie A,Bologna FC 1909,-,Orji Okwonkwo,Right Winger,"Jan 19, 1998 (27)",€250k,1998,250.0,59,45,34,27
Italy,Serie A,Bologna FC 1909,9,Santiago Castro,Centre-Forward,"Sep 18, 2004 (20)",€35.00m,2004,35000.0,85,70,47,37
Italy,Serie A,Bologna FC 1909,24,Thijs Dallinga,Centre-Forward,"Aug 3, 2000 (24)",€12.00m,2000,12000.0,80,66,44,34
Italy,Serie A,Bologna FC 1909,18,Ciro Immobile,Centre-Forward,"Feb 20, 1990 (35)",€2.20m,1990,2200.0,72,59,40,31
