country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Italy,Serie A,Como 1907,30,Jean Butez,Goalkeeper,"Jun 8, 1995 (30)",€3.50m,1995,3500.0,74,32,34,67
Italy,Serie A,Como 1907,22,Mauro Vigorito,Goalkeeper,"May 22, 1990 (35)",€150k,1990,150.0,57,25,26,52
Italy,Serie A,Como 1907,13,Alberto Dossena,Centre-Back,"Oct 13, 1998 (26)",€8.00m,1998,8000.0,78,36,41,64
Italy,Serie A,Como 1907,2,Marc Oliver Kempf,Centre-Back,"Jan 28, 1995 (30)",€3.00m,1995,3000.0,73,34,38,60
Italy,Serie A,Como 1907,5,Edoardo Goldaniga,Centre-Back,"Nov 2, 1993 (31)",€3.00m,1993,3000.0,73,34,38,60
Italy,Serie A,Como 1907,15,Fellipe Jack,Centre-Back,"Jan 12, 2006 (19)",€1.40m,2006,1400.0,67,31,35,55
Italy,Serie A,Como 1907,41,Álex Valle,Left-Back,"Apr 25, 2004 (21)",€6.00m,2004,6000.0,75,37,41,57
Italy,Serie A,Como 1907,18,Alberto Moreno,Left-Back,"Jul 5, 1992 (33)",€1.50m,1992,1500.0,69,34,38,52
Italy,Serie A,Como 1907,-,Marco Sala,Left-Back,"Jun 4, 1999 (26)",€900k,1999,900.0,66,32,36,50
Italy,Serie A,Como 1907,77,Ignace Van der Brempt,Right-Back,"Apr 1, 2002 (23)",€4.00m,2002,4000.0,74,36,41,56
Italy,Serie A,Como 1907,31,Mërgim Vojvoda,Right-Back,"Feb 1, 1995 (30)",€3.00m,1995,3000.0,73,36,40,55
Italy,Serie A,Como 1907,28,Ivan Smolcic,Right-Back,"Aug 17, 2000 (24)",€1.80m,2000,1800.0,70,34,38,53
Italy,Serie A,Como 1907,-,Peter Kovacik,Right-Back,"Dec 1, 2001 (23)",€1.00m,2001,1000.0,66,32,36,50
Italy,Serie A,Como 1907,-,Tommaso Cassandro,Right-Back,"Jan 9, 2000 (25)",€700k,2000,700.0,65,32,36,49
Italy,Serie A,Como 1907,23,Máximo Perrone,Defensive Midfield,"Jan 7, 2003 (22)",€12.00m,2003,12000.0,79,41,41,51
Italy,Serie A,Como 1907,26,Yannik Engelhardt,Defensive Midfield,"Feb 7, 2001 (24)",€6.00m,2001,6000.0,76,40,40,49
Italy,Serie A,Como 1907,-,Oliver Abildgaard,Defensive Midfield,"Jun 10, 1996 (29)",€1.00m,1996,1000.0,67,35,35,43
Italy,Serie A,Como 1907,80,Maxence Caqueret,Central Midfield,"Feb 15, 2000 (25)",€16.00m,2000,16000.0,81,47,52,47
Italy,Serie A,Como 1907,33,Lucas Da Cunha,Central Midfield,"Jun 9, 2001 (24)",€10.00m,2001,10000.0,79,46,51,46
Italy,Serie A,Como 1907,-,Luca Mazzitelli,Central Midfield,"Nov 15, 1995 (29)",€1.50m,1995,1500.0,69,40,44,40
Italy,Serie A,Como 1907,20,Sergi Roberto,Central Midfield,"Feb 7, 1992 (33)",€1.50m,1992,1500.0,69,40,44,40
