country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Italy,Serie A,Genoa CFC,1,Nicola Leali,Goalkeeper,"Feb 17, 1993 (32)",€1.50m,1993,1500.0,69,30,32,63
Italy,Serie A,Genoa CFC,31,Benjamin Siegrist,Goalkeeper,"Jan 31, 1992 (33)",€650k,1992,650.0,65,28,30,59
Italy,Serie A,Genoa CFC,39,Daniele Sommariva,Goalkeeper,"Jul 18, 1997 (28)",€100k,1997,100.0,54,23,25,49
Italy,Serie A,Genoa CFC,4,Koni De Winter,Centre-Back,"Jun 12, 2002 (23)",€22.00m,2002,22000.0,83,38,43,68
Italy,Serie A,Genoa CFC,22,Johan Vásquez,Centre-Back,"Oct 22, 1998 (26)",€14.00m,1998,14000.0,81,37,42,66
Italy,Serie A,Genoa CFC,-,Alessandro Vogliacco,Centre-Back,"Sep 14, 1998 (26)",€2.80m,1998,2800.0,72,33,37,59
Italy,Serie A,Genoa CFC,-,Alessandro Marcandalli,Centre-Back,"Oct 25, 2002 (22)",€2.00m,2002,2000.0,70,32,36,57
Italy,Serie A,Genoa CFC,34,Sebastian Otoa,Centre-Back,"May 13, 2004 (21)",€2.00m,2004,2000.0,69,32,36,57
Italy,Serie A,Genoa CFC,3,Aarón Martín,Left-Back,"Apr 22, 1997 (28)",€6.50m,1997,6500.0,77,38,42,59
Italy,Serie A,Genoa CFC,15,Brooke Norton-Cuffy,Right-Back,"Jan 12, 2004 (21)",€3.50m,2004,3500.0,72,35,40,55
Italy,Serie A,Genoa CFC,20,Stefano Sabelli,Right-Back,"Jan 13, 1993 (32)",€1.40m,1993,1400.0,69,34,38,52
Italy,Serie A,Genoa CFC,-,Emil Bohinen,Defensive Midfield,"Mar 12, 1999 (26)",€1.50m,1999,1500.0,69,36,36,44
Italy,Serie A,Genoa CFC,32,Morten Frendrup,Central Midfield,"Apr 7, 2001 (24)",€20.00m,2001,20000.0,82,48,52,48
Italy,Serie A,Genoa CFC,73,Patrizio Masini,Central Midfield,"Jan 27, 2001 (24)",€6.00m,2001,6000.0,76,44,49,44
Italy,Serie A,Genoa CFC,77,Mikael Egill Ellertsson,Central Midfield,"Mar 11, 2002 (23)",€3.40m,2002,3400.0,73,42,47,42
Italy,Serie A,Genoa CFC,2,Morten Thorsby,Central Midfield,"May 5, 1996 (29)",€3.00m,1996,3000.0,73,42,47,42
Italy,Serie A,Genoa CFC,-,Valentín Carboni,Attacking Midfield,"Mar 5, 2005 (20)",€12.00m,2005,12000.0,79,53,48,41
Italy,Serie A,Genoa CFC,11,Albert Grønbæk,Attacking Midfield,"May 23, 2001 (24)",€11.00m,2001,11000.0,79,53,48,41
Italy,Serie A,Genoa CFC,8,Nicolae Stanciu,Attacking Midfield,"May 7, 1993 (32)",€3.50m,1993,3500.0,74,50,45,38
Italy,Serie A,Genoa CFC,17,Ruslan Malinovskyi,Attacking Midfield,"May 4, 1993 (32)",€2.50m,1993,2500.0,72,48,44,37
Italy,Serie A,Genoa CFC,-,Mattia Aramu,Attacking Midfield,"May 14, 1995 (30)",€900k,1995,900.0,66,44,40,34
Italy,Serie A,Genoa CFC,-,Christos Papadopoulos,Attacking Midfield,"Nov 1, 2004 (20)",€700k,2004,700.0,64,43,39,33
Italy,Serie A,Genoa CFC,30,Hugo Cuenca,Attacking Midfield,"Jan 8, 2005 (20)",€300k,2005,300.0,59,40,36,31
Italy,Serie A,Genoa CFC,10,Junior Messias,Right Winger,"May 13, 1991 (34)",€1.50m,1991,1500.0,69,52,40,32
Italy,Serie A,Genoa CFC,76,Lorenzo Venturino,Right Winger,"Jun 22, 2006 (19)",€1.50m,2006,1500.0,67,51,39,31
Italy,Serie A,Genoa CFC,-,Seydou Fini,Right Winger,"Jun 2, 2006 (19)",€1.30m,2006,1300.0,66,50,38,30
Italy,Serie A,Genoa CFC,9,Vitinha,Centre-Forward,"Mar 15, 2000 (25)",€8.00m,2000,8000.0,78,64,43,34
Italy,Serie A,Genoa CFC,21,Jeff Ekhator,Centre-Forward,"Nov 11, 2006 (18)",€5.00m,2006,5000.0,73,60,40,31
Italy,Serie A,Genoa CFC,18,Caleb Ekuban,Centre-Forward,"Mar 23, 1994 (31)",€1.30m,1994,1300.0,68,56,37,29
Italy,Serie A,Genoa CFC,-,David Ankeye,Centre-Forward,"May 22, 2002 (23)",€850k,2002,850.0,65,53,36,28
Italy,Serie A,Genoa CFC,-,Alessandro Debenedetti,Centre-Forward,"Sep 23, 2003 (21)",€650k,2003,650.0,64,52,35,28
