country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Italy,Serie A,SSC Napoli,1,Alex Meret,Goalkeeper,"Mar 22, 1997 (28)",€18.00m,1997,18000.0,82,35,38,75
Italy,Serie A,SSC Napoli,32,Vanja Milinković-Savić,Goalkeeper,"Feb 20, 1997 (28)",€16.00m,1997,16000.0,82,35,38,75
Italy,Serie A,SSC Napoli,14,Nikita Contini,Goalkeeper,"May 21, 1996 (29)",€400k,1996,400.0,62,27,29,56
Italy,Serie A,SSC Napoli,25,Mathias Ferrante,Goalkeeper,"Sep 1, 2006 (18)",€200k,2006,200.0,56,24,26,51
Italy,Serie A,SSC Napoli,12,Claudio Turi,Goalkeeper,"May 6, 2005 (20)",€150k,2005,150.0,55,24,25,50
Italy,Serie A,SSC Napoli,4,Alessandro Buongiorno,Centre-Back,"Jun 6, 1999 (26)",€50.00m,1999,50000.0,87,40,45,71
Italy,Serie A,SSC Napoli,31,Sam Beukema,Centre-Back,"Nov 17, 1998 (26)",€28.00m,1998,28000.0,84,39,44,69
Italy,Serie A,SSC Napoli,13,Amir Rrahmani,Centre-Back,"Feb 24, 1994 (31)",€12.00m,1994,12000.0,80,37,42,66
Italy,Serie A,SSC Napoli,35,Luca Marianucci,Centre-Back,"Jul 23, 2004 (21)",€7.50m,2004,7500.0,76,35,40,62
Italy,Serie A,SSC Napoli,5,Juan Jesus,Centre-Back,"Jun 10, 1991 (34)",€1.50m,1991,1500.0,69,32,36,57
Italy,Serie A,SSC Napoli,32,Nosa Edward Obaretin,Centre-Back,"Jan 26, 2003 (22)",€650k,2003,650.0,64,29,33,52
Italy,Serie A,SSC Napoli,17,Mathías Olivera,Left-Back,"Oct 31, 1997 (27)",€20.00m,1997,20000.0,83,41,46,63
Italy,Serie A,SSC Napoli,37,Leonardo Spinazzola,Left-Back,"Mar 25, 1993 (32)",€3.50m,1993,3500.0,74,36,41,56
Italy,Serie A,SSC Napoli,22,Giovanni Di Lorenzo,Right-Back,"Aug 4, 1993 (31)",€12.00m,1993,12000.0,80,39,44,61
Italy,Serie A,SSC Napoli,59,Alessandro Zanoli,Right-Back,"Oct 3, 2000 (24)",€6.00m,2000,6000.0,76,37,42,58
Italy,Serie A,SSC Napoli,30,Pasquale Mazzocchi,Right-Back,"Jul 27, 1995 (30)",€2.50m,1995,2500.0,72,35,40,55
Italy,Serie A,SSC Napoli,68,Stanislav Lobotka,Defensive Midfield,"Nov 25, 1994 (30)",€25.00m,1994,25000.0,84,44,44,54
Italy,Serie A,SSC Napoli,6,Billy Gilmour,Defensive Midfield,"Jun 11, 2001 (24)",€20.00m,2001,20000.0,82,43,43,52
Italy,Serie A,SSC Napoli,-,Jens Cajuste,Defensive Midfield,"Aug 10, 1999 (25)",€12.00m,1999,12000.0,80,42,42,51
Italy,Serie A,SSC Napoli,8,Scott McTominay,Central Midfield,"Dec 8, 1996 (28)",€50.00m,1996,50000.0,88,51,56,51
Italy,Serie A,SSC Napoli,99,Frank Anguissa,Central Midfield,"Nov 16, 1995 (29)",€27.00m,1995,27000.0,85,49,54,49
Italy,Serie A,SSC Napoli,29,Luis Hasa,Central Midfield,"Jan 6, 2004 (21)",€1.00m,2004,1000.0,66,38,42,38
Italy,Serie A,SSC Napoli,33,Coli Saco,Central Midfield,"May 15, 2002 (23)",€250k,2002,250.0,59,34,38,34
Italy,Serie A,SSC Napoli,11,Kevin De Bruyne,Attacking Midfield,"Jun 28, 1991 (34)",€20.00m,1991,20000.0,83,56,51,43
Italy,Serie A,SSC Napoli,34,Antonio Vergara,Attacking Midfield,"Jan 16, 2003 (22)",€2.20m,2003,2200.0,70,47,43,36
Italy,Serie A,SSC Napoli,70,Noa Lang,Left Winger,"Jun 17, 1999 (26)",€25.00m,1999,25000.0,84,64,49,39
Italy,Serie A,SSC Napoli,23,Alessio Zerbin,Left Winger,"Mar 3, 1999 (26)",€4.00m,1999,4000.0,74,56,43,34
Italy,Serie A,SSC Napoli,7,David Neres,Right Winger,"Mar 3, 1997 (28)",€30.00m,1997,30000.0,85,65,49,39
Italy,Serie A,SSC Napoli,21,Matteo Politano,Right Winger,"Aug 3, 1993 (31)",€10.00m,1993,10000.0,79,60,46,36
Italy,Serie A,SSC Napoli,81,Giacomo Raspadori,Second Striker,"Feb 18, 2000 (25)",€25.00m,2000,25000.0,84,66,49,36
Italy,Serie A,SSC Napoli,36,Lorenzo Sgarbi,Second Striker,"Mar 24, 2001 (24)",€400k,2001,400.0,62,49,36,27
Italy,Serie A,SSC Napoli,-,Victor Osimhen,Centre-Forward,"Dec 29, 1998 (26)",€70.00m,1998,70000.0,89,73,49,38
Italy,Serie A,SSC Napoli,9,Romelu Lukaku,Centre-Forward,"May 13, 1993 (32)",€22.00m,1993,22000.0,84,69,46,36
Italy,Serie A,SSC Napoli,27,Lorenzo Lucca,Centre-Forward,"Sep 10, 2000 (24)",€22.00m,2000,22000.0,83,68,46,36
Italy,Serie A,SSC Napoli,18,Giovanni Simeone,Centre-Forward,"Jul 5, 1995 (30)",€5.00m,1995,5000.0,76,62,42,33
Italy,Serie A,SSC Napoli,-,Walid Cheddira,Centre-Forward,"Jan 22, 1998 (27)",€2.50m,1998,2500.0,72,59,40,31
Italy,Serie A,SSC Napoli,-,Giuseppe Ambrosino,Centre-Forward,"Sep 10, 2003 (21)",€2.50m,2003,2500.0,71,58,39,31
