country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Netherlands,Eredivisie,AZ Alkmaar,1,Rome Jayden Owusu-Oduro,Goalkeeper,"Jul 2, 2004 (21)",€6.00m,2004,6000.0,75,32,34,68
Netherlands,Eredivisie,AZ Alkmaar,41,Jeroen Zoet,Goalkeeper,"Jan 6, 1991 (34)",€300k,1991,300.0,61,26,28,56
Netherlands,Eredivisie,AZ Alkmaar,12,Hobie Verhulst,Goalkeeper,"Apr 2, 1993 (32)",€200k,1993,200.0,59,25,27,54
Netherlands,Eredivisie,AZ Alkmaar,31,Daniël Virginio Deen,Goalkeeper,"Feb 13, 2003 (22)",€125k,2003,125.0,55,24,25,50
Netherlands,Eredivisie,AZ Alkmaar,3,Wouter Goes,Centre-Back,"Jun 10, 2004 (21)",€10.00m,2004,10000.0,78,36,41,64
Netherlands,Eredivisie,AZ Alkmaar,5,Alexandre Penetra,Centre-Back,"Sep 9, 2001 (23)",€9.00m,2001,9000.0,78,36,41,64
Netherlands,Eredivisie,AZ Alkmaar,4,Maxim Dekker,Centre-Back,"Apr 21, 2004 (21)",€1.00m,2004,1000.0,66,30,34,54
Netherlands,Eredivisie,AZ Alkmaar,18,David Møller Wolfe,Left-Back,"Apr 23, 2002 (23)",€9.00m,2002,9000.0,78,38,43,59
Netherlands,Eredivisie,AZ Alkmaar,15,Mateo Chávez,Left-Back,"May 12, 2004 (21)",€3.00m,2004,3000.0,71,35,39,54
Netherlands,Eredivisie,AZ Alkmaar,34,Mees de Wit,Left-Back,"Apr 17, 1998 (27)",€1.50m,1998,1500.0,69,34,38,52
Netherlands,Eredivisie,AZ Alkmaar,16,Seiya Maikuma,Right-Back,"Oct 16, 1997 (27)",€4.00m,1997,4000.0,74,36,41,56
Netherlands,Eredivisie,AZ Alkmaar,30,Denso Kasius,Right-Back,"Oct 6, 2002 (22)",€4.00m,2002,4000.0,74,36,41,56
Netherlands,Eredivisie,AZ Alkmaar,22,Elijah Dijkstra,Right-Back,"Aug 5, 2006 (18)",€700k,2006,700.0,63,31,35,48
Netherlands,Eredivisie,AZ Alkmaar,6,Peer Koopmeiners,Defensive Midfield,"May 4, 2000 (25)",€10.00m,2000,10000.0,79,41,41,51
Netherlands,Eredivisie,AZ Alkmaar,14,Kristijan Belic,Defensive Midfield,"Mar 25, 2001 (24)",€3.50m,2001,3500.0,73,38,38,47
Netherlands,Eredivisie,AZ Alkmaar,8,Jordy Clasie,Defensive Midfield,"Jun 27, 1991 (34)",€1.50m,1991,1500.0,69,36,36,44
Netherlands,Eredivisie,AZ Alkmaar,26,Kees Smit,Central Midfield,"Jan 20, 2006 (19)",€5.00m,2006,5000.0,73,42,47,42
Netherlands,Eredivisie,AZ Alkmaar,28,Zico Buurmeester,Central Midfield,"Jun 7, 2002 (23)",€3.50m,2002,3500.0,73,42,47,42
Netherlands,Eredivisie,AZ Alkmaar,21,Dave Kwakman,Central Midfield,"Aug 7, 2004 (20)",€2.00m,2004,2000.0,69,40,44,40
Netherlands,Eredivisie,AZ Alkmaar,10,Sven Mijnans,Attacking Midfield,"Mar 9, 2000 (25)",€9.00m,2000,9000.0,78,52,48,41
Netherlands,Eredivisie,AZ Alkmaar,-,Myron van Brederode,Left Winger,"Jul 6, 2003 (22)",€3.00m,2003,3000.0,72,55,42,33
Netherlands,Eredivisie,AZ Alkmaar,17,Isak Jensen,Left Winger,"Dec 23, 2003 (21)",€2.70m,2003,2700.0,71,54,41,33
Netherlands,Eredivisie,AZ Alkmaar,27,Ro-Zangelo Daal,Left Winger,"Feb 10, 2004 (21)",€750k,2004,750.0,64,49,37,29
Netherlands,Eredivisie,AZ Alkmaar,7,Ernest Poku,Right Winger,"Jan 28, 2004 (21)",€4.00m,2004,4000.0,73,55,42,34
Netherlands,Eredivisie,AZ Alkmaar,11,Ibrahim Sadiq,Right Winger,"May 7, 2000 (25)",€3.50m,2000,3500.0,73,55,42,34
Netherlands,Eredivisie,AZ Alkmaar,23,Mayckel Lahdo,Right Winger,"Dec 30, 2002 (22)",€3.00m,2002,3000.0,72,55,42,33
Netherlands,Eredivisie,AZ Alkmaar,9,Troy Parrott,Centre-Forward,"Feb 4, 2002 (23)",€14.00m,2002,14000.0,80,66,44,34
Netherlands,Eredivisie,AZ Alkmaar,35,Mexx Meerdink,Centre-Forward,"Jul 24, 2003 (22)",€8.00m,2003,8000.0,77,63,42,33
Netherlands,Eredivisie,AZ Alkmaar,25,Lequincio Zeefuik,Centre-Forward,"Nov 26, 2004 (20)",€850k,2004,850.0,65,53,36,28
