country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Netherlands,Eredivisie,Feyenoord Rotterdam,22,Timon Wellenreuther,Goalkeeper,"Dec 3, 1995 (29)",€6.00m,1995,6000.0,76,33,35,69
Netherlands,Eredivisie,Feyenoord Rotterdam,1,Justin Bijlow,Goalkeeper,"Jan 22, 1998 (27)",€5.00m,1998,5000.0,75,32,34,68
Netherlands,Eredivisie,Feyenoord Rotterdam,21,Plamen Andreev,Goalkeeper,"Dec 15, 2004 (20)",€1.50m,2004,1500.0,68,29,31,62
Netherlands,Eredivisie,Feyenoord Rotterdam,39,Liam Bossin,Goalkeeper,"Jul 15, 1996 (29)",€450k,1996,450.0,63,27,29,57
Netherlands,Eredivisie,Feyenoord Rotterdam,-,Tsuyoshi Watanabe,Centre-Back,"Feb 5, 1997 (28)",€9.00m,1997,9000.0,78,36,41,64
Netherlands,Eredivisie,Feyenoord Rotterdam,3,Thomas Beelen,Centre-Back,"Jun 11, 2001 (24)",€8.00m,2001,8000.0,77,35,40,63
Netherlands,Eredivisie,Feyenoord Rotterdam,18,Gernot Trauner,Centre-Back,"Mar 25, 1992 (33)",€2.50m,1992,2500.0,72,33,37,59
Netherlands,Eredivisie,Feyenoord Rotterdam,20,Jeyland Mitchell,Centre-Back,"Sep 29, 2004 (20)",€2.00m,2004,2000.0,69,32,36,57
Netherlands,Eredivisie,Feyenoord Rotterdam,-,Antef Tsoungui,Centre-Back,"Dec 30, 2002 (22)",€650k,2002,650.0,64,29,33,52
Netherlands,Eredivisie,Feyenoord Rotterdam,43,Jan Plug,Centre-Back,"Apr 2, 2005 (20)",-,2005,86.0,52,24,27,43
Netherlands,Eredivisie,Feyenoord Rotterdam,5,Gijs Smal,Left-Back,"Aug 31, 1997 (27)",€7.00m,1997,7000.0,77,38,42,59
Netherlands,Eredivisie,Feyenoord Rotterdam,15,Jordan Bos,Left-Back,"Oct 29, 2002 (22)",€2.70m,2002,2700.0,72,35,40,55
Netherlands,Eredivisie,Feyenoord Rotterdam,26,Givairo Read,Right-Back,"Jun 2, 2006 (19)",€16.00m,2006,16000.0,80,39,44,61
Netherlands,Eredivisie,Feyenoord Rotterdam,30,Jordan Lotomba,Right-Back,"Sep 29, 1998 (26)",€6.50m,1998,6500.0,77,38,42,59
Netherlands,Eredivisie,Feyenoord Rotterdam,2,Bart Nieuwkoop,Right-Back,"Mar 7, 1996 (29)",€2.00m,1996,2000.0,71,35,39,54
Netherlands,Eredivisie,Feyenoord Rotterdam,35,Neraysho Kasanwirjo,Right-Back,"Feb 18, 2002 (23)",€1.80m,2002,1800.0,69,34,38,52
Netherlands,Eredivisie,Feyenoord Rotterdam,6,Ramiz Zerrouki,Defensive Midfield,"May 26, 1998 (27)",€5.00m,1998,5000.0,75,39,39,48
Netherlands,Eredivisie,Feyenoord Rotterdam,28,Oussama Targhalline,Defensive Midfield,"May 20, 2002 (23)",€4.00m,2002,4000.0,74,38,38,47
Netherlands,Eredivisie,Feyenoord Rotterdam,8,Quinten Timber,Central Midfield,"Jun 17, 2001 (24)",€30.00m,2001,30000.0,85,49,54,49
Netherlands,Eredivisie,Feyenoord Rotterdam,7,Jakub Moder,Central Midfield,"Apr 7, 1999 (26)",€12.00m,1999,12000.0,80,46,51,46
Netherlands,Eredivisie,Feyenoord Rotterdam,4,In-beom Hwang,Central Midfield,"Sep 20, 1996 (28)",€10.00m,1996,10000.0,79,46,51,46
Netherlands,Eredivisie,Feyenoord Rotterdam,24,Sem Steijn,Attacking Midfield,"Nov 12, 2001 (23)",€16.00m,2001,16000.0,81,54,49,42
Netherlands,Eredivisie,Feyenoord Rotterdam,10,Calvin Stengs,Attacking Midfield,"Dec 18, 1998 (26)",€7.00m,1998,7000.0,77,52,47,40
