country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Netherlands,Eredivisie,SC Telstar,1,Ronald Koeman Jr.,Goalkeeper,"May 23, 1995 (30)",€450k,1995,450.0,63,27,29,57
Netherlands,Eredivisie,SC Telstar,-,Daan Reiziger,Goalkeeper,"Jun 18, 2001 (24)",€100k,2001,100.0,54,23,25,49
Netherlands,Eredivisie,SC Telstar,13,Tyrick Bodak,Goalkeeper,"Feb 15, 2002 (23)",€25k,2002,25.0,47,20,22,43
Netherlands,Eredivisie,SC Telstar,4,Guus Offerhaus,Centre-Back,"Jan 3, 2001 (24)",€500k,2001,500.0,63,29,33,52
Netherlands,Eredivisie,SC Telstar,6,Danny Bakker,Centre-Back,"Jan 16, 1995 (30)",€450k,1995,450.0,63,29,33,52
Netherlands,Eredivisie,SC Telstar,21,Devon Koswal,Centre-Back,"Aug 21, 2003 (21)",€350k,2003,350.0,60,28,31,49
Netherlands,Eredivisie,SC Telstar,-,Neville Ogidi Nwankwo,Centre-Back,"Oct 8, 2002 (22)",-,2002,46.0,50,23,26,41
Netherlands,Eredivisie,SC Telstar,24,Abdelraffie Benzzine,Centre-Back,"Apr 4, 2006 (19)",-,2006,84.0,52,24,27,43
Netherlands,Eredivisie,SC Telstar,26,Jaylan van Schooneveld,Centre-Back,"Feb 2, 2005 (20)",-,2005,95.0,53,24,28,43
Netherlands,Eredivisie,SC Telstar,5,Nigel Ogidi Nwankwo,Left-Back,"Aug 4, 1998 (26)",-,1998,95.0,54,26,30,41
Netherlands,Eredivisie,SC Telstar,15,Adil Lechkar,Right-Back,"Sep 2, 2001 (23)",€50k,2001,50.0,50,24,28,38
Netherlands,Eredivisie,SC Telstar,14,Achraf Oughcha,Defensive Midfield,"Feb 20, 2004 (21)",€25k,2004,25.0,46,24,24,29
Netherlands,Eredivisie,SC Telstar,8,Tyrone Owusu,Central Midfield,"Mar 5, 1999 (26)",€350k,1999,350.0,61,35,39,35
Netherlands,Eredivisie,SC Telstar,17,Nils Rossen,Central Midfield,"Aug 1, 2004 (20)",€350k,2004,350.0,60,35,38,35
Netherlands,Eredivisie,SC Telstar,18,Remi van Ekeris,Central Midfield,"Sep 23, 2002 (22)",€150k,2002,150.0,56,32,36,32
Netherlands,Eredivisie,SC Telstar,11,Tyrese Noslin,Right Midfield,"Sep 11, 2002 (22)",€400k,2002,400.0,61,35,39,35
Netherlands,Eredivisie,SC Telstar,2,Jeff Hardeveld,Left Midfield,"Feb 27, 1995 (30)",€450k,1995,450.0,63,37,40,37
Netherlands,Eredivisie,SC Telstar,27,Patrick Brouwer,Left Winger,"Mar 19, 2001 (24)",-,2001,57.0,51,39,30,23
Netherlands,Eredivisie,SC Telstar,7,Soufiane Hetli,Centre-Forward,"May 30, 2001 (24)",€300k,2001,300.0,60,49,33,26
Netherlands,Eredivisie,SC Telstar,19,Sebastiaan Hagedoorn,Centre-Forward,"Nov 30, 2004 (20)",€100k,2004,100.0,53,43,29,23
Netherlands,Eredivisie,SC Telstar,9,Milan Zonneveld,Centre-Forward,"Oct 8, 2003 (21)",-,2003,4.0,37,30,20,16
