country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Netherlands,Eredivisie,Sparta Rotterdam,-,Joël Drommel,Goalkeeper,"Nov 16, 1996 (28)",€1.50m,1996,1500.0,69,30,32,63
Netherlands,Eredivisie,Sparta Rotterdam,-,Filip Bednarek,Goalkeeper,"Sep 26, 1992 (32)",€300k,1992,300.0,61,26,28,56
Netherlands,Eredivisie,Sparta Rotterdam,-,Pascal Kuiper,Goalkeeper,"Mar 17, 2004 (21)",€75k,2004,75.0,52,22,24,47
Netherlands,Eredivisie,Sparta Rotterdam,-,Marvin Young,Centre-Back,"Oct 2, 2005 (19)",€2.50m,2005,2500.0,70,32,36,57
Netherlands,Eredivisie,Sparta Rotterdam,-,Tijs Velthuis,Centre-Back,"Jan 12, 2002 (23)",€700k,2002,700.0,64,29,33,52
Netherlands,Eredivisie,Sparta Rotterdam,-,Bruno Martins Indi,Centre-Back,"Feb 8, 1992 (33)",€650k,1992,650.0,65,30,34,53
Netherlands,Eredivisie,Sparta Rotterdam,-,Teo Quintero,Centre-Back,"Mar 2, 1999 (26)",€600k,1999,600.0,64,29,33,52
Netherlands,Eredivisie,Sparta Rotterdam,-,Rick Meissen,Centre-Back,"Feb 24, 2002 (23)",€500k,2002,500.0,63,29,33,52
Netherlands,Eredivisie,Sparta Rotterdam,-,Patrick van Aanholt,Left-Back,"Aug 29, 1990 (34)",€500k,1990,500.0,64,31,35,49
Netherlands,Eredivisie,Sparta Rotterdam,-,Mike Kleijn,Left-Back,"Feb 9, 2005 (20)",€250k,2005,250.0,58,28,32,44
Netherlands,Eredivisie,Sparta Rotterdam,-,Saïd Bakari,Right-Back,"Sep 22, 1994 (30)",€650k,1994,650.0,65,32,36,49
Netherlands,Eredivisie,Sparta Rotterdam,-,Joshua Kitolano,Central Midfield,"Aug 3, 2001 (23)",€2.50m,2001,2500.0,71,41,45,41
Netherlands,Eredivisie,Sparta Rotterdam,-,Julian Baas,Central Midfield,"Apr 16, 2002 (23)",€800k,2002,800.0,65,38,42,38
Netherlands,Eredivisie,Sparta Rotterdam,-,Pelle Clement,Central Midfield,"May 19, 1996 (29)",€650k,1996,650.0,65,38,42,38
Netherlands,Eredivisie,Sparta Rotterdam,-,Jonathan de Guzmán,Central Midfield,"Sep 13, 1987 (37)",-,1987,91.0,55,32,35,32
Netherlands,Eredivisie,Sparta Rotterdam,-,Ayoni Santos,Central Midfield,"Jul 18, 2005 (20)",-,2005,65.0,51,30,33,30
Netherlands,Eredivisie,Sparta Rotterdam,-,Lance Duijvestijn,Attacking Midfield,"Jan 15, 1999 (26)",€850k,1999,850.0,66,44,40,34
Netherlands,Eredivisie,Sparta Rotterdam,-,Mohamed Nassoh,Attacking Midfield,"Jan 26, 2003 (22)",€700k,2003,700.0,64,43,39,33
Netherlands,Eredivisie,Sparta Rotterdam,-,Jens Toornstra,Attacking Midfield,"Apr 4, 1989 (36)",€350k,1989,350.0,62,42,38,32
Netherlands,Eredivisie,Sparta Rotterdam,-,Joel Ideho,Left Winger,"Jul 17, 2003 (22)",€500k,2003,500.0,62,47,36,29
Netherlands,Eredivisie,Sparta Rotterdam,-,Shunsuke Mito,Right Winger,"Sep 28, 2002 (22)",€850k,2002,850.0,65,49,38,30
Netherlands,Eredivisie,Sparta Rotterdam,-,Ayoub Oufkir,Right Winger,"Jan 4, 2006 (19)",€250k,2006,250.0,57,43,33,26
Netherlands,Eredivisie,Sparta Rotterdam,-,Tobias Lauritsen,Centre-Forward,"Aug 30, 1997 (27)",€3.50m,1997,3500.0,73,60,40,31
Netherlands,Eredivisie,Sparta Rotterdam,-,Nökkvi Thórisson,Centre-Forward,"Aug 13, 1999 (25)",€600k,1999,600.0,64,52,35,28
