country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Netherlands,Eredivisie,FC Utrecht,1,Vasilios Barkas,Goalkeeper,"May 30, 1994 (31)",€3.50m,1994,3500.0,74,32,34,67
Netherlands,Eredivisie,FC Utrecht,25,Michael Brouwer,Goalkeeper,"Jan 21, 1993 (32)",€400k,1993,400.0,62,27,29,56
Netherlands,Eredivisie,FC Utrecht,32,Tom de Graaff,Goalkeeper,"Dec 10, 2004 (20)",€300k,2004,300.0,59,25,27,54
Netherlands,Eredivisie,FC Utrecht,33,Kevin Gadellaa,Goalkeeper,"Apr 8, 2003 (22)",€150k,2003,150.0,56,24,26,51
Netherlands,Eredivisie,FC Utrecht,44,Mike Eerdhuijzen,Centre-Back,"Jul 13, 2000 (25)",€2.30m,2000,2300.0,71,33,37,58
Netherlands,Eredivisie,FC Utrecht,3,Mike van der Hoorn,Centre-Back,"Oct 15, 1992 (32)",€1.00m,1992,1000.0,67,31,35,55
Netherlands,Eredivisie,FC Utrecht,40,Matisse Didden,Centre-Back,"Oct 8, 2001 (23)",€1.00m,2001,1000.0,66,30,34,54
Netherlands,Eredivisie,FC Utrecht,24,Nick Viergever,Centre-Back,"Aug 3, 1989 (35)",€400k,1989,400.0,63,29,33,52
Netherlands,Eredivisie,FC Utrecht,16,Souffian El Karouani,Left-Back,"Oct 19, 2000 (24)",€9.00m,2000,9000.0,78,38,43,59
Netherlands,Eredivisie,FC Utrecht,55,Derry Murkin,Left-Back,"Jul 27, 1999 (26)",€1.80m,1999,1800.0,70,34,38,53
Netherlands,Eredivisie,FC Utrecht,5,Kolbeinn Finnsson,Left-Back,"Aug 25, 1999 (25)",€650k,1999,650.0,64,31,35,49
Netherlands,Eredivisie,FC Utrecht,2,Siebe Horemans,Right-Back,"Jun 2, 1998 (27)",€3.50m,1998,3500.0,73,36,40,55
Netherlands,Eredivisie,FC Utrecht,23,Niklas Vesterlund,Right-Back,"Jun 6, 1999 (26)",€1.00m,1999,1000.0,67,33,37,51
Netherlands,Eredivisie,FC Utrecht,21,Gjivai Zechiël,Defensive Midfield,"Jun 1, 2004 (21)",€4.00m,2004,4000.0,73,38,38,47
Netherlands,Eredivisie,FC Utrecht,27,Alonzo Engwanda,Defensive Midfield,"Jan 27, 2003 (22)",€2.50m,2003,2500.0,71,37,37,45
Netherlands,Eredivisie,FC Utrecht,14,Zidane Iqbal,Central Midfield,"Apr 27, 2003 (22)",€4.00m,2003,4000.0,73,42,47,42
Netherlands,Eredivisie,FC Utrecht,8,Can Bozdogan,Central Midfield,"Apr 5, 2001 (24)",€3.50m,2001,3500.0,73,42,47,42
Netherlands,Eredivisie,FC Utrecht,6,Davy van den Berg,Central Midfield,"Feb 4, 2000 (25)",€2.00m,2000,2000.0,70,41,45,41
Netherlands,Eredivisie,FC Utrecht,38,Ivar Jenner,Central Midfield,"Jan 10, 2004 (21)",€300k,2004,300.0,59,34,38,34
Netherlands,Eredivisie,FC Utrecht,20,Dani de Wit,Attacking Midfield,"Jan 28, 1998 (27)",€2.50m,1998,2500.0,72,48,44,37
Netherlands,Eredivisie,FC Utrecht,7,Victor Jensen,Attacking Midfield,"Feb 8, 2000 (25)",€2.00m,2000,2000.0,70,47,43,36
Netherlands,Eredivisie,FC Utrecht,43,Rafik El Arguioui,Attacking Midfield,"Jul 31, 2005 (19)",€350k,2005,350.0,60,40,37,31
Netherlands,Eredivisie,FC Utrecht,10,Yoann Cathline,Left Winger,"Jul 22, 2002 (23)",€8.00m,2002,8000.0,77,59,45,35
Netherlands,Eredivisie,FC Utrecht,15,Adrian Blake,Left Winger,"Jul 15, 2005 (20)",€750k,2005,750.0,64,49,37,29
Netherlands,Eredivisie,FC Utrecht,17,Emirhan Demircan,Left Winger,"Jan 20, 2005 (20)",€700k,2005,700.0,63,48,37,29
Netherlands,Eredivisie,FC Utrecht,22,Miguel Rodríguez,Right Winger,"Apr 29, 2003 (22)",€4.50m,2003,4500.0,74,56,43,34
Netherlands,Eredivisie,FC Utrecht,26,Miliano Jonathans,Right Winger,"Apr 5, 2004 (21)",€900k,2004,900.0,65,49,38,30
Netherlands,Eredivisie,FC Utrecht,11,Noah Ohio,Centre-Forward,"Jan 16, 2003 (22)",€2.00m,2003,2000.0,70,57,38,30
Netherlands,Eredivisie,FC Utrecht,9,David Min,Centre-Forward,"Jun 23, 1999 (26)",€800k,1999,800.0,65,53,36,28
Netherlands,Eredivisie,FC Utrecht,19,Jesse van de Haar,Centre-Forward,"Jan 26, 2005 (20)",€450k,2005,450.0,61,50,34,26
