country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Netherlands,Eredivisie,Go Ahead Eagles,22,Jari De Busser,Goalkeeper,"Oct 21, 1999 (25)",€2.00m,1999,2000.0,70,30,32,64
Netherlands,Eredivisie,Go Ahead Eagles,1,Luca Plogmann,Goalkeeper,"Mar 10, 2000 (25)",€500k,2000,500.0,63,27,29,57
Netherlands,Eredivisie,Go Ahead Eagles,30,Sven Jansen,Goalkeeper,"Oct 23, 2004 (20)",€50k,2004,50.0,50,22,23,46
Netherlands,Eredivisie,Go Ahead Eagles,33,Nando Verdoni,Goalkeeper,"Jul 9, 2003 (22)",€25k,2003,25.0,46,20,21,42
Netherlands,Eredivisie,Go Ahead Eagles,4,Joris Kramer,Centre-Back,"Aug 2, 1996 (28)",€2.00m,1996,2000.0,71,33,37,58
Netherlands,Eredivisie,Go Ahead Eagles,3,Gerrit Nauber,Centre-Back,"Apr 13, 1992 (33)",€400k,1992,400.0,62,29,32,51
Netherlands,Eredivisie,Go Ahead Eagles,26,Julius Dirksen,Centre-Back,"Feb 2, 2003 (22)",€400k,2003,400.0,61,28,32,50
Netherlands,Eredivisie,Go Ahead Eagles,28,Pim Saathof,Centre-Back,"Dec 28, 2003 (21)",€75k,2003,75.0,52,24,27,43
Netherlands,Eredivisie,Go Ahead Eagles,5,Dean James,Left-Back,"Apr 30, 2000 (25)",€1.80m,2000,1800.0,70,34,38,53
Netherlands,Eredivisie,Go Ahead Eagles,29,Aske Adelgaard,Left-Back,"Nov 10, 2003 (21)",€850k,2003,850.0,65,32,36,49
Netherlands,Eredivisie,Go Ahead Eagles,2,Mats Deijl,Right-Back,"Jul 15, 1997 (28)",€2.00m,1997,2000.0,70,34,38,53
Netherlands,Eredivisie,Go Ahead Eagles,24,Luca Everink,Right-Back,"Feb 9, 2001 (24)",€200k,2001,200.0,58,28,32,44
Netherlands,Eredivisie,Go Ahead Eagles,6,Calvin Twigt,Defensive Midfield,"Jan 30, 2003 (22)",€600k,2003,600.0,63,33,33,40
Netherlands,Eredivisie,Go Ahead Eagles,20,Xander Blomme,Defensive Midfield,"Jun 21, 2002 (23)",€450k,2002,450.0,62,32,32,40
Netherlands,Eredivisie,Go Ahead Eagles,8,Evert Linthorst,Central Midfield,"Mar 3, 2000 (25)",€2.50m,2000,2500.0,71,41,45,41
Netherlands,Eredivisie,Go Ahead Eagles,15,Robbin Weijenberg,Central Midfield,"Nov 8, 2004 (20)",€250k,2004,250.0,58,34,37,34
Netherlands,Eredivisie,Go Ahead Eagles,7,Jakob Breum,Attacking Midfield,"Nov 17, 2003 (21)",€5.00m,2003,5000.0,75,50,46,39
Netherlands,Eredivisie,Go Ahead Eagles,17,Mathis Suray,Attacking Midfield,"Jul 26, 2001 (24)",€1.50m,2001,1500.0,69,46,42,36
Netherlands,Eredivisie,Go Ahead Eagles,10,Søren Tengstedt,Attacking Midfield,"Jun 30, 2000 (25)",€800k,2000,800.0,65,44,40,34
Netherlands,Eredivisie,Go Ahead Eagles,11,Oskar Sivertsen,Left Winger,"Feb 15, 2004 (21)",€1.30m,2004,1300.0,67,51,39,31
Netherlands,Eredivisie,Go Ahead Eagles,19,Oliver Antman,Right Winger,"Aug 15, 2001 (23)",€6.00m,2001,6000.0,76,58,44,35
Netherlands,Eredivisie,Go Ahead Eagles,14,Oscar Pettersson,Right Winger,"Feb 1, 2000 (25)",€500k,2000,500.0,63,48,37,29
Netherlands,Eredivisie,Go Ahead Eagles,9,Milan Smit,Centre-Forward,"Feb 13, 2003 (22)",€1.50m,2003,1500.0,68,56,37,29
Netherlands,Eredivisie,Go Ahead Eagles,16,Victor Edvardsen,Centre-Forward,"Jan 14, 1996 (29)",€1.30m,1996,1300.0,68,56,37,29
Netherlands,Eredivisie,Go Ahead Eagles,18,Richonell Margaret,Centre-Forward,"Sep 7, 2000 (24)",€700k,2000,700.0,65,53,36,28
Netherlands,Eredivisie,Go Ahead Eagles,27,Finn Stokkers,Centre-Forward,"Apr 18, 1996 (29)",€450k,1996,450.0,63,52,35,27
Netherlands,Eredivisie,Go Ahead Eagles,23,Thibo Baeten,Centre-Forward,"Jun 4, 2002 (23)",€400k,2002,400.0,61,50,34,26
Netherlands,Eredivisie,Go Ahead Eagles,32,Ofosu Boakye,Centre-Forward,"Jul 10, 2007 (18)",-,2007,49.0,48,39,26,21
