country,league,clubname,num,name,pos,birthday,value,birthyear,value_1k,base_stat,atk,mid,dfs
Netherlands,Eredivisie,Heracles Almelo,1,Fabian de Keijzer,Goalkeeper,"May 10, 2000 (25)",€1.50m,2000,1500.0,69,30,32,63
Netherlands,Eredivisie,Heracles Almelo,30,Robin Mantel,Goalkeeper,"Nov 15, 2000 (24)",€50k,2000,50.0,51,22,23,46
Netherlands,Eredivisie,Heracles Almelo,16,Timo Jansink,Goalkeeper,"Mar 16, 2003 (22)",€25k,2003,25.0,46,20,21,42
Netherlands,Eredivisie,Heracles Almelo,-,Leco Zeevalkink,Goalkeeper,"Sep 14, 2005 (19)",-,2005,22.0,45,19,21,41
Netherlands,Eredivisie,Heracles Almelo,24,Ivan Mesik,Centre-Back,"Jun 1, 2001 (24)",€1.30m,2001,1300.0,68,31,35,56
Netherlands,Eredivisie,Heracles Almelo,4,Damon Mirani,Centre-Back,"May 13, 1996 (29)",€650k,1996,650.0,65,30,34,53
Netherlands,Eredivisie,Heracles Almelo,6,Sava-Arangel Cestic,Centre-Back,"Feb 19, 2001 (24)",€300k,2001,300.0,60,28,31,49
Netherlands,Eredivisie,Heracles Almelo,27,Jop Tijink,Centre-Back,"Jan 30, 2005 (20)",€50k,2005,50.0,49,23,25,40
Netherlands,Eredivisie,Heracles Almelo,15,Djevencio van der Kust,Left-Back,"Apr 30, 2001 (24)",€600k,2001,600.0,64,31,35,49
Netherlands,Eredivisie,Heracles Almelo,22,Lorenzo Milani,Left-Back,"May 22, 2001 (24)",€225k,2001,225.0,58,28,32,44
Netherlands,Eredivisie,Heracles Almelo,-,Mimeirhel Benita,Right-Back,"Nov 17, 2003 (21)",€1.00m,2003,1000.0,66,32,36,50
Netherlands,Eredivisie,Heracles Almelo,3,Jannes Wieckhoff,Right-Back,"Aug 2, 2000 (24)",€650k,2000,650.0,64,31,35,49
Netherlands,Eredivisie,Heracles Almelo,23,Mike te Wierik,Right-Back,"Jun 8, 1992 (33)",€275k,1992,275.0,60,29,33,46
Netherlands,Eredivisie,Heracles Almelo,32,Sem Scheperman,Defensive Midfield,"Jun 24, 2002 (23)",€900k,2002,900.0,66,34,34,42
Netherlands,Eredivisie,Heracles Almelo,26,Daniël van Kaam,Defensive Midfield,"Jun 23, 2000 (25)",€450k,2000,450.0,62,32,32,40
Netherlands,Eredivisie,Heracles Almelo,13,Jan Zamburek,Central Midfield,"Feb 13, 2001 (24)",€450k,2001,450.0,62,36,40,36
Netherlands,Eredivisie,Heracles Almelo,11,Jeff Reine-Adélaïde,Attacking Midfield,"Jan 17, 1998 (27)",€900k,1998,900.0,66,44,40,34
Netherlands,Eredivisie,Heracles Almelo,-,Tristan van Gilst,Attacking Midfield,"Feb 18, 2003 (22)",€650k,2003,650.0,64,43,39,33
Netherlands,Eredivisie,Heracles Almelo,5,Jordy Bruijn,Attacking Midfield,"Jul 23, 1996 (29)",€300k,1996,300.0,60,40,37,31
Netherlands,Eredivisie,Heracles Almelo,17,Thomas Bruns,Attacking Midfield,"Jan 7, 1992 (33)",€250k,1992,250.0,60,40,37,31
Netherlands,Eredivisie,Heracles Almelo,8,Mario Engels,Left Winger,"Oct 22, 1993 (31)",€500k,1993,500.0,63,48,37,29
Netherlands,Eredivisie,Heracles Almelo,7,Bryan Limbombe,Left Winger,"May 14, 2001 (24)",€400k,2001,400.0,62,47,36,29
Netherlands,Eredivisie,Heracles Almelo,28,Giandro Sambo,Left Winger,"Aug 28, 2006 (18)",€50k,2006,50.0,49,37,28,23
Netherlands,Eredivisie,Heracles Almelo,9,Jizz Hornkamp,Centre-Forward,"Mar 7, 1998 (27)",€1.30m,1998,1300.0,68,56,37,29
Netherlands,Eredivisie,Heracles Almelo,19,Luka Kulenovic,Centre-Forward,"Sep 29, 1999 (25)",€1.20m,1999,1200.0,68,56,37,29
Netherlands,Eredivisie,Heracles Almelo,-,Antonio Satriano,Centre-Forward,"Oct 30, 2003 (21)",€150k,2003,150.0,56,46,31,24
Netherlands,Eredivisie,Heracles Almelo,20,Diego van Oorschot,Centre-Forward,"Oct 2, 2005 (19)",€100k,2005,100.0,53,43,29,23
